label,regime,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,fees,spread_cost,sl_slippage,holding_minutes,funding_windows_crossed,win,exit_type
A  EMA200 Only,Trending,2026-05-08 04:00:00+00:00,2026-05-08 12:00:00+00:00,79535.0,80367.6,79118.7,80367.6,176.9537448955082,2.0,19.205212587076495,3.841042517415299,0.0,480,1,True,TP
A  EMA200 Only,Trending,2026-05-12 18:00:00+00:00,2026-05-13 12:00:00+00:00,80473.2,79876.03,79900.0,81619.59999999999,-125.14820969993076,-1.0418178646196812,13.98719731332875,2.7974394626657504,4.181786461968124,1080,2,False,SL
A  EMA200 Only,Trending,2026-05-14 15:00:00+00:00,2026-05-15 13:00:00+00:00,80917.7,79493.04493,79516.9,83719.3,-110.27674093075248,-1.0170296045117009,5.7256833570102685,1.1451366714020537,1.7029604511700793,1320,2,False,SL
A  EMA200 Only,Weak Trend,2026-05-25 05:00:00+00:00,2026-05-26 00:00:00+00:00,77354.6,76922.31638,76945.4,78173.00000000003,-133.90356545160722,-1.0564115835776873,18.85104061339145,3.7702081226782904,5.641158357768738,1140,2,False,SL
A  EMA200 Only,Weak Trend,2026-05-26 11:00:00+00:00,2026-05-26 15:00:00+00:00,77397.7,76510.63992,76533.6,79125.89999999998,-116.00106051984841,-1.0265710913088817,8.905701881726742,1.7811403763453484,2.6571091308881627,240,0,False,SL
A  EMA200 Only,Weak Trend,2026-06-12 10:00:00+00:00,2026-06-12 12:00:00+00:00,63719.9,63385.978500000005,63405.0,64349.700000000004,-136.29930997141633,-1.0604048904413947,20.18194323594783,4.0363886471895665,6.0404890441394725,120,0,False,SL
A  EMA200 Only,Weak Trend,2026-06-12 15:00:00+00:00,2026-06-14 21:00:00+00:00,63970.4,65611.0,63150.1,65611.0,190.5219017432638,1.9999999999999911,7.898415213946089,1.579683042789218,0.0,3240,6,True,TP
A  EMA200 Only,Weak Trend,2026-06-17 13:00:00+00:00,2026-06-17 16:00:00+00:00,65007.2,65911.59999999999,64555.0,65911.59999999999,182.62908447589552,2.0,14.475762936753739,2.895152587350748,0.0,180,0,True,TP
A  EMA200 Only,Weak Trend,2026-06-20 16:00:00+00:00,2026-06-20 17:00:00+00:00,64129.8,63787.55799,63806.7,64776.000000000015,-135.60335338718346,-1.0592448467966438,19.795320023212273,3.9590640046424546,5.924484679664373,60,0,False,SL
A  EMA200 Only,Weak Trend,2026-06-20 23:00:00+00:00,2026-06-21 08:00:00+00:00,64240.3,63932.71443,63951.9,64817.100000000006,-139.97050924341272,-1.0665241678224735,22.22139639909836,4.444279279819672,6.652416782247353,540,1,False,SL
A  EMA200 Only,Trending,2026-06-21 10:00:00+00:00,2026-06-21 12:00:00+00:00,64177.6,63900.824,63920.0,64692.799999999996,-144.7201298136644,-1.0744409937888182,24.85994254658399,4.971988509316798,7.444099378881826,120,0,False,SL
A  EMA200 Only,Weak Trend,2026-06-21 16:00:00+00:00,2026-06-21 17:00:00+00:00,64191.7,64068.37372,64087.6,64399.899999999994,-170.97896163521858,-1.1846904899135022,49.951969538117865,9.990393907623572,14.975674425194624,60,0,False,SL
A  EMA200 Only,Ranging,2026-06-21 19:00:00+00:00,2026-06-21 20:00:00+00:00,64179.3,63891.826700000005,63911.0,64715.90000000001,-142.93301379798308,-1.0714621692135473,23.867149962728032,4.773429992545607,7.14621692135472,60,0,False,SL
A  EMA200 Only,Weak Trend,2026-06-22 02:00:00+00:00,2026-06-22 22:00:00+00:00,64570.1,63800.854,63820.0,66070.29999999999,-115.37322655645933,-1.0255245967204383,8.556922676976422,1.7113845353952843,2.5524596720438177,1200,2,False,SL
A  EMA200 Only,Trending,2026-07-01 22:00:00+00:00,2026-07-01 23:00:00+00:00,60788.7,60081.77006,60099.8,62166.499999999985,-115.76167252663691,-1.0261720714182037,8.772715202496808,1.7545430404993618,2.6172071418203666,60,0,False,SL
A  EMA200 Only,Trending,2026-07-02 03:00:00+00:00,2026-07-02 09:00:00+00:00,60397.0,61221.8,59984.6,61221.8,182.305703200776,2.0,14.745247332686661,2.9490494665373324,0.0,360,0,True,TP
A  EMA200 Only,Weak Trend,2026-07-06 15:00:00+00:00,2026-07-06 16:00:00+00:00,62019.4,62691.80000000001,61683.2,62691.80000000001,177.74339083878672,2.0,18.54717430101106,3.7094348602022125,0.0,60,0,True,TP
A  EMA200 Only,Trending,2026-07-08 23:00:00+00:00,2026-07-09 00:00:00+00:00,62303.0,62124.257130000005,62142.9,62623.2,-169.92010885571085,-1.1164451592754292,38.85923083385419,7.771846166770839,11.644515927542914,60,0,False,SL
A  EMA200 Only,Weak Trend,2026-07-09 05:00:00+00:00,2026-07-09 18:00:00+00:00,62420.8,63411.20000000001,61925.6,63411.20000000001,184.7537964458806,2.0,12.705169628432845,2.541033925686569,0.0,780,1,True,TP
A  EMA200 Only,Weak Trend,2026-07-14 13:00:00+00:00,2026-07-17 06:00:00+00:00,63940.2,62732.37464,62751.2,66318.2,-109.55881116770317,-1.0158329352396933,5.3268534331370905,1.0653706866274182,1.5832935239693247,3900,8,False,SL
A  EMA200 Only,Trending,2026-07-17 18:00:00+00:00,2026-07-19 02:00:00+00:00,64018.2,64933.2,63560.7,64933.2,183.08834098360657,2.0,14.093049180327867,2.8186098360655736,0.0,1920,4,True,TP
A  EMA200 Only,Trending,2026-07-20 08:00:00+00:00,2026-07-20 11:00:00+00:00,64242.4,65017.200000000004,63855.0,65017.200000000004,179.98044398554472,2.0,16.68296334537939,3.3365926690758783,0.0,180,0,True,TP
A  EMA200 Only,Trending,2026-07-23 21:00:00+00:00,2026-07-24 00:00:00+00:00,65108.8,64787.85781000001,64807.3,65711.8,-138.74705628059323,-1.0644848756218717,21.54173429684909,4.308346859369818,6.448487562187164,180,0,False,SL
A  EMA200 Only,Trending,2026-07-24 02:00:00+00:00,2026-07-24 03:00:00+00:00,65039.1,65305.299999999996,64906.0,65305.299999999996,141.242193839218,2.0,48.96483846731834,9.792967693463668,0.0,60,0,True,TP
A  EMA200 Only,Weak Trend,2026-07-24 12:00:00+00:00,2026-07-24 13:00:00+00:00,65049.8,64800.554000000004,64820.0,65509.40000000001,-150.82776866840342,-1.0846214099216538,28.25290557006057,5.650581114012113,8.462140992165374,60,0,False,SL
A  EMA200 Only,Ranging,2026-07-26 16:00:00+00:00,2026-07-26 17:00:00+00:00,64737.2,64623.30719,64642.7,64926.2,-162.89082962654788,-1.2052149206348948,49.956017247424974,9.991203449484994,14.978103779586972,60,0,False,SL
A  EMA200 Only,Weak Trend,2026-07-26 19:00:00+00:00,2026-07-26 20:00:00+00:00,64709.3,64618.70857,64638.1,64851.70000000001,-144.940267582864,-1.272351544943748,49.965000614285735,9.993000122857147,14.983495417193536,60,0,False,SL
A  EMA200 Only,Trending,2026-07-26 22:00:00+00:00,2026-07-26 23:00:00+00:00,64823.8,65227.8,64621.8,65227.8,161.3708118811881,2.0,32.1909900990099,6.43819801980198,0.0,60,0,True,TP
A  EMA200 Only,Trending,2026-07-27 17:00:00+00:00,2026-07-27 22:00:00+00:00,64874.0,64464.35489,64483.7,65654.6,-129.79585778477804,-1.0495647194465658,16.569094912887397,3.3138189825774798,4.956471944656572,300,0,False,SL
B  FVG + EMA200,Trending,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80014.50000000001,79735.2,80014.50000000001,56.55533188105699,2.0,50.058312653532646,10.011662530706529,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,80066.27291,80090.3,80398.99999999999,-154.07158197079093,-1.2334994169096656,49.96043084388702,9.992086168777403,14.980752732153865,60,0,False,SL
B  FVG + EMA200,Ranging,2026-05-09 03:00:00+00:00,2026-05-09 04:00:00+00:00,80384.0,80582.0,80285.0,80582.0,63.08494227707006,2.0,50.06157941878981,10.012315883757964,0.0,60,0,True,TP
B  FVG + EMA200,Ranging,2026-05-09 17:00:00+00:00,2026-05-09 18:00:00+00:00,80580.0,80861.20000000001,80439.4,80861.20000000001,114.38029287665154,2.0,50.08724249193349,10.017448498386699,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-05-10 17:00:00+00:00,2026-05-10 19:00:00+00:00,81332.3,81125.75497000001,81150.1,81696.7,-180.22222446871345,-1.1336170691547593,44.58234219813463,8.916468439626927,13.361706915475938,120,0,False,SL
B  FVG + EMA200,Trending,2026-05-11 00:00:00+00:00,2026-05-11 01:00:00+00:00,82182.9,81991.29523,82015.9,82516.9,-188.45153122034827,-1.1473339520957535,49.153950667664674,9.830790133532934,14.733395209575342,60,0,False,SL
B  FVG + EMA200,Ranging,2026-05-11 17:00:00+00:00,2026-05-11 18:00:00+00:00,81534.2,81996.39999999998,81303.1,81996.39999999998,157.54289917784348,2.0,35.380917351797095,7.076183470359418,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-05-12 20:00:00+00:00,2026-05-12 21:00:00+00:00,80788.5,80598.61316000001,80622.8,81119.9,-187.631833371148,-1.1459676523837976,48.698585745323726,9.739717149064745,14.596765238379763,60,0,False,SL
B  FVG + EMA200,Trending,2026-05-13 03:00:00+00:00,2026-05-13 07:00:00+00:00,81019.0,80863.7336,80888.0,81281.0,-170.7392341055717,-1.1852396946564363,49.95208950986806,9.990417901973611,14.975746429845563,240,0,False,SL
B  FVG + EMA200,Ranging,2026-05-13 10:00:00+00:00,2026-05-13 11:00:00+00:00,81256.9,81075.67,81100.0,81570.69999999998,-186.42080980199694,-1.1550669216061353,49.944241658246874,9.988848331649375,14.971036305840949,60,0,False,SL
B  FVG + EMA200,Trending,2026-05-14 16:00:00+00:00,2026-05-15 02:00:00+00:00,81241.9,80734.87227,80759.1,82207.49999999997,-130.16601560936226,-1.050181710853354,16.774727865576214,3.3549455731152427,5.0181710853353945,600,1,False,SL
B  FVG + EMA200,Weak Trend,2026-05-25 06:00:00+00:00,2026-05-25 07:00:00+00:00,77374.2,77257.51579,77280.7,77561.2,-150.33916310216085,-1.247959465240558,49.96229873459111,9.992459746918222,14.981873802890474,60,0,False,SL
B  FVG + EMA200,Weak Trend,2026-06-12 10:00:00+00:00,2026-06-12 12:00:00+00:00,63719.9,63385.978500000005,63405.0,64349.700000000004,-136.29930997141633,-1.0604048904413947,20.18194323594783,4.0363886471895665,6.0404890441394725,120,0,False,SL
B  FVG + EMA200,Ranging,2026-06-13 02:00:00+00:00,2026-06-13 03:00:00+00:00,63799.6,63559.22651000001,63578.3,64242.19999999999,-151.76786077993344,-1.0861883868052218,28.775152849074225,5.755030569814845,8.618838680522185,60,0,False,SL
B  FVG + EMA200,Ranging,2026-06-13 08:00:00+00:00,2026-06-13 12:00:00+00:00,63812.6,64162.19999999999,63637.8,64162.19999999999,156.07272311212705,2.0,36.60606407322746,7.321212814645492,0.0,240,0,True,TP
B  FVG + EMA200,Weak Trend,2026-06-13 20:00:00+00:00,2026-06-13 21:00:00+00:00,64262.6,64563.99999999999,64111.9,64563.99999999999,148.7087193098862,2.0,42.742733908428164,8.548546781685634,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-06-14 22:00:00+00:00,2026-06-17 22:00:00+00:00,65276.9,63952.30855,63971.5,67887.70000000001,-108.88006933736762,-1.0147015857208506,4.949793494331235,0.989958698866247,1.4701585720850636,4320,9,False,SL
B  FVG + EMA200,Weak Trend,2026-06-20 16:00:00+00:00,2026-06-20 17:00:00+00:00,64129.8,63787.55799,63806.7,64776.000000000015,-135.60335338718346,-1.0592448467966438,19.795320023212273,3.9590640046424546,5.924484679664373,60,0,False,SL
B  FVG + EMA200,Weak Trend,2026-06-22 02:00:00+00:00,2026-06-22 22:00:00+00:00,64570.1,63800.854,63820.0,66070.29999999999,-115.37322655645933,-1.0255245967204383,8.556922676976422,1.7113845353952843,2.5524596720438177,1200,2,False,SL
B  FVG + EMA200,Trending,2026-07-01 23:00:00+00:00,2026-07-02 00:00:00+00:00,60454.3,60304.80313,60322.9,60717.100000000006,-182.68584617808312,-1.137723515981743,45.95095248477879,9.190190496955758,13.77235159817429,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-02 10:00:00+00:00,2026-07-03 20:00:00+00:00,61147.6,62757.799999999996,60342.5,62757.799999999996,190.76596199229908,2.0,7.695031673084102,1.5390063346168206,0.0,2040,4,True,TP
B  FVG + EMA200,Trending,2026-07-03 22:00:00+00:00,2026-07-04 01:00:00+00:00,62702.4,62455.657680000004,62474.4,63158.4,-149.37696254736628,-1.0822031578947262,27.446942473684214,5.4893884947368425,8.220315789472615,180,0,False,SL
B  FVG + EMA200,Trending,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,62658.9,62545.930589999996,62564.7,62847.30000000001,-165.0697014741768,-1.1992506369426743,49.95492683002734,9.990985366005468,14.977449332816878,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-04 17:00:00+00:00,2026-07-04 18:00:00+00:00,62888.8,63164.40000000001,62751.0,63164.40000000001,145.11471698113323,2.0,45.737735849055646,9.14754716981113,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-07-04 19:00:00+00:00,2026-07-04 20:00:00+00:00,63141.9,63283.700000000004,63071.0,63283.700000000004,52.21939789585276,2.0,50.05614338497892,10.011228676995785,0.0,60,0,True,TP
B  FVG + EMA200,Weak Trend,2026-07-05 23:00:00+00:00,2026-07-06 05:00:00+00:00,63705.1,62959.40651000001,62978.3,65158.69999999999,-115.65570774710932,-1.0259954457897564,8.713848824298347,1.7427697648596696,2.599544578975652,360,0,False,SL
B  FVG + EMA200,Weak Trend,2026-07-06 16:00:00+00:00,2026-07-08 08:00:00+00:00,63519.9,62000.794180000004,62019.4,66520.9,-107.49910406584432,-1.012399746751081,4.182628929690103,0.8365257859380206,1.2399746751081,2400,5,False,SL
B  FVG + EMA200,Weak Trend,2026-07-09 06:00:00+00:00,2026-07-09 18:00:00+00:00,62565.6,63290.6,62203.1,63290.6,179.16862896551726,2.0,17.359475862068965,3.471895172413793,0.0,720,1,True,TP
B  FVG + EMA200,Weak Trend,2026-07-09 19:00:00+00:00,2026-07-09 23:00:00+00:00,63193.4,63018.0889,63037.0,63506.200000000004,-172.60172208439513,-1.1209149616368117,40.348941464194,8.0697882928388,12.091496163681173,240,0,False,SL
B  FVG + EMA200,Trending,2026-07-10 03:00:00+00:00,2026-07-10 12:00:00+00:00,63936.1,64490.299999999996,63659.0,64490.299999999996,172.19204619271008,2.0,23.173294839408275,4.634658967881655,0.0,540,1,True,TP
B  FVG + EMA200,Weak Trend,2026-07-10 23:00:00+00:00,2026-07-11 02:00:00+00:00,64085.1,63930.815,63950.0,64355.299999999996,-185.25503256846525,-1.1420059215395846,47.37820688379029,9.475641376758059,14.200592153958459,180,0,False,SL
B  FVG + EMA200,Weak Trend,2026-07-14 14:00:00+00:00,2026-07-14 15:00:00+00:00,63817.6,64092.799999999996,63680.0,64092.799999999996,144.22511627906917,2.0,46.479069767442354,9.295813953488471,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-07-14 17:00:00+00:00,2026-07-14 18:00:00+00:00,64706.4,64580.81994,64600.2,64918.80000000001,-171.95551905529908,-1.1824864406779196,49.95148081951708,9.990296163903416,14.975381106038865,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-15 14:00:00+00:00,2026-07-15 15:00:00+00:00,65094.9,65568.70000000001,64858.0,65568.70000000001,166.9066441536546,2.0000000000000306,27.577796538623726,5.515559307724746,0.0,60,0,True,TP
B  FVG + EMA200,Weak Trend,2026-07-16 15:00:00+00:00,2026-07-16 16:00:00+00:00,64509.9,64280.71,64300.0,64929.700000000004,-155.19502906145829,-1.0919009051929525,30.67904001905648,6.135808003811296,9.190090519295255,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-17 18:00:00+00:00,2026-07-19 02:00:00+00:00,64018.2,64933.2,63560.7,64933.2,183.08834098360657,2.0,14.093049180327867,2.8186098360655736,0.0,1920,4,True,TP
B  FVG + EMA200,Weak Trend,2026-07-20 00:00:00+00:00,2026-07-20 01:00:00+00:00,64700.1,64519.13845,64538.5,65023.299999999996,-171.93975437500242,-1.1198115717821882,39.981200015470655,7.996240003094131,11.981157178218822,60,0,False,SL
B  FVG + EMA200,Weak Trend,2026-07-20 17:00:00+00:00,2026-07-20 18:00:00+00:00,65479.9,65292.306430000004,65311.9,65815.9,-170.03003801071105,-1.1166283928571266,38.92029953273809,7.784059906547619,11.66283928571266,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-21 09:00:00+00:00,2026-07-21 10:00:00+00:00,66192.0,66384.6,66095.7,66384.6,85.39856780276003,2.0,50.07274292965917,10.014548585931834,0.0,60,0,True,TP
B  FVG + EMA200,Trending,2026-07-22 01:00:00+00:00,2026-07-22 02:00:00+00:00,66592.7,66486.0482,66506.0,66766.09999999999,-155.0101204185952,-1.2301245674740016,49.95996115189804,9.991992230379608,14.980470832384988,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-23 22:00:00+00:00,2026-07-24 00:00:00+00:00,65137.5,64948.509600000005,64968.0,65476.5,-169.0456671150385,-1.1149876106194403,38.37345415929204,7.674690831858408,11.498761061944032,120,0,False,SL
B  FVG + EMA200,Ranging,2026-07-26 16:00:00+00:00,2026-07-26 17:00:00+00:00,64737.2,64623.30719,64642.7,64926.2,-162.89082962654788,-1.2052149206348948,49.956017247424974,9.991203449484994,14.978103779586972,60,0,False,SL
B  FVG + EMA200,Trending,2026-07-26 23:00:00+00:00,2026-07-27 12:00:00+00:00,65381.2,64804.352860000006,64823.8,66495.99999999999,-120.9913189300313,-1.0348890204520933,11.677929033010528,2.335585806602106,3.488902045209326,780,1,False,SL
C  FVG+EMA+Slope,Trending,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80014.50000000001,79735.2,80014.50000000001,56.55533188105699,2.0,50.058312653532646,10.011662530706529,0.0,60,0,True,TP
C  FVG+EMA+Slope,Trending,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,80066.27291,80090.3,80398.99999999999,-154.07158197079093,-1.2334994169096656,49.96043084388702,9.992086168777403,14.980752732153865,60,0,False,SL
C  FVG+EMA+Slope,Ranging,2026-05-09 03:00:00+00:00,2026-05-09 04:00:00+00:00,80384.0,80582.0,80285.0,80582.0,63.08494227707006,2.0,50.06157941878981,10.012315883757964,0.0,60,0,True,TP
C  FVG+EMA+Slope,Ranging,2026-05-09 17:00:00+00:00,2026-05-09 18:00:00+00:00,80580.0,80861.20000000001,80439.4,80861.20000000001,114.38029287665154,2.0,50.08724249193349,10.017448498386699,0.0,60,0,True,TP
