label,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,fees,spread_cost,sl_slippage,holding_minutes,funding_windows_crossed,win,exit_type
FVG+Slope,2026-05-08 19:00:00+00:00,2026-05-09 01:00:00+00:00,92.28,93.64000000000001,91.6,93.64000000000001,183.5952941176472,2.0,13.670588235293982,2.7341176470587967,0.0,360,0,True,TP
FVG+Slope,2026-05-09 02:00:00+00:00,2026-05-09 15:00:00+00:00,93.43,92.34228900000001,92.37,95.55000000000001,-115.7439031509427,-1.0261424528301852,8.7628438207547,1.7525687641509402,2.614245283018531,780,1,False,SL
FVG+Slope,2026-05-10 05:00:00+00:00,2026-05-10 07:00:00+00:00,93.28,93.56,93.14,93.56,89.99571183533507,2.0,50.07504288164666,10.015008576329333,0.0,120,0,True,TP
FVG+Slope,2026-05-10 10:00:00+00:00,2026-05-10 11:00:00+00:00,94.26,93.961803,93.99,94.80000000000003,-162.7137339999914,-1.1044333333332983,34.85588944444313,6.971177888888626,10.443333333329823,60,0,False,SL
FVG+Slope,2026-05-10 15:00:00+00:00,2026-05-10 16:00:00+00:00,93.83,94.24999999999999,93.62,94.24999999999999,146.26285714285558,2.0,44.78095238095371,8.956190476190741,0.0,60,0,True,TP
FVG+Slope,2026-05-10 18:00:00+00:00,2026-05-10 20:00:00+00:00,96.44,94.721575,94.75,99.82,-110.15070680473357,-1.0168195266272182,5.655667899408291,1.1311335798816584,1.6819526627218122,120,0,False,SL
FVG+Slope,2026-05-11 00:00:00+00:00,2026-05-11 01:00:00+00:00,96.42,95.89122400000001,95.92,97.42,-134.58774687999738,-1.057551999999987,19.2311224,3.84622448,5.755199999998695,60,0,False,SL
FVG+Slope,2026-05-11 17:00:00+00:00,2026-05-12 01:00:00+00:00,97.29,96.411068,96.44,98.99000000000002,-120.4805459764698,-1.0340376470588202,11.394180470588122,2.2788360941176244,3.4037647058820264,480,1,False,SL
FVG+Slope,2026-05-12 19:00:00+00:00,2026-05-12 20:00:00+00:00,94.51,94.89000000000003,94.32,94.89000000000003,140.1894736842143,2.0,49.84210526315478,9.968421052630957,0.0,60,0,True,TP
FVG+Slope,2026-05-13 03:00:00+00:00,2026-05-13 04:00:00+00:00,95.17,95.59000000000002,94.96,95.59000000000002,145.49714285714492,2.0,45.419047619045905,9.083809523809181,0.0,60,0,True,TP
FVG+Slope,2026-05-13 10:00:00+00:00,2026-05-13 11:00:00+00:00,95.66,95.47135,95.5,95.97999999999999,-173.5201808488368,-1.1790624999999972,49.95069778381768,9.990139556763538,14.974911143633156,60,0,False,SL
FVG+Slope,2026-06-14 22:00:00+00:00,2026-06-15 15:00:00+00:00,70.11,74.83,67.75,74.83,196.3150847457627,2.0,3.0707627118644076,0.6141525423728815,0.0,1020,2,True,TP
FVG+Slope,2026-06-15 17:00:00+00:00,2026-06-15 19:00:00+00:00,75.43,74.887527,74.91,76.47000000000003,-125.98779157691904,-1.0432173076922893,14.453608365384332,2.8907216730768663,4.321730769228926,120,0,False,SL
FVG+Slope,2026-06-16 08:00:00+00:00,2026-06-16 09:00:00+00:00,74.41,75.09,74.07,75.09,173.6176470588238,2.0,21.985294117646838,4.397058823529368,0.0,60,0,True,TP
FVG+Slope,2026-06-16 19:00:00+00:00,2026-06-16 23:00:00+00:00,73.97,73.507941,73.53,74.85,-130.13744649999958,-1.0501340909090882,16.758856931818272,3.3517713863636542,5.013409090908826,240,0,False,SL
FVG+Slope,2026-06-18 01:00:00+00:00,2026-06-18 02:00:00+00:00,72.17,72.57000000000001,71.97,72.57000000000001,156.5780000000006,2.0,36.18499999999949,7.236999999999899,0.0,60,0,True,TP
FVG+Slope,2026-06-18 09:00:00+00:00,2026-06-18 10:00:00+00:00,71.81,71.548529,71.57,72.29000000000002,-153.73213224999057,-1.0894624999999596,29.866360208332203,5.973272041666441,8.946249999995969,60,0,False,SL
FVG+Slope,2026-06-20 16:00:00+00:00,2026-06-20 17:00:00+00:00,72.0,71.57852,71.6,72.80000000000001,-132.27677799999796,-1.0536999999999914,17.947314999999747,3.5894629999999497,5.369999999999132,60,0,False,SL
FVG+Slope,2026-06-20 22:00:00+00:00,2026-06-20 23:00:00+00:00,72.35,73.20999999999998,71.92,73.20999999999998,179.68930232558105,2.0,16.925581395349123,3.385116279069825,0.0,60,0,True,TP
FVG+Slope,2026-06-22 02:00:00+00:00,2026-06-22 14:00:00+00:00,74.33,73.198034,73.22,76.55,-111.9323261621607,-1.019789189189182,6.64540693693694,1.3290813873873881,1.9789189189181933,720,1,False,SL
FVG+Slope,2026-06-27 14:00:00+00:00,2026-06-27 15:00:00+00:00,72.32,72.82,72.07,72.82,165.1664,2.0,29.028,5.805599999999999,0.0,60,0,True,TP
FVG+Slope,2026-06-28 09:00:00+00:00,2026-06-28 17:00:00+00:00,71.87,70.988697,71.01,73.59,-114.9210718837217,-1.0247709302325618,8.305738197674426,1.6611476395348852,2.4770930232561854,480,1,False,SL
FVG+Slope,2026-06-29 04:00:00+00:00,2026-06-29 05:00:00+00:00,72.64,72.12835500000001,72.15,73.61999999999999,-126.56143122448698,-1.04417346938774,14.772281122449137,2.954456224489827,4.417346938773998,60,0,False,SL
FVG+Slope,2026-06-29 19:00:00+00:00,2026-06-29 22:00:00+00:00,75.56,75.07746999999999,75.1,76.48000000000002,-129.44401782608787,-1.0489782608695715,16.37363804347798,3.2747276086955956,4.8978260869571475,180,0,False,SL
FVG+Slope,2026-07-01 05:00:00+00:00,2026-07-01 06:00:00+00:00,75.51,75.167443,75.19,76.15000000000002,-142.350145562494,-1.0704906249999733,23.54335046874946,4.708670093749892,7.04906249999732,60,0,False,SL
FVG+Slope,2026-07-01 10:00:00+00:00,2026-07-01 11:00:00+00:00,75.42,75.007491,75.03,76.2,-134.68576784615348,-1.057715384615383,19.28557576923074,3.8571151538461477,5.77153846153831,60,0,False,SL
FVG+Slope,2026-07-01 15:00:00+00:00,2026-07-02 09:00:00+00:00,76.92,79.56000000000002,75.6,79.56000000000002,192.88727272727274,2.0,5.927272727272696,1.185454545454539,0.0,1080,2,True,TP
FVG+Slope,2026-07-02 10:00:00+00:00,2026-07-02 11:00:00+00:00,79.43,81.79000000000002,78.25,81.79000000000002,191.80237288135595,2.0,6.831355932203352,1.3662711864406705,0.0,60,0,True,TP
FVG+Slope,2026-07-02 12:00:00+00:00,2026-07-02 13:00:00+00:00,82.33,81.445559,81.47,84.05,-117.11015527906883,-1.0284197674418558,9.521834825581402,1.9043669651162805,2.841976744185576,60,0,False,SL
FVG+Slope,2026-07-03 19:00:00+00:00,2026-07-04 04:00:00+00:00,82.09,83.07000000000002,81.6,83.07000000000002,179.7763265306126,2.0,16.853061224489483,3.370612244897897,0.0,540,1,True,TP
FVG+Slope,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,83.45,82.59521400000001,82.62,85.11,-117.97579860240768,-1.0298626506023998,10.00272373493978,2.000544746987956,2.986265060239977,60,0,False,SL
FVG+Slope,2026-07-04 17:00:00+00:00,2026-07-04 19:00:00+00:00,82.19,81.915418,81.94,82.69,-159.05090031999617,-1.0983279999999809,32.8210836,6.56421672,9.832799999998088,120,0,False,SL
FVG+Slope,2026-07-05 14:00:00+00:00,2026-07-05 22:00:00+00:00,81.19,82.31,80.63,82.31,182.48214285714295,2.0,14.598214285714226,2.919642857142845,0.0,480,1,True,TP
FVG+Slope,2026-07-05 23:00:00+00:00,2026-07-06 00:00:00+00:00,81.79,81.57552,81.6,82.17000000000003,-177.3575326315709,-1.1288421052631337,42.99092631578679,8.598185263157356,12.884210526313375,60,0,False,SL
FVG+Slope,2026-07-06 17:00:00+00:00,2026-07-07 02:00:00+00:00,82.07,81.20563100000001,81.23,83.74999999999997,-117.46468792856999,-1.0290107142857063,9.718787559523935,1.943757511904787,2.90107142857063,540,1,False,SL
FVG+Slope,2026-07-07 08:00:00+00:00,2026-07-07 09:00:00+00:00,81.45,81.255616,81.28,81.79,-186.11257035293764,-1.1434352941176322,47.854592941175994,9.5709185882352,14.343529411763233,60,0,False,SL
FVG+Slope,2026-07-15 14:00:00+00:00,2026-07-15 16:00:00+00:00,78.06,77.596714,77.62,78.94,-131.81046099999963,-1.0529227272727248,17.68826295454555,3.53765259090911,5.292272727272484,120,0,False,SL
FVG+Slope,2026-07-20 17:00:00+00:00,2026-07-20 18:00:00+00:00,77.62,78.06,77.4,78.06,157.54181818181794,2.0,35.38181818181837,7.0763636363636735,0.0,60,0,True,TP
FVG+Slope,2026-07-22 01:00:00+00:00,2026-07-22 02:00:00+00:00,78.39,78.03658200000001,78.06,79.05,-142.6339239999956,-1.0709636363636137,23.700997272727395,4.740199454545479,7.0963636363613665,60,0,False,SL
Liq.Sweep,2026-05-07 16:00:00+00:00,2026-05-07 21:00:00+00:00,88.26,87.713678,87.74,89.30000000000003,-130.42850130768912,-1.0506192307692168,16.920545961538128,3.3841091923076254,5.061923076921688,300,0,False,SL
Liq.Sweep,2026-05-09 14:00:00+00:00,2026-05-09 15:00:00+00:00,93.4,92.922115,92.95,94.30000000000001,-137.23628199999874,-1.0619666666666612,20.70245722222209,4.140491444444418,6.19666666666612,60,0,False,SL
Liq.Sweep,2026-05-09 16:00:00+00:00,2026-05-10 09:00:00+00:00,92.95,94.19000000000001,92.33,94.19000000000001,181.88967741935497,2.0,15.09193548387086,3.018387096774172,0.0,1020,2,True,TP
Liq.Sweep,2026-05-11 05:00:00+00:00,2026-05-11 06:00:00+00:00,94.91,95.94999999999999,94.39,95.94999999999999,177.97769230769214,2.0,18.351923076923217,3.6703846153846436,0.0,60,0,True,TP
Liq.Sweep,2026-05-11 14:00:00+00:00,2026-05-11 15:00:00+00:00,95.17,96.59000000000002,94.46,96.59000000000002,183.79492957746498,2.0,13.504225352112526,2.7008450704225053,0.0,60,0,True,TP
Liq.Sweep,2026-05-12 10:00:00+00:00,2026-05-12 11:00:00+00:00,95.74,95.221425,95.25,96.71999999999998,-135.04629693877732,-1.0583163265306201,19.485859693877757,3.8971719387755512,5.831632653062014,60,0,False,SL
Liq.Sweep,2026-05-12 13:00:00+00:00,2026-05-12 15:00:00+00:00,95.17,94.291704,94.32,96.87000000000002,-120.03164969411685,-1.0332894117647025,11.144806117646946,2.228961223529389,3.328941176470253,120,0,False,SL
Liq.Sweep,2026-05-13 01:00:00+00:00,2026-05-13 02:00:00+00:00,94.43,95.31000000000003,93.99,95.31000000000003,174.12636363636432,2.0,21.56136363636306,4.312272727272612,0.0,60,0,True,TP
Liq.Sweep,2026-05-13 08:00:00+00:00,2026-05-13 09:00:00+00:00,95.08,95.61999999999999,94.81,95.61999999999999,157.62222222222158,2.0,35.314814814815335,7.062962962963067,0.0,60,0,True,TP
Liq.Sweep,2026-05-15 03:00:00+00:00,2026-05-15 04:00:00+00:00,92.3,91.37258000000001,91.4,94.09999999999998,-118.33817199999845,-1.0304666666666584,10.204032222222319,2.040806444444464,3.046666666665832,60,0,False,SL
Liq.Sweep,2026-06-14 10:00:00+00:00,2026-06-14 12:00:00+00:00,68.44,67.839642,67.86,69.6,-121.11789400000065,-1.035100000000003,11.748245000000036,2.349649000000007,3.5100000000002956,120,0,False,SL
Liq.Sweep,2026-06-17 02:00:00+00:00,2026-06-17 07:00:00+00:00,73.89,73.07807,73.1,75.47000000000001,-116.71403063291064,-1.0277594936708827,9.301776582278405,1.8603553164556812,2.775949367088277,300,0,False,SL
Liq.Sweep,2026-06-17 13:00:00+00:00,2026-06-17 15:00:00+00:00,72.28,73.78,71.53,73.78,188.3152,2.0,9.737333333333334,1.947466666666667,0.0,120,0,True,TP
Liq.Sweep,2026-06-17 23:00:00+00:00,2026-06-18 05:00:00+00:00,71.66,70.73877200000001,70.76,73.45999999999998,-114.21058479999871,-1.0235866666666598,7.9110428888889635,1.5822085777777928,2.358666666665976,360,0,False,SL
Liq.Sweep,2026-06-18 06:00:00+00:00,2026-06-18 09:00:00+00:00,71.07,72.04999999999998,70.58,72.04999999999998,182.47510204081613,2.0,14.604081632653212,2.9208163265306424,0.0,180,0,True,TP
Liq.Sweep,2026-06-18 15:00:00+00:00,2026-06-18 16:00:00+00:00,71.04,70.618808,70.64,71.84000000000002,-131.84482119999916,-1.0529799999999974,17.707350999999747,3.54147019999995,5.297999999999727,60,0,False,SL
