entry_time,r,exit_type,bars_in,atr,entry,market,tick,hyp,ts,cost_r,r_net,period
2026-07-09 01:55:00+00:00,1.3,TP,2,0.0001788725256561061,1.1428571939468384,forex,EURUSD=X,S1_mom,2026-07-09 01:55:00+00:00,0.6708688187849916,0.6291311812150084,sel
2026-07-09 03:30:00+00:00,-1.0,SL,2,0.00017317441384094982,1.143379807472229,forex,EURUSD=X,S1_mom,2026-07-09 03:30:00+00:00,0.6929430124141359,-1.692943012414136,sel
2026-07-09 05:10:00+00:00,-1.0,SL,2,0.0001695805501796287,1.1435105800628662,forex,EURUSD=X,S1_mom,2026-07-09 05:10:00+00:00,0.7076283210125787,-1.7076283210125787,sel
2026-07-09 06:20:00+00:00,-1.0,SL,4,0.000258099475571306,1.144819736480713,forex,EURUSD=X,S1_mom,2026-07-09 06:20:00+00:00,0.4649370159872611,-1.4649370159872612,sel
2026-07-09 11:50:00+00:00,1.3,TP,2,0.00017734878344714505,1.1432491540908813,forex,EURUSD=X,S1_mom,2026-07-09 11:50:00+00:00,0.6766327778942075,0.6233672221057925,sel
2026-07-09 12:05:00+00:00,-1.0,SL,4,0.00019541168194132236,1.1437721252441406,forex,EURUSD=X,S1_mom,2026-07-09 12:05:00+00:00,0.6140881589465733,-1.6140881589465734,sel
2026-07-09 13:05:00+00:00,-1.0,SL,1,0.00024230528588398633,1.143379807472229,forex,EURUSD=X,S1_mom,2026-07-09 13:05:00+00:00,0.49524301363138634,-1.4952430136313863,sel
2026-07-09 14:00:00+00:00,-1.0,SL,1,0.00028287987230692985,1.144819736480713,forex,EURUSD=X,S1_mom,2026-07-09 14:00:00+00:00,0.4242083362855799,-1.42420833628558,sel
2026-07-09 14:20:00+00:00,-1.0,SL,2,0.00029497645564575796,1.144426703453064,forex,EURUSD=X,S1_mom,2026-07-09 14:20:00+00:00,0.4068121292504442,-1.406812129250444,sel
2026-07-09 15:05:00+00:00,-1.0,SL,1,0.00028310798223423204,1.1439030170440674,forex,EURUSD=X,S1_mom,2026-07-09 15:05:00+00:00,0.4238665369057552,-1.4238665369057553,sel
2026-07-09 15:40:00+00:00,1.3,TP,7,0.00029091860554071483,1.1440337896347046,forex,EURUSD=X,S1_mom,2026-07-09 15:40:00+00:00,0.41248650899093386,0.8875134910090662,sel
2026-07-09 17:15:00+00:00,-1.0,SL,5,0.00020181485867204805,1.144164800643921,forex,EURUSD=X,S1_mom,2026-07-09 17:15:00+00:00,0.5946043853738325,-1.5946043853738325,sel
2026-07-09 21:30:00+00:00,-1.0,SL,1,0.00034772236651297965,1.1437721252441406,forex,EURUSD=X,S1_mom,2026-07-09 21:30:00+00:00,0.34510290840184044,-1.3451029084018404,sel
2026-07-09 21:45:00+00:00,-1.0,SL,1,0.00039071130753627153,1.1435105800628662,forex,EURUSD=X,S1_mom,2026-07-09 21:45:00+00:00,0.3071321399851215,-1.3071321399851215,sel
2026-07-09 23:35:00+00:00,-1.0,SL,1,0.00012871798490909258,1.1436413526535034,forex,EURUSD=X,S1_mom,2026-07-09 23:35:00+00:00,0.9322706542116109,-1.932270654211611,sel
2026-07-10 00:00:00+00:00,-1.0,SL,1,0.00012935416988133004,1.1437721252441406,forex,EURUSD=X,S1_mom,2026-07-10 00:00:00+00:00,0.9276855945972861,-1.927685594597286,sel
2026-07-10 00:35:00+00:00,1.3,TP,2,0.0001467480067024522,1.1436413526535034,forex,EURUSD=X,S1_mom,2026-07-10 00:35:00+00:00,0.8177283132936399,0.4822716867063601,sel
2026-07-10 01:05:00+00:00,1.3,TP,2,0.00019091639232812478,1.1445575952529907,forex,EURUSD=X,S1_mom,2026-07-10 01:05:00+00:00,0.6285473894444749,0.6714526105555252,sel
2026-07-10 02:05:00+00:00,1.3,TP,2,0.000230441948179538,1.1456066370010376,forex,EURUSD=X,S1_mom,2026-07-10 02:05:00+00:00,0.5207385241618755,0.7792614758381246,sel
2026-07-10 06:15:00+00:00,-1.0,SL,2,0.00017544578659237282,1.1449507474899292,forex,EURUSD=X,S1_mom,2026-07-10 06:15:00+00:00,0.6839719683824929,-1.683971968382493,sel
2026-07-10 08:00:00+00:00,-1.0,SL,2,0.00023809701956438434,1.1442956924438477,forex,EURUSD=X,S1_mom,2026-07-10 08:00:00+00:00,0.5039962290143264,-1.5039962290143265,sel
2026-07-10 10:20:00+00:00,-1.0,SL,2,0.00019268434747587106,1.1436413526535034,forex,EURUSD=X,S1_mom,2026-07-10 10:20:00+00:00,0.6227802183829542,-1.622780218382954,sel
2026-07-10 10:35:00+00:00,-1.0,SL,2,0.00019835720034398882,1.1436413526535034,forex,EURUSD=X,S1_mom,2026-07-10 10:35:00+00:00,0.6049692161005366,-1.6049692161005367,sel
2026-07-10 12:10:00+00:00,-1.0,SL,2,0.0002699873366569414,1.1440337896347046,forex,EURUSD=X,S1_mom,2026-07-10 12:10:00+00:00,0.44446529043129773,-1.4444652904312978,sel
2026-07-10 20:00:00+00:00,-1.0,SL,1,0.00014992606214927863,1.1422044038772583,forex,EURUSD=X,S1_mom,2026-07-10 20:00:00+00:00,0.8003945296750221,-1.8003945296750221,sel
2026-07-12 23:55:00+00:00,-1.0,SL,3,0.00019953746117324118,1.1406410932540894,forex,EURUSD=X,S1_mom,2026-07-12 23:55:00+00:00,0.6013908330517163,-1.6013908330517164,sel
2026-07-13 00:20:00+00:00,-1.0,SL,3,0.00022944875633401022,1.1406410932540894,forex,EURUSD=X,S1_mom,2026-07-13 00:20:00+00:00,0.5229925928441954,-1.5229925928441954,sel
2026-07-13 01:35:00+00:00,1.3,TP,5,0.000235529690935119,1.1397310495376587,forex,EURUSD=X,S1_mom,2026-07-13 01:35:00+00:00,0.5094899055977458,0.7905100944022543,sel
2026-07-13 02:35:00+00:00,-1.0,SL,2,0.0002057743090542566,1.1402509212493896,forex,EURUSD=X,S1_mom,2026-07-13 02:35:00+00:00,0.5831631779084704,-1.5831631779084705,sel
2026-07-13 04:50:00+00:00,1.3,TP,2,0.00015910764695976147,1.1406410932540894,forex,EURUSD=X,S1_mom,2026-07-13 04:50:00+00:00,0.7542063646403379,0.5457936353596622,sel
2026-07-13 07:35:00+00:00,1.3,TP,3,0.00028248332680746,1.1422044038772583,forex,EURUSD=X,S1_mom,2026-07-13 07:35:00+00:00,0.4248038330481421,0.875196166951858,sel
2026-07-13 07:50:00+00:00,1.3,TP,3,0.0002967999056019307,1.1428571939468384,forex,EURUSD=X,S1_mom,2026-07-13 07:50:00+00:00,0.4043127970564267,0.8956872029435734,sel
2026-07-13 08:05:00+00:00,1.3,TP,1,0.00032640630942487196,1.1437721252441406,forex,EURUSD=X,S1_mom,2026-07-13 08:05:00+00:00,0.36763995221612,0.93236004778388,sel
2026-07-13 08:10:00+00:00,1.3,TP,1,0.00035919657366953093,1.1442956924438477,forex,EURUSD=X,S1_mom,2026-07-13 08:10:00+00:00,0.3340789105366098,0.9659210894633903,sel
