rank,feature_label,n_wins,n_losses,mean_wins,mean_losses,diff,pct_diff,cohens_d,abs_d,correlation
1,Holding Time (min),31,55,469.7419354838709,200.8909090909091,268.8510263929618,133.82936421045184,0.559086409124962,0.559086409124962,0.2621173541351825
2,Dist from 20-Bar LL (%),31,55,1.9850963703245526,1.3779499842586922,0.6071463860658604,44.06156921523183,0.48864856175568416,0.48864856175568416,0.23097490822244396
3,Funding Rate,31,55,4.206479145534703e-05,2.3622253778589375e-05,1.8442537676757654e-05,78.0727235804497,0.4537018358880578,0.4537018358880578,0.21524961079244123
4,Hour of Day (UTC),31,55,8.483870967741936,11.018181818181818,-2.5343108504398817,-23.001171084848323,-0.36087478550789254,0.36087478550789254,-0.17268553280214455
5,Dist from EMA200 (%),31,55,2.6134999109631014,2.032289473958004,0.5812104370050974,28.598801718579477,0.3156831678754825,0.3156831678754825,0.1515920557299883
6,ATR (% of price),31,55,0.7985119700784377,0.7183578776062197,0.08015409247221794,11.157961090258164,0.3055792323670285,0.3055792323670285,0.14684643182160564
7,ATR Rank Percentile,31,55,42.527978933508884,52.25306122448979,-9.725082290980907,-18.611507274568638,-0.2790928119388947,0.2790928119388947,-0.13435881198166696
8,EMA200 Slope (%),31,55,0.3138457235674535,0.2565548708590096,0.05729085270844392,22.330838045053124,0.2728147463809114,0.2728147463809114,0.13138923655284357
9,10-Bar Return Vol (%),31,55,0.47576963925703386,0.41475369832793424,0.06101594092909962,14.711367535705227,0.2624776170590341,0.2624776170590341,0.12649201076201783
10,5-Bar Range (%),31,55,1.7635092843303222,1.5901184177107723,0.17339086661954983,10.904273838238062,0.20372777189509172,0.20372777189509172,0.09849331244301597
11,Day of Week,31,55,2.935483870967742,2.618181818181818,0.3173020527859238,12.119175627235517,0.15309023634363214,0.15309023634363214,0.07416909502303051
12,Signal Bar Range (%),31,55,0.9051671513908269,0.8287885437062424,0.07637860768458449,9.2156929852018,0.14787768425034076,0.14787768425034076,0.07165691432016891
13,Relative Volume,31,55,1.1415289122453347,1.1732507122667513,-0.03172180002141656,-2.703752888425882,-0.04018087665464375,0.04018087665464375,-0.01951686247886118
14,ADX,31,55,25.83288065157123,25.627625985657208,0.20525466591402264,0.800911742776673,0.019509305618607094,0.019509305618607094,0.009477540070511358
15,Dist from 20-Bar HH (%),31,55,-1.8865783365225097,-1.8661047283752878,-0.020473608147221878,-1.0971307149002363,-0.0179174688319774,0.0179174688319774,-0.008704293527795745
