feature,n,win_rate,profit_factor,expectancy_r,avg_r,net_pnl,max_drawdown,decile,midpoint
Distance From EMA200 (%),9,0.3333333333333333,0.5900823543545547,-1.1102230246251565e-16,-0.050805848954060866,-351.4646303375689,-0.07175844801683647,"D1
[0.02,0.27)",0.09047769274355272
Distance From EMA200 (%),9,0.1111111111111111,0.15151593664846447,-0.6666666666666666,-0.72414234777861,-942.5110657942429,-0.09566946966076469,"D2
[0.27,0.54)",0.4256783691438599
Distance From EMA200 (%),8,0.25,0.4209606319148313,-0.25,-0.3011872489645244,-489.8871231094148,-0.056711735535165966,"D3
[0.54,0.85)",0.6859790150247888
Distance From EMA200 (%),9,0.4444444444444444,0.8144093289136259,0.33333333333333326,0.28410152594322713,-137.24495185823264,-0.05914346413894789,"D4
[0.85,1.27)",1.1744711197702955
Distance From EMA200 (%),8,0.25,0.4588425625881217,-0.25,-0.2861924312627734,-418.89173404716,-0.058537963983050785,"D5
[1.27,1.74)",1.651610965688831
Distance From EMA200 (%),9,0.1111111111111111,0.1794575612797377,-0.6666666666666666,-0.715490093706325,-873.1393250370407,-0.07586519644298156,"D6
[1.74,2.20)",2.0057775475440303
Distance From EMA200 (%),8,0.75,4.24437608994909,1.25,1.2388214846593701,823.3302126957469,-0.012546065402432813,"D7
[2.20,2.78)",2.4719375973194087
Distance From EMA200 (%),9,0.5555555555555556,1.7258572597756117,0.6666666666666667,0.6465112828315838,369.51084056289005,-0.038474101481668646,"D8
[2.78,3.98)",3.128947715623805
Distance From EMA200 (%),8,0.375,0.8751013152494718,0.125,0.10094177534080032,-76.90860462055397,-0.036393680240420334,"D9
[3.98,5.38)",4.8962471326099015
Distance From EMA200 (%),9,0.4444444444444444,1.0297411360366684,0.33333333333333326,0.30057137153732266,20.140605193103596,-0.05233443761115047,"D10
[5.38,6.26)",5.844624050132544
