feature,n,win_rate,profit_factor,expectancy_r,avg_r,net_pnl,max_drawdown,decile,midpoint
Distance From 20-Bar Low (%),9,0.2222222222222222,0.3147482047117607,-0.33333333333333337,-0.3921328846333142,-697.5217941952812,-0.08592438048597295,"D1
[0.24,0.54)",0.44705421804658446
Distance From 20-Bar Low (%),9,0.3333333333333333,0.5266109228469932,-1.1102230246251565e-16,-0.04311080329474285,-394.3970362304892,-0.049461718350474346,"D2
[0.54,0.70)",0.6682341294394335
Distance From 20-Bar Low (%),8,0.0,0.0,-1.0,-1.0600507446237557,-1088.6947498366337,-0.09781224762971306,"D3
[0.70,0.86)",0.805718810653119
Distance From 20-Bar Low (%),9,0.2222222222222222,0.39084148842246264,-0.33333333333333337,-0.37957830119759056,-562.5555614797416,-0.04446975886021335,"D4
[0.86,0.98)",0.9319072328709198
Distance From 20-Bar Low (%),8,0.5,1.2748708592902926,0.5,0.4713370813342934,147.82781619419933,-0.02287912577024785,"D5
[0.98,1.16)",1.0745032291870158
Distance From 20-Bar Low (%),9,0.6666666666666666,3.150560750220885,0.9999999999999999,0.9921020596026389,737.2651574821759,-0.011215850087286277,"D6
[1.16,1.51)",1.3454146073585995
Distance From 20-Bar Low (%),8,0.375,0.6518838514541129,0.125,0.06413665590090592,-269.836563619946,-0.030102943239312376,"D7
[1.51,1.91)",1.6697148271715951
Distance From 20-Bar Low (%),9,0.2222222222222222,0.37408158320918766,-0.33333333333333337,-0.36986905885945975,-561.8826993406847,-0.05816023843722013,"D8
[1.91,2.17)",2.024372530294111
Distance From 20-Bar Low (%),8,0.625,2.3578015781501707,0.875,0.8590436223200641,511.5693332614353,-0.012932207391893442,"D9
[2.17,2.92)",2.4098529234431556
Distance From 20-Bar Low (%),9,0.4444444444444444,1.1546144176932787,0.33333333333333326,0.30481662478126403,101.16032141249244,-0.028734478106660653,"D10
[2.92,7.03)",4.478442280945756
