feature,n,win_rate,profit_factor,expectancy_r,avg_r,net_pnl,max_drawdown,decile,midpoint
Funding Rate,9,0.2222222222222222,0.36469755742492105,-0.33333333333333337,-0.37422141486191457,-585.2365191910026,-0.061009707430316994,"D1
[-0.00,-0.00)",-3.87989333161e-05
Funding Rate,9,0.2222222222222222,0.35615824004051394,-0.33333333333333337,-0.3952198645393985,-654.9755403476955,-0.08096550881801425,"D2
[-0.00,-0.00)",-1.19152252366e-05
Funding Rate,8,0.5,1.4742625944426282,0.5,0.4816697619528376,231.5427500079073,-0.025630950368412453,"D3
[-0.00,0.00)",-5.364179104049999e-06
Funding Rate,9,0.2222222222222222,0.3939243853646118,-0.33333333333333337,-0.3728047400739414,-553.6769121126215,-0.05235956446937221,"D4
[0.00,0.00)",1.47775536339e-05
Funding Rate,8,0.375,0.7299567107346473,0.125,0.07432179285129961,-200.78557548280702,-0.026919341469036656,"D5
[0.00,0.00)",2.855782381245e-05
Funding Rate,9,0.3333333333333333,0.6369324588654809,-1.1102230246251565e-16,-0.037260764199107205,-291.016063589786,-0.04598051076453065,"D6
[0.00,0.00)",3.67640954252e-05
Funding Rate,8,0.0,0.0,-1.0,-1.0572213146937441,-1075.11484429893,-0.09346437785340679,"D7
[0.00,0.00)",5.314151063415e-05
Funding Rate,9,0.5555555555555556,1.3678090450359623,0.6666666666666667,0.6332765844343881,203.7319106190605,-0.02957105163058375,"D8
[0.00,0.00)",6.10400190784e-05
Funding Rate,8,0.375,0.7582076464559983,0.125,0.09273780363133541,-158.4085815912141,-0.030162157960563984,"D9
[0.00,0.00)",7.28584409576e-05
Funding Rate,9,0.7777777777777778,4.618739878910741,1.3333333333333335,1.318865454474128,1006.8735996346154,-0.011632149554957468,"D10
[0.00,0.00)",9.8247928749e-05
