feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
dist_from_low20_pct,0,bb_width,2,58,0.5172413793103449,2.014638802640447,0.5517241379310346
dist_from_ema200_pct,2,dist_from_low20_pct,0,112,0.5178571428571429,1.982214151119864,0.5535714285714287
hour_utc,1,rel_vol,0,70,0.5,1.8402506474262006,0.5
atr_rank_pct,0,realized_vol,1,186,0.4731182795698925,1.687643854621151,0.4193548387096775
bb_width,0,realized_vol,2,24,0.4583333333333333,1.6540978401313517,0.3749999999999999
rsi14,2,rel_vol,0,64,0.46875,1.6533536363355965,0.40625
rsi14,0,dist_from_low20_pct,2,43,0.46511627906976744,1.6408661623914496,0.39534883720930225
ema200_slope_pct,2,dist_from_low20_pct,0,168,0.47023809523809523,1.629811650168387,0.4107142857142857
dist_from_low20_pct,0,hour_utc,1,197,0.4517766497461929,1.520279775893341,0.35532994923857875
atr_rank_pct,0,dist_from_ema200_pct,2,178,0.4438202247191011,1.5028550135275733,0.3314606741573033
dist_from_ema200_pct,2,bb_width,0,107,0.4392523364485981,1.4884404213439397,0.3177570093457943
rsi14,0,bb_width,2,163,0.44171779141104295,1.483846385183231,0.32515337423312884
atr_rank_pct,0,bb_width,2,66,0.4393939393939394,1.4663791900994874,0.31818181818181823
atr_rank_pct,0,rel_vol,0,227,0.44493392070484583,1.4521327162522981,0.3348017621145375
realized_vol,2,hour_utc,0,227,0.43171806167400884,1.4457231299494928,0.2951541850220265
atr_rank_pct,0,ema200_slope_pct,2,186,0.43010752688172044,1.4153862347573254,0.29032258064516137
rsi14,0,hour_utc,1,155,0.432258064516129,1.4124914932513606,0.2967741935483871
dist_from_ema200_pct,1,hour_utc,0,214,0.42990654205607476,1.405624665233559,0.28971962616822433
realized_vol,1,rel_vol,0,194,0.4329896907216495,1.4007091161298975,0.2989690721649485
session_code,0,rel_vol,0,327,0.43119266055045874,1.391918245120524,0.2935779816513763
atr_rank_pct,0,dist_from_ema200_pct,1,177,0.4293785310734463,1.3898116535418805,0.288135593220339
dist_from_low20_pct,2,hour_utc,0,189,0.41798941798941797,1.3767315155661701,0.25396825396825384
atr_rank_pct,0,ema200_slope_pct,1,213,0.4272300469483568,1.3725792708953217,0.2816901408450704
dist_from_low20_pct,0,session_code,1,260,0.4269230769230769,1.3721282211124235,0.28076923076923077
hour_utc,0,rel_vol,0,302,0.4271523178807947,1.370088951138606,0.2814569536423842
dist_from_ema200_pct,1,session_code,0,248,0.42338709677419356,1.3689798332479217,0.2701612903225806
bb_width,2,rel_vol,0,206,0.4223300970873786,1.3605557061791522,0.2669902912621359
dist_from_low20_pct,1,rel_vol,0,196,0.42346938775510207,1.354959507370263,0.27040816326530626
ema200_slope_pct,2,bb_width,0,117,0.4188034188034188,1.34726117163462,0.2564102564102565
atr_rank_pct,0,adx14,0,200,0.42,1.3470263564905034,0.2599999999999999
