label,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_mins,atr_rank_pct
LINK-USDT-SWAP,2026-06-14 02:00:00+00:00,2026-06-14 03:00:00+00:00,7.966,7.9506141,7.953,7.992,-171.4898848857659,-1.1835307692307833,0,SL,60,2.0
LINK-USDT-SWAP,2026-06-14 04:00:00+00:00,2026-06-14 05:00:00+00:00,7.959,7.945615600000001,7.948,7.980999999999998,-159.01224626208224,-1.216763636363607,0,SL,60,2.0
LINK-USDT-SWAP,2026-06-14 10:00:00+00:00,2026-06-14 12:00:00+00:00,7.941,7.887633,7.89,8.043,-127.90427411764527,-1.0464117647058737,0,SL,120,1.0
LINK-USDT-SWAP,2026-07-19 05:00:00+00:00,2026-07-19 10:00:00+00:00,8.345,8.325501599999999,8.328,8.379000000000003,-188.23000564705646,-1.1469647058823624,0,SL,300,2.0
LINK-USDT-SWAP,2026-07-19 11:00:00+00:00,2026-07-19 12:00:00+00:00,8.364,8.3265013,8.329,8.434000000000001,-142.8905736571444,-1.0713914285714368,0,SL,60,4.0
ETH-USDT-SWAP,2026-05-10 02:00:00+00:00,2026-05-10 03:00:00+00:00,2323.07,2328.5500000000006,2320.33,2328.5500000000006,57.87660294352888,2.0,1,TP,60,1.0
ETH-USDT-SWAP,2026-06-21 04:00:00+00:00,2026-06-21 05:00:00+00:00,1737.01,1734.0896169999999,1734.61,1741.8100000000002,-158.99234230661213,-1.2168262500000075,0,SL,60,3.0
ETH-USDT-SWAP,2026-06-21 06:00:00+00:00,2026-06-21 08:00:00+00:00,1732.61,1729.910871,1730.43,1736.9699999999996,-152.82638685566508,-1.238132568807367,0,SL,120,1.0
ETH-USDT-SWAP,2026-07-11 03:00:00+00:00,2026-07-11 14:00:00+00:00,1794.78,1809.4199999999998,1787.46,1809.4199999999998,170.45737704918008,2.0,1,TP,660,2.0
SOL-USDT-SWAP,2026-06-14 10:00:00+00:00,2026-06-14 11:00:00+00:00,68.44,68.049579,68.07,69.18,-133.17182362162063,-1.0551918918918883,0,SL,60,2.0
SOL-USDT-SWAP,2026-07-04 21:00:00+00:00,2026-07-04 23:00:00+00:00,81.93,81.625505,81.65,82.49000000000001,-152.5440367857153,-1.0874821428571486,0,SL,120,1.0
SOL-USDT-SWAP,2026-07-05 20:00:00+00:00,2026-07-05 21:00:00+00:00,81.0,81.53999999999999,80.73,81.53999999999999,163.87999999999946,2.0,1,TP,60,1.0
SOL-USDT-SWAP,2026-07-10 14:00:00+00:00,2026-07-10 15:00:00+00:00,78.93,78.686387,78.71,79.37000000000003,-164.45265099999386,-1.1073318181818002,0,SL,60,20.0
BTC-USDT-SWAP,2026-05-10 02:00:00+00:00,2026-05-10 08:00:00+00:00,80645.8,80868.40000000001,80534.5,80868.40000000001,77.92810040944838,2.0,1,TP,360,1.0
BTC-USDT-SWAP,2026-06-14 08:00:00+00:00,2026-06-14 13:00:00+00:00,64402.6,64195.7355,64215.0,64777.799999999996,-161.66737809168222,-1.1026892324093691,0,SL,300,4.0
BTC-USDT-SWAP,2026-06-21 07:00:00+00:00,2026-06-21 08:00:00+00:00,64269.6,64166.7442,64186.0,64436.799999999996,-154.951490689219,-1.2303325358851596,0,SL,60,1.0
BTC-USDT-SWAP,2026-06-21 19:00:00+00:00,2026-06-21 20:00:00+00:00,64179.3,64019.88827,64039.1,64459.70000000001,-182.27030881739464,-1.1370308844507477,0,SL,60,1.0
BTC-USDT-SWAP,2026-07-04 07:00:00+00:00,2026-07-04 15:00:00+00:00,62472.9,62818.700000000004,62300.0,62818.700000000004,156.52113360323924,2.0,1,TP,480,1.0
BTC-USDT-SWAP,2026-07-12 01:00:00+00:00,2026-07-12 02:00:00+00:00,63801.7,64073.09999999999,63666.0,64073.09999999999,143.4599263080312,2.0,1,TP,60,16.0
BTC-USDT-SWAP,2026-07-19 11:00:00+00:00,2026-07-19 12:00:00+00:00,64561.2,64456.6572,64476.0,64731.59999999999,-155.8957348376379,-1.227028169014075,0,SL,60,7.000000000000001
BTC-USDT-SWAP,2026-07-24 12:00:00+00:00,2026-07-24 13:00:00+00:00,65049.8,64841.441730000006,64860.9,65427.600000000006,-161.85880626680265,-1.103008311275783,0,SL,60,18.0
