sym,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs,atr_rank_pct
BTC-USDT-SWAP,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80242.50000000001,79621.2,80242.50000000001,153.62507001448705,2.0,1,TP,1,4.0
BTC-USDT-SWAP,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,79707.68052000001,79731.6,81116.39999999998,-131.1480693916803,-1.0518186308492143,0,SL,1,8.0
BTC-USDT-SWAP,2026-05-09 03:00:00+00:00,2026-05-09 06:00:00+00:00,80384.0,80155.946,80180.0,80792.0,-170.79998411765072,-1.1179117647059007,0,SL,3,1.0
BTC-USDT-SWAP,2026-05-09 17:00:00+00:00,2026-05-10 15:00:00+00:00,80580.0,81375.0,80182.5,81375.0,175.55396226415093,2.0,1,TP,22,3.0
BTC-USDT-SWAP,2026-06-13 14:00:00+00:00,2026-06-13 16:00:00+00:00,64069.6,63861.93567,63881.1,64446.6,-161.0544198419094,-1.1016675331564967,0,SL,2,1.0
BTC-USDT-SWAP,2026-06-13 20:00:00+00:00,2026-06-14 14:00:00+00:00,64262.6,63922.91737,63942.1,64903.6,-135.96772868080853,-1.0598521996879742,0,SL,18,1.0
BTC-USDT-SWAP,2026-07-03 07:00:00+00:00,2026-07-03 13:00:00+00:00,61679.3,62226.3,61405.8,62226.3,172.81778427787935,2.0,1,TP,6,1.0
BTC-USDT-SWAP,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,62658.9,62441.262,62460.0,63056.700000000004,-156.5792343891374,-1.0942081447963672,0,SL,1,1.0
BTC-USDT-SWAP,2026-07-04 17:00:00+00:00,2026-07-04 19:00:00+00:00,62888.8,63336.20000000001,62665.1,63336.20000000001,166.14438980777894,2.0,1,TP,2,8.0
BTC-USDT-SWAP,2026-07-05 09:00:00+00:00,2026-07-05 10:00:00+00:00,62887.4,62674.591980000005,62693.4,63275.4,-158.22331710721315,-1.0969485567010142,0,SL,1,18.0
BTC-USDT-SWAP,2026-07-10 23:00:00+00:00,2026-07-11 23:00:00+00:00,64085.1,63791.55679,63810.7,64633.9,-141.91414507069567,-1.0697638848396305,0,SL,24,5.0
BTC-USDT-SWAP,2026-07-12 13:00:00+00:00,2026-07-12 22:00:00+00:00,63991.7,63777.36105,63796.5,64382.09999999999,-158.88285688012428,-1.098047899590168,0,SL,9,5.0
BTC-USDT-SWAP,2026-07-18 13:00:00+00:00,2026-07-18 18:00:00+00:00,64182.4,64579.6,63983.8,64579.6,161.0990936555888,2.0,1,TP,5,6.0
BTC-USDT-SWAP,2026-07-18 19:00:00+00:00,2026-07-19 02:00:00+00:00,64476.6,64941.6,64244.1,64941.6,166.60175483870967,2.0,1,TP,7,1.0
ETH-USDT-SWAP,2026-05-10 15:00:00+00:00,2026-05-10 16:00:00+00:00,2330.0,2344.7799999999997,2322.61,2344.7799999999997,162.04508795669759,2.0,1,TP,1,11.0
ETH-USDT-SWAP,2026-06-21 00:00:00+00:00,2026-06-21 03:00:00+00:00,1739.9,1731.710331,1732.23,1755.2400000000002,-140.708007804433,-1.0677534550195589,0,SL,3,1.0
