sym,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs,atr_rank_pct,signal_time,adx_signal,bb_width_signal,rel_vol_signal,ema_slope_signal,adx_quartile
BTC-USDT-SWAP,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80242.50000000001,79621.2,80242.50000000001,153.62507001448705,2.0,1,TP,1,4.0,2026-05-08 09:00:00+00:00,36.36540419705328,0.010910819052983092,0.8939764021388479,0.014073604235689095,Q4
BTC-USDT-SWAP,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,79707.68052000001,79731.6,81116.39999999998,-131.1480693916803,-1.0518186308492143,0,SL,1,8.0,2026-05-08 11:00:00+00:00,33.794138002663345,0.011897646389011845,1.3053474172019537,0.024542785192989375,Q4
BTC-USDT-SWAP,2026-05-09 03:00:00+00:00,2026-05-09 06:00:00+00:00,80384.0,80155.946,80180.0,80792.0,-170.79998411765072,-1.1179117647059007,0,SL,3,1.0,2026-05-09 02:00:00+00:00,14.750914026842224,0.010605002044748695,0.38389335487360216,0.07329216075686051,Q1
BTC-USDT-SWAP,2026-05-09 17:00:00+00:00,2026-05-10 15:00:00+00:00,80580.0,81375.0,80182.5,81375.0,175.55396226415093,2.0,1,TP,22,3.0,2026-05-09 16:00:00+00:00,14.487734243257375,0.005288953471412488,2.618187795838374,0.08156800722893964,Q1
BTC-USDT-SWAP,2026-06-13 14:00:00+00:00,2026-06-13 16:00:00+00:00,64069.6,63861.93567,63881.1,64446.6,-161.0544198419094,-1.101667533156497,0,SL,2,1.0,2026-06-13 13:00:00+00:00,21.443092608290804,0.012518220961224635,1.6574188892677653,0.018581079138227714,Q2
BTC-USDT-SWAP,2026-06-13 20:00:00+00:00,2026-06-14 14:00:00+00:00,64262.6,63922.91737,63942.1,64903.6,-135.96772868080853,-1.0598521996879742,0,SL,18,1.0,2026-06-13 19:00:00+00:00,24.238425351847724,0.015833773090879185,0.9435763183946356,0.059457369735087674,Q2
BTC-USDT-SWAP,2026-07-03 07:00:00+00:00,2026-07-03 13:00:00+00:00,61679.3,62226.3,61405.8,62226.3,172.81778427787935,2.0,1,TP,6,1.0,2026-07-03 06:00:00+00:00,30.024725563255814,0.009882790351581846,0.6138468447769395,0.1563730347239458,Q3
BTC-USDT-SWAP,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,62658.9,62441.262,62460.0,63056.7,-156.5792343891374,-1.0942081447963672,0,SL,1,1.0,2026-07-04 04:00:00+00:00,42.68107581834828,0.020988092832608076,0.4571522685038353,0.28405453548717596,Q4
BTC-USDT-SWAP,2026-07-04 17:00:00+00:00,2026-07-04 19:00:00+00:00,62888.8,63336.20000000001,62665.1,63336.20000000001,166.14438980777894,2.0,1,TP,2,8.0,2026-07-04 16:00:00+00:00,39.61414561286963,0.008649225763462805,1.2155145127842861,0.2597366518337166,Q4
BTC-USDT-SWAP,2026-07-05 09:00:00+00:00,2026-07-05 10:00:00+00:00,62887.4,62674.591980000005,62693.4,63275.4,-158.22331710721315,-1.0969485567010142,0,SL,1,18.0,2026-07-05 08:00:00+00:00,36.20021452478507,0.014291471769095987,0.7758326320572329,0.2504084020466466,Q4
BTC-USDT-SWAP,2026-07-10 23:00:00+00:00,2026-07-11 23:00:00+00:00,64085.1,63791.55679,63810.7,64633.9,-141.91414507069567,-1.0697638848396305,0,SL,24,5.0,2026-07-10 22:00:00+00:00,24.587006351407844,0.013321885683057349,0.3631798122526118,0.2117817016752982,Q3
BTC-USDT-SWAP,2026-07-12 13:00:00+00:00,2026-07-12 22:00:00+00:00,63991.7,63777.36105,63796.5,64382.09999999999,-158.88285688012428,-1.098047899590168,0,SL,9,5.0,2026-07-12 12:00:00+00:00,15.792083648549257,0.012310709967403913,0.8930542352688892,0.1310871321921605,Q1
BTC-USDT-SWAP,2026-07-18 13:00:00+00:00,2026-07-18 18:00:00+00:00,64182.4,64579.6,63983.8,64579.6,161.0990936555888,2.0,1,TP,5,6.0,2026-07-18 12:00:00+00:00,10.597800411426286,0.005765645849920426,2.0884242401664306,0.045968666722996716,Q1
BTC-USDT-SWAP,2026-07-18 19:00:00+00:00,2026-07-19 02:00:00+00:00,64476.6,64941.6,64244.1,64941.6,166.60175483870967,2.0,1,TP,7,1.0,2026-07-18 18:00:00+00:00,14.377001429293061,0.010637334482989837,2.476296411805044,0.0694762627295861,Q1
ETH-USDT-SWAP,2026-05-10 15:00:00+00:00,2026-05-10 16:00:00+00:00,2330.0,2344.78,2322.61,2344.78,162.0450879566976,2.0,1,TP,1,11.0,2026-05-10 14:00:00+00:00,12.717399581420917,0.004612598573537002,1.486673603372804,0.019549417364212125,Q1
ETH-USDT-SWAP,2026-06-21 00:00:00+00:00,2026-06-21 03:00:00+00:00,1739.9,1731.710331,1732.23,1755.2400000000002,-140.708007804433,-1.0677534550195589,0,SL,3,1.0,2026-06-20 23:00:00+00:00,25.028032827885927,0.017030007899717505,0.4801732998016094,0.05407154874500426,Q3
ETH-USDT-SWAP,2026-06-21 20:00:00+00:00,2026-06-21 21:00:00+00:00,1733.3,1720.143802,1720.66,1758.5799999999997,-124.56061931329188,-1.0408384493670917,0,SL,1,20.0,2026-06-21 19:00:00+00:00,15.808819798099428,0.009701135550247169,0.586999811889111,0.01634454698228141,Q1
ETH-USDT-SWAP,2026-07-04 14:00:00+00:00,2026-07-04 15:00:00+00:00,1763.16,1774.9200000000003,1757.28,1774.9200000000003,163.89714285714354,2.0,1,TP,1,4.0,2026-07-04 13:00:00+00:00,54.534606690061516,0.015741259994844187,1.8693176846445088,0.6433461915738272,Q4
ETH-USDT-SWAP,2026-07-05 16:00:00+00:00,2026-07-05 22:00:00+00:00,1773.99,1793.93,1764.02,1793.93,178.5280641925778,2.0,1,TP,6,17.0,2026-07-05 15:00:00+00:00,27.615320282214768,0.020769958408858404,2.0030650824643135,0.5076709200725399,Q3
ETH-USDT-SWAP,2026-07-10 10:00:00+00:00,2026-07-13 00:00:00+00:00,1791.66,1831.4600000000005,1771.76,1831.4600000000005,189.07602010050252,2.0,1,TP,62,14.000000000000002,2026-07-10 09:00:00+00:00,25.178403746567106,0.03838088884048515,1.3647774276438132,0.22247820329565982,Q3
ETH-USDT-SWAP,2026-07-18 19:00:00+00:00,2026-07-20 00:00:00+00:00,1856.53,1884.45,1842.57,1884.45,183.92128939828083,2.0,1,TP,29,43.0,2026-07-18 18:00:00+00:00,16.99667338246179,0.00826227054572778,3.891372260448843,0.08393864948609937,Q1
SOL-USDT-SWAP,2026-05-10 05:00:00+00:00,2026-05-10 08:00:00+00:00,93.28,93.92000000000002,92.96,93.92000000000002,164.9000000000008,2.0,1,TP,3,1.0,2026-05-10 04:00:00+00:00,20.25420583739183,0.009934996065728115,0.8428076290802039,0.566040061539331,Q2
SOL-USDT-SWAP,2026-05-10 10:00:00+00:00,2026-05-10 11:00:00+00:00,94.26,93.321995,93.35,96.08000000000004,-118.52298868131696,-1.0307747252747177,0,SL,1,7.000000000000001,2026-05-10 09:00:00+00:00,21.457712813276185,0.01570940022342218,3.341402312815495,0.557567399386243,Q2
SOL-USDT-SWAP,2026-06-21 11:00:00+00:00,2026-06-21 12:00:00+00:00,73.85,73.00809100000001,73.03,75.48999999999998,-116.08937251219372,-1.0267182926829197,0,SL,1,10.0,2026-06-21 10:00:00+00:00,39.93177217638882,0.04310492761157512,1.105496005592391,0.3894326263543563,Q4
SOL-USDT-SWAP,2026-07-03 19:00:00+00:00,2026-07-04 04:00:00+00:00,82.09,83.41,81.43,83.41,184.95454545454535,2.0,1,TP,9,2.0,2026-07-03 18:00:00+00:00,38.97951578628611,0.021392844534626743,0.8642288195666143,0.8583784657739482,Q4
SOL-USDT-SWAP,2026-07-04 05:00:00+00:00,2026-07-04 09:00:00+00:00,83.45,81.97540000000001,82.0,86.35000000000001,-110.23829241379204,-1.016965517241374,0,SL,4,6.0,2026-07-04 04:00:00+00:00,43.83251228338878,0.029813284319877717,2.3827974793636493,0.89267007848449,Q4
