sym,fold,strat,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs
BTC-USDT-SWAP,2,A,2025-10-04 14:00:00+00:00,2025-10-04 15:00:00+00:00,122327.1,121836.447029,121873.008931,123235.282137,-148.3652,-1.0805,0,SL,1
BTC-USDT-SWAP,2,A,2025-10-04 23:00:00+00:00,2025-10-05 02:00:00+00:00,122248.0,123047.913669,121848.043166,123047.913669,163.2016,2.0,1,TP,3
ETH-USDT-SWAP,1,A,2025-07-13 13:00:00+00:00,2025-07-13 17:00:00+00:00,2984.95,2965.072197,2965.961986,3022.926028,-128.1735,-1.0469,0,SL,4
ETH-USDT-SWAP,1,A,2025-07-19 18:00:00+00:00,2025-07-20 01:00:00+00:00,3543.24,3615.765202,3506.977399,3615.765202,188.1547,2.0,1,TP,7
ETH-USDT-SWAP,2,A,2025-08-24 08:00:00+00:00,2025-08-24 11:00:00+00:00,4758.01,4722.060928,4723.477971,4827.074058,-124.6789,-1.041,0,SL,3
ETH-USDT-SWAP,2,A,2025-08-24 15:00:00+00:00,2025-08-24 17:00:00+00:00,4794.01,4860.981527,4760.524236,4860.981527,182.7001,2.0,1,TP,2
SOL-USDT-SWAP,2,A,2025-09-13 13:00:00+00:00,2025-09-13 14:00:00+00:00,242.3,240.402517,240.47466,245.95068,-123.7713,-1.0395,0,SL,1
SOL-USDT-SWAP,5,A,2026-07-03 05:00:00+00:00,2026-07-03 18:00:00+00:00,80.47,82.110142,79.649929,82.110142,188.1049,2.0,1,TP,13
SOL-USDT-SWAP,5,A,2026-07-04 03:00:00+00:00,2026-07-04 04:00:00+00:00,82.15,83.537008,81.456496,83.537008,185.6652,2.0,1,TP,1
SOL-USDT-SWAP,5,A,2026-07-04 09:00:00+00:00,2026-07-04 10:00:00+00:00,82.28,81.519034,81.543497,83.753006,-119.9871,-1.0332,0,SL,1
SOL-USDT-SWAP,5,A,2026-07-04 17:00:00+00:00,2026-07-04 20:00:00+00:00,82.19,81.516771,81.541234,83.487533,-122.6813,-1.0377,0,SL,3
AVAX-USDT-SWAP,2,A,2025-09-13 00:00:00+00:00,2025-09-13 02:00:00+00:00,28.984,29.481333,28.735334,29.481333,185.8931,2.0,1,TP,2
BCH-USDT-SWAP,4,A,2026-02-15 02:00:00+00:00,2026-02-15 03:00:00+00:00,564.9,559.929325,560.097354,574.505292,-121.05,-1.035,0,SL,1
BCH-USDT-SWAP,5,A,2026-07-04 06:00:00+00:00,2026-07-04 09:00:00+00:00,227.2,224.88081,224.948294,231.703411,-118.0404,-1.03,0,SL,3
BCH-USDT-SWAP,5,A,2026-07-04 15:00:00+00:00,2026-07-04 22:00:00+00:00,230.7,234.932512,228.583744,234.932512,186.7984,2.0,1,TP,7
ADA-USDT-SWAP,1,A,2025-07-16 17:00:00+00:00,2025-07-16 21:00:00+00:00,0.7612,0.783142,0.750229,0.783142,191.554,2.0,1,TP,4
DOT-USDT-SWAP,1,A,2025-07-21 12:00:00+00:00,2025-07-21 16:00:00+00:00,4.586,4.525471,4.526829,4.704342,-113.8294,-1.023,0,SL,4
ARB-USDT-SWAP,1,A,2025-07-20 03:00:00+00:00,2025-07-20 08:00:00+00:00,0.4624,0.478212,0.454494,0.478212,192.8617,2.0,1,TP,5
ARB-USDT-SWAP,5,A,2026-05-10 10:00:00+00:00,2026-05-10 17:00:00+00:00,0.14173,0.145006,0.140092,0.145006,189.4983,2.0,1,TP,7
OP-USDT-SWAP,1,A,2025-07-21 10:00:00+00:00,2025-07-21 15:00:00+00:00,0.7921,0.820512,0.777894,0.820512,193.1889,2.0,1,TP,5
OP-USDT-SWAP,5,A,2026-05-10 12:00:00+00:00,2026-05-10 20:00:00+00:00,0.1621,0.159833,0.159881,0.166538,-113.0277,-1.0216,0,SL,8
NEAR-USDT-SWAP,1,A,2025-07-21 11:00:00+00:00,2025-07-21 16:00:00+00:00,3.032,2.987545,2.988442,3.119116,-112.4083,-1.0206,0,SL,5
NEAR-USDT-SWAP,5,A,2026-05-10 09:00:00+00:00,2026-05-10 11:00:00+00:00,1.577,1.561162,1.561631,1.607738,-118.3477,-1.0305,0,SL,2
NEAR-USDT-SWAP,5,A,2026-05-10 14:00:00+00:00,2026-05-10 19:00:00+00:00,1.58,1.609561,1.565219,1.609561,187.0524,2.0,1,TP,5
ATOM-USDT-SWAP,1,A,2025-07-21 12:00:00+00:00,2025-07-21 16:00:00+00:00,5.257,5.193905,5.195463,5.380074,-115.2556,-1.0253,0,SL,4
