sym,fold,strat,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs
BTC-USDT-SWAP,1,B,2025-05-10 22:00:00+00:00,2025-05-10 23:00:00+00:00,103709.7,104586.616475,103271.241762,104586.616475,171.4961,2.0,1,TP,1
BTC-USDT-SWAP,2,B,2025-10-04 14:00:00+00:00,2025-10-04 15:00:00+00:00,122327.1,121836.447029,121873.008931,123235.282137,-148.3652,-1.0805,0,SL,1
BTC-USDT-SWAP,2,B,2025-10-05 00:00:00+00:00,2025-10-05 02:00:00+00:00,122352.6,123127.576978,121965.111511,123127.576978,161.989,2.0,1,TP,2
BTC-USDT-SWAP,4,B,2026-04-11 19:00:00+00:00,2026-04-11 21:00:00+00:00,73527.4,73173.15402,73195.112554,74191.974893,-139.7058,-1.0661,0,SL,2
ETH-USDT-SWAP,1,B,2025-07-13 12:00:00+00:00,2025-07-13 14:00:00+00:00,2963.9,2999.355723,2946.172139,2999.355723,179.8173,2.0,1,TP,2
ETH-USDT-SWAP,1,B,2025-07-19 20:00:00+00:00,2025-07-19 21:00:00+00:00,3578.2,3541.43108,3542.493829,3649.612343,-117.9164,-1.0298,0,SL,1
ETH-USDT-SWAP,1,B,2025-07-19 23:00:00+00:00,2025-07-20 03:00:00+00:00,3576.82,3646.78911,3541.835445,3646.78911,187.6112,2.0,1,TP,4
ETH-USDT-SWAP,2,B,2025-08-23 23:00:00+00:00,2025-08-24 10:00:00+00:00,4781.37,4740.82705,4742.249725,4859.61055,-121.8778,-1.0364,0,SL,11
ETH-USDT-SWAP,2,B,2025-08-24 13:00:00+00:00,2025-08-24 15:00:00+00:00,4754.16,4820.78331,4720.848345,4820.78331,182.7539,2.0,1,TP,2
ETH-USDT-SWAP,5,B,2026-07-04 05:00:00+00:00,2026-07-04 15:00:00+00:00,1760.93,1787.309844,1747.740078,1787.309844,183.8593,2.0,1,TP,10
