sym,fold,strat,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs
BTC-USDT-SWAP,1,C,2025-07-13 14:00:00+00:00,2025-07-13 19:00:00+00:00,118574.8,119314.375675,118205.012163,119314.375675,161.4012,2.0,1,TP,5
BTC-USDT-SWAP,4,C,2026-04-11 19:00:00+00:00,2026-04-11 21:00:00+00:00,73527.4,73173.15402,73195.112554,74191.974893,-139.7058,-1.0661,0,SL,2
ETH-USDT-SWAP,1,C,2025-07-13 13:00:00+00:00,2025-07-13 17:00:00+00:00,2984.95,2965.072197,2965.961986,3022.926028,-128.1735,-1.0469,0,SL,4
ETH-USDT-SWAP,1,C,2025-07-20 02:00:00+00:00,2025-07-20 03:00:00+00:00,3605.01,3671.812964,3571.608518,3671.812964,186.9284,2.0,1,TP,1
ETH-USDT-SWAP,2,C,2025-08-24 12:00:00+00:00,2025-08-24 15:00:00+00:00,4747.01,4815.684334,4712.672833,4815.684334,183.2904,2.0,1,TP,3
ETH-USDT-SWAP,2,C,2025-08-24 16:00:00+00:00,2025-08-24 17:00:00+00:00,4797.09,4865.847847,4762.711077,4865.847847,183.1357,2.0,1,TP,1
ETH-USDT-SWAP,5,C,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,1790.57,1777.488775,1778.022182,1815.665636,-125.5634,-1.0425,0,SL,7
SOL-USDT-SWAP,5,C,2026-07-03 11:00:00+00:00,2026-07-03 19:00:00+00:00,81.52,83.123371,80.718315,83.123371,187.6777,2.0,1,TP,8
SOL-USDT-SWAP,5,C,2026-07-03 20:00:00+00:00,2026-07-04 09:00:00+00:00,82.45,81.645788,81.670289,84.009421,-118.9121,-1.0314,0,SL,13
SOL-USDT-SWAP,5,C,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,82.19,81.49841,81.522867,83.524266,-122.0536,-1.0367,0,SL,7
LINK-USDT-SWAP,5,C,2026-05-10 14:00:00+00:00,2026-05-10 17:00:00+00:00,10.578,10.715734,10.509133,10.715734,181.4479,2.0,1,TP,3
BCH-USDT-SWAP,5,C,2026-07-04 15:00:00+00:00,2026-07-04 22:00:00+00:00,230.7,234.932512,228.583744,234.932512,186.7984,2.0,1,TP,7
BCH-USDT-SWAP,5,C,2026-07-11 15:00:00+00:00,2026-07-11 16:00:00+00:00,249.2,247.248042,247.322239,252.955522,-123.7657,-1.0395,0,SL,1
OP-USDT-SWAP,5,C,2026-05-10 14:00:00+00:00,2026-05-10 20:00:00+00:00,0.1632,0.161008,0.161057,0.167487,-113.5837,-1.0225,0,SL,6
NEAR-USDT-SWAP,5,C,2026-05-10 17:00:00+00:00,2026-05-10 19:00:00+00:00,1.584,1.612793,1.569603,1.612793,186.6768,2.0,1,TP,2
ATOM-USDT-SWAP,1,C,2025-07-21 13:00:00+00:00,2025-07-21 16:00:00+00:00,5.26,5.198442,5.200002,5.379997,-115.6588,-1.026,0,SL,3
ATOM-USDT-SWAP,3,C,2026-01-11 17:00:00+00:00,2026-01-11 20:00:00+00:00,2.596,2.566035,2.566805,2.65439,-115.8839,-1.0264,0,SL,3
APT-USDT-SWAP,3,C,2026-01-04 14:00:00+00:00,2026-01-04 16:00:00+00:00,1.916,1.951853,1.898073,1.951853,187.0545,2.0,1,TP,2
APT-USDT-SWAP,5,C,2026-05-10 09:00:00+00:00,2026-05-10 12:00:00+00:00,1.111,1.099234,1.099564,1.133872,-117.3654,-1.0288,0,SL,3
ENA-USDT-SWAP,3,C,2026-05-10 17:00:00+00:00,2026-05-10 18:00:00+00:00,0.13239,0.136013,0.130579,0.136013,191.1095,2.0,1,TP,1
UNI-USDT-SWAP,1,C,2025-07-20 02:00:00+00:00,2025-07-20 03:00:00+00:00,10.25,10.568261,10.09087,10.568261,192.1505,2.0,1,TP,1
UNI-USDT-SWAP,5,C,2026-07-11 11:00:00+00:00,2026-07-11 12:00:00+00:00,3.577,3.663679,3.533661,3.663679,189.9758,2.0,1,TP,1
