sym,fold,variant,entry_time,exit_time,pnl,r_multiple,win,exit_type
BTC-USDT-SWAP,1,VAR_A,2025-05-10 07:00:00+00:00,2025-05-10 09:00:00+00:00,-136.3839,-1.0605,0,SL
BTC-USDT-SWAP,1,VAR_A,2025-05-11 00:00:00+00:00,2025-05-11 01:00:00+00:00,-137.516,-1.0624,0,SL
BTC-USDT-SWAP,1,VAR_A,2025-07-13 14:00:00+00:00,2025-07-13 19:00:00+00:00,161.4012,2.0,1,TP
BTC-USDT-SWAP,1,VAR_A,2025-07-14 03:00:00+00:00,2025-07-14 04:00:00+00:00,174.055,2.0,1,TP
BTC-USDT-SWAP,2,VAR_A,2025-10-03 15:00:00+00:00,2025-10-03 16:00:00+00:00,172.4555,2.0,1,TP
BTC-USDT-SWAP,2,VAR_A,2025-10-05 03:00:00+00:00,2025-10-05 04:00:00+00:00,169.6493,2.0,1,TP
BTC-USDT-SWAP,4,VAR_A,2026-04-09 16:00:00+00:00,2026-04-09 23:00:00+00:00,-124.4229,-1.0406,0,SL
BTC-USDT-SWAP,4,VAR_A,2026-04-10 15:00:00+00:00,2026-04-10 16:00:00+00:00,-126.6408,-1.0443,0,SL
BTC-USDT-SWAP,4,VAR_A,2026-04-11 19:00:00+00:00,2026-04-11 21:00:00+00:00,-139.7058,-1.0661,0,SL
BTC-USDT-SWAP,5,VAR_A,2026-05-06 11:00:00+00:00,2026-05-06 13:00:00+00:00,-133.0548,-1.055,0,SL
ETH-USDT-SWAP,1,VAR_A,2025-05-23 03:00:00+00:00,2025-05-23 06:00:00+00:00,-113.6122,-1.0226,0,SL
ETH-USDT-SWAP,1,VAR_A,2025-07-03 14:00:00+00:00,2025-07-03 15:00:00+00:00,-117.6103,-1.0293,0,SL
ETH-USDT-SWAP,1,VAR_A,2025-07-10 17:00:00+00:00,2025-07-10 21:00:00+00:00,185.7607,2.0,1,TP
ETH-USDT-SWAP,1,VAR_A,2025-07-13 13:00:00+00:00,2025-07-13 17:00:00+00:00,-128.1735,-1.0469,0,SL
ETH-USDT-SWAP,1,VAR_A,2025-07-14 03:00:00+00:00,2025-07-14 04:00:00+00:00,185.5998,2.0,1,TP
ETH-USDT-SWAP,1,VAR_A,2025-07-20 02:00:00+00:00,2025-07-20 03:00:00+00:00,186.9284,2.0,1,TP
ETH-USDT-SWAP,2,VAR_A,2025-08-11 01:00:00+00:00,2025-08-11 02:00:00+00:00,186.976,2.0,1,TP
ETH-USDT-SWAP,2,VAR_A,2025-08-24 12:00:00+00:00,2025-08-24 15:00:00+00:00,183.2904,2.0,1,TP
ETH-USDT-SWAP,2,VAR_A,2025-08-24 16:00:00+00:00,2025-08-24 17:00:00+00:00,183.1357,2.0,1,TP
ETH-USDT-SWAP,2,VAR_A,2025-10-03 16:00:00+00:00,2025-10-03 17:00:00+00:00,-120.4051,-1.0339,0,SL
ETH-USDT-SWAP,2,VAR_A,2025-10-07 13:00:00+00:00,2025-10-07 14:00:00+00:00,-125.7949,-1.0429,0,SL
ETH-USDT-SWAP,3,VAR_A,2025-12-04 16:00:00+00:00,2025-12-04 17:00:00+00:00,-115.9058,-1.0264,0,SL
ETH-USDT-SWAP,3,VAR_A,2025-12-10 17:00:00+00:00,2025-12-10 18:00:00+00:00,187.4407,2.0,1,TP
ETH-USDT-SWAP,3,VAR_A,2025-12-10 19:00:00+00:00,2025-12-10 20:00:00+00:00,-116.9864,-1.0282,0,SL
ETH-USDT-SWAP,3,VAR_A,2026-01-06 15:00:00+00:00,2026-01-06 16:00:00+00:00,-124.0216,-1.0399,0,SL
ETH-USDT-SWAP,4,VAR_A,2026-04-15 20:00:00+00:00,2026-04-15 21:00:00+00:00,-121.4235,-1.0356,0,SL
ETH-USDT-SWAP,5,VAR_A,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,-125.5634,-1.0425,0,SL
ETH-USDT-SWAP,5,VAR_A,2026-07-05 22:00:00+00:00,2026-07-06 00:00:00+00:00,-128.2398,-1.047,0,SL
ETH-USDT-SWAP,5,VAR_A,2026-07-06 01:00:00+00:00,2026-07-06 02:00:00+00:00,-124.0635,-1.04,0,SL
SOL-USDT-SWAP,1,VAR_A,2025-05-10 10:00:00+00:00,2025-05-10 11:00:00+00:00,-114.3144,-1.0238,0,SL
SOL-USDT-SWAP,1,VAR_A,2025-05-12 03:00:00+00:00,2025-05-12 07:00:00+00:00,191.2255,2.0,1,TP
SOL-USDT-SWAP,1,VAR_A,2025-05-23 03:00:00+00:00,2025-05-23 05:00:00+00:00,-115.3031,-1.0254,0,SL
SOL-USDT-SWAP,1,VAR_A,2025-07-21 04:00:00+00:00,2025-07-21 08:00:00+00:00,190.4209,2.0,1,TP
SOL-USDT-SWAP,2,VAR_A,2025-08-24 02:00:00+00:00,2025-08-24 10:00:00+00:00,-117.4876,-1.029,0,SL
SOL-USDT-SWAP,2,VAR_A,2025-09-11 14:00:00+00:00,2025-09-11 15:00:00+00:00,-117.7686,-1.0295,0,SL
SOL-USDT-SWAP,2,VAR_A,2025-09-12 23:00:00+00:00,2025-09-13 13:00:00+00:00,-118.6943,-1.0311,0,SL
SOL-USDT-SWAP,2,VAR_A,2025-09-13 15:00:00+00:00,2025-09-13 16:00:00+00:00,-120.4367,-1.034,0,SL
SOL-USDT-SWAP,2,VAR_A,2025-09-14 02:00:00+00:00,2025-09-14 13:00:00+00:00,-120.7671,-1.0345,0,SL
SOL-USDT-SWAP,2,VAR_A,2025-10-03 16:00:00+00:00,2025-10-03 17:00:00+00:00,-116.267,-1.027,0,SL
SOL-USDT-SWAP,3,VAR_A,2026-01-06 15:00:00+00:00,2026-01-06 16:00:00+00:00,-117.6565,-1.0293,0,SL
SOL-USDT-SWAP,5,VAR_A,2026-05-10 18:00:00+00:00,2026-05-10 19:00:00+00:00,-125.3254,-1.0421,0,SL
SOL-USDT-SWAP,5,VAR_A,2026-05-11 16:00:00+00:00,2026-05-12 01:00:00+00:00,-117.8103,-1.0296,0,SL
SOL-USDT-SWAP,5,VAR_A,2026-07-02 10:00:00+00:00,2026-07-02 11:00:00+00:00,189.5454,2.0,1,TP
SOL-USDT-SWAP,5,VAR_A,2026-07-03 11:00:00+00:00,2026-07-03 19:00:00+00:00,187.6777,2.0,1,TP
SOL-USDT-SWAP,5,VAR_A,2026-07-03 20:00:00+00:00,2026-07-04 09:00:00+00:00,-118.9121,-1.0314,0,SL
SOL-USDT-SWAP,5,VAR_A,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,-122.0536,-1.0367,0,SL
LINK-USDT-SWAP,1,VAR_A,2025-05-10 13:00:00+00:00,2025-05-10 16:00:00+00:00,191.9765,2.0,1,TP
LINK-USDT-SWAP,1,VAR_A,2025-06-11 11:00:00+00:00,2025-06-11 12:00:00+00:00,-113.8297,-1.023,0,SL
LINK-USDT-SWAP,1,VAR_A,2025-06-11 16:00:00+00:00,2025-06-11 17:00:00+00:00,-111.8933,-1.0197,0,SL
LINK-USDT-SWAP,1,VAR_A,2025-07-10 18:00:00+00:00,2025-07-10 21:00:00+00:00,187.5653,2.0,1,TP
LINK-USDT-SWAP,1,VAR_A,2025-07-19 19:00:00+00:00,2025-07-20 03:00:00+00:00,191.4104,2.0,1,TP
LINK-USDT-SWAP,1,VAR_A,2025-07-21 07:00:00+00:00,2025-07-21 16:00:00+00:00,-112.1869,-1.0202,0,SL
LINK-USDT-SWAP,3,VAR_A,2025-12-04 16:00:00+00:00,2025-12-04 17:00:00+00:00,-113.328,-1.0221,0,SL
LINK-USDT-SWAP,5,VAR_A,2026-05-10 14:00:00+00:00,2026-05-10 17:00:00+00:00,181.4479,2.0,1,TP
LINK-USDT-SWAP,5,VAR_A,2026-07-04 18:00:00+00:00,2026-07-04 19:00:00+00:00,-124.7105,-1.0411,0,SL
LINK-USDT-SWAP,5,VAR_A,2026-07-15 13:00:00+00:00,2026-07-15 14:00:00+00:00,-120.8074,-1.0346,0,SL
AVAX-USDT-SWAP,1,VAR_A,2025-07-10 18:00:00+00:00,2025-07-10 19:00:00+00:00,-118.1757,-1.0302,0,SL
