sym,fold,variant,entry_time,exit_time,pnl,r_multiple,win,exit_type
BTC-USDT-SWAP,1,VAR_B,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,-139.5356,-1.0658,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-05-04 02:00:00+00:00,2025-05-04 03:00:00+00:00,-154.1167,-1.0901,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-05-18 08:00:00+00:00,2025-05-18 13:00:00+00:00,163.9054,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-05-18 14:00:00+00:00,2025-05-18 15:00:00+00:00,163.9663,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-06-08 11:00:00+00:00,2025-06-08 13:00:00+00:00,158.4042,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-06-08 16:00:00+00:00,2025-06-08 23:00:00+00:00,-158.3472,-1.0972,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-06-26 15:00:00+00:00,2025-06-26 21:00:00+00:00,-139.2872,-1.0654,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-06-27 14:00:00+00:00,2025-06-29 09:00:00+00:00,171.7382,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-06-29 10:00:00+00:00,2025-06-29 11:00:00+00:00,127.9773,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-06-29 12:00:00+00:00,2025-06-29 13:00:00+00:00,-181.7427,-1.1362,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-07-06 11:00:00+00:00,2025-07-06 13:00:00+00:00,126.1473,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-07-13 13:00:00+00:00,2025-07-13 14:00:00+00:00,159.2274,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-07-20 13:00:00+00:00,2025-07-20 14:00:00+00:00,158.4352,2.0,1,TP
BTC-USDT-SWAP,1,VAR_B,2025-07-20 15:00:00+00:00,2025-07-20 17:00:00+00:00,-159.956,-1.0998,0,SL
BTC-USDT-SWAP,1,VAR_B,2025-07-27 15:00:00+00:00,2025-07-27 16:00:00+00:00,148.9538,2.0,1,TP
BTC-USDT-SWAP,2,VAR_B,2025-08-09 06:00:00+00:00,2025-08-09 09:00:00+00:00,163.2188,2.0,1,TP
BTC-USDT-SWAP,2,VAR_B,2025-08-09 10:00:00+00:00,2025-08-09 11:00:00+00:00,-155.8421,-1.093,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-08-10 03:00:00+00:00,2025-08-10 04:00:00+00:00,159.7184,2.0,1,TP
BTC-USDT-SWAP,2,VAR_B,2025-09-13 15:00:00+00:00,2025-09-13 16:00:00+00:00,-162.7053,-1.1044,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-09-13 18:00:00+00:00,2025-09-14 14:00:00+00:00,-157.0656,-1.095,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-09-14 15:00:00+00:00,2025-09-14 21:00:00+00:00,155.1808,2.0,1,TP
BTC-USDT-SWAP,2,VAR_B,2025-09-19 14:00:00+00:00,2025-09-19 15:00:00+00:00,-156.342,-1.0938,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-09-20 16:00:00+00:00,2025-09-20 18:00:00+00:00,-187.3774,-1.1535,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-10-10 14:00:00+00:00,2025-10-10 15:00:00+00:00,-135.0914,-1.0584,0,SL
BTC-USDT-SWAP,2,VAR_B,2025-10-26 10:00:00+00:00,2025-10-26 11:00:00+00:00,160.57,2.0,1,TP
BTC-USDT-SWAP,3,VAR_B,2025-11-28 09:00:00+00:00,2025-11-28 11:00:00+00:00,-133.141,-1.0551,0,SL
BTC-USDT-SWAP,3,VAR_B,2025-11-29 16:00:00+00:00,2025-11-29 17:00:00+00:00,-142.4284,-1.0706,0,SL
BTC-USDT-SWAP,3,VAR_B,2025-11-29 19:00:00+00:00,2025-11-30 09:00:00+00:00,173.3134,2.0,1,TP
BTC-USDT-SWAP,3,VAR_B,2025-11-30 10:00:00+00:00,2025-11-30 11:00:00+00:00,-147.1925,-1.0786,0,SL
BTC-USDT-SWAP,3,VAR_B,2025-11-30 14:00:00+00:00,2025-11-30 15:00:00+00:00,-143.462,-1.0723,0,SL
BTC-USDT-SWAP,3,VAR_B,2025-12-20 14:00:00+00:00,2025-12-21 13:00:00+00:00,-137.6953,-1.0627,0,SL
BTC-USDT-SWAP,3,VAR_B,2026-01-17 16:00:00+00:00,2026-01-17 17:00:00+00:00,-163.912,-1.1064,0,SL
BTC-USDT-SWAP,3,VAR_B,2026-01-18 14:00:00+00:00,2026-01-18 15:00:00+00:00,-188.5631,-1.1475,0,SL
BTC-USDT-SWAP,3,VAR_B,2026-01-18 19:00:00+00:00,2026-01-18 23:00:00+00:00,-181.5578,-1.1358,0,SL
BTC-USDT-SWAP,4,VAR_B,2026-03-15 00:00:00+00:00,2026-03-15 01:00:00+00:00,-139.2121,-1.0653,0,SL
BTC-USDT-SWAP,4,VAR_B,2026-03-15 03:00:00+00:00,2026-03-15 21:00:00+00:00,174.3016,2.0,1,TP
BTC-USDT-SWAP,4,VAR_B,2026-04-11 17:00:00+00:00,2026-04-11 18:00:00+00:00,171.1789,2.0,1,TP
BTC-USDT-SWAP,4,VAR_B,2026-04-11 19:00:00+00:00,2026-04-11 21:00:00+00:00,-139.7058,-1.0661,0,SL
BTC-USDT-SWAP,4,VAR_B,2026-04-13 13:00:00+00:00,2026-04-13 14:00:00+00:00,173.6703,2.0,1,TP
BTC-USDT-SWAP,4,VAR_B,2026-04-19 12:00:00+00:00,2026-04-19 17:00:00+00:00,-139.7183,-1.0661,0,SL
BTC-USDT-SWAP,4,VAR_B,2026-04-24 12:00:00+00:00,2026-04-24 14:00:00+00:00,-130.0658,-1.05,0,SL
BTC-USDT-SWAP,4,VAR_B,2026-04-25 17:00:00+00:00,2026-04-26 05:00:00+00:00,164.1096,2.0,1,TP
BTC-USDT-SWAP,4,VAR_B,2026-04-26 06:00:00+00:00,2026-04-26 19:00:00+00:00,161.5651,2.0,1,TP
BTC-USDT-SWAP,5,VAR_B,2026-05-02 22:00:00+00:00,2026-05-03 01:00:00+00:00,-153.5321,-1.0891,0,SL
BTC-USDT-SWAP,5,VAR_B,2026-05-03 12:00:00+00:00,2026-05-03 20:00:00+00:00,161.4549,2.0,1,TP
BTC-USDT-SWAP,5,VAR_B,2026-05-09 16:00:00+00:00,2026-05-09 18:00:00+00:00,161.7928,2.0,1,TP
