sym,fold,variant,entry_time,exit_time,pnl,r_multiple,win,exit_type
BTC-USDT-SWAP,1,VAR_D,2025-07-13 14:00:00+00:00,2025-07-13 19:00:00+00:00,161.4012,2.0,1,TP
BTC-USDT-SWAP,4,VAR_D,2026-03-13 13:00:00+00:00,2026-03-13 15:00:00+00:00,-122.4112,-1.0373,0,SL
BTC-USDT-SWAP,4,VAR_D,2026-04-11 19:00:00+00:00,2026-04-11 21:00:00+00:00,-139.7058,-1.0661,0,SL
ETH-USDT-SWAP,1,VAR_D,2025-05-13 12:00:00+00:00,2025-05-13 16:00:00+00:00,191.0589,2.0,1,TP
ETH-USDT-SWAP,1,VAR_D,2025-05-13 17:00:00+00:00,2025-05-13 18:00:00+00:00,191.2536,2.0,1,TP
ETH-USDT-SWAP,1,VAR_D,2025-07-13 13:00:00+00:00,2025-07-13 17:00:00+00:00,-128.1735,-1.0469,0,SL
ETH-USDT-SWAP,1,VAR_D,2025-07-20 02:00:00+00:00,2025-07-20 03:00:00+00:00,186.9284,2.0,1,TP
ETH-USDT-SWAP,2,VAR_D,2025-08-24 12:00:00+00:00,2025-08-24 15:00:00+00:00,183.2904,2.0,1,TP
ETH-USDT-SWAP,2,VAR_D,2025-08-24 16:00:00+00:00,2025-08-24 17:00:00+00:00,183.1357,2.0,1,TP
ETH-USDT-SWAP,5,VAR_D,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,-125.5634,-1.0425,0,SL
SOL-USDT-SWAP,5,VAR_D,2026-07-03 11:00:00+00:00,2026-07-03 19:00:00+00:00,187.6777,2.0,1,TP
SOL-USDT-SWAP,5,VAR_D,2026-07-03 20:00:00+00:00,2026-07-04 09:00:00+00:00,-118.9121,-1.0314,0,SL
SOL-USDT-SWAP,5,VAR_D,2026-07-04 16:00:00+00:00,2026-07-04 23:00:00+00:00,-122.0536,-1.0367,0,SL
LINK-USDT-SWAP,5,VAR_D,2026-05-10 14:00:00+00:00,2026-05-10 17:00:00+00:00,181.4479,2.0,1,TP
XRP-USDT-SWAP,1,VAR_D,2025-07-16 14:00:00+00:00,2025-07-16 17:00:00+00:00,189.1063,2.0,1,TP
XRP-USDT-SWAP,1,VAR_D,2025-07-16 18:00:00+00:00,2025-07-16 20:00:00+00:00,190.1459,2.0,1,TP
LTC-USDT-SWAP,2,VAR_D,2025-08-09 06:00:00+00:00,2025-08-09 13:00:00+00:00,-116.1617,-1.0268,0,SL
BCH-USDT-SWAP,5,VAR_D,2026-07-04 15:00:00+00:00,2026-07-04 22:00:00+00:00,186.7984,2.0,1,TP
BCH-USDT-SWAP,5,VAR_D,2026-07-10 09:00:00+00:00,2026-07-10 11:00:00+00:00,186.3133,2.0,1,TP
BCH-USDT-SWAP,5,VAR_D,2026-07-10 13:00:00+00:00,2026-07-10 17:00:00+00:00,-119.5487,-1.0325,0,SL
BCH-USDT-SWAP,5,VAR_D,2026-07-11 15:00:00+00:00,2026-07-11 16:00:00+00:00,-123.7657,-1.0395,0,SL
ADA-USDT-SWAP,1,VAR_D,2025-07-16 15:00:00+00:00,2025-07-16 20:00:00+00:00,190.9287,2.0,1,TP
BNB-USDT-SWAP,1,VAR_D,2025-07-27 01:00:00+00:00,2025-07-27 15:00:00+00:00,178.0617,2.0,1,TP
BNB-USDT-SWAP,2,VAR_D,2025-08-17 10:00:00+00:00,2025-08-17 13:00:00+00:00,-128.4614,-1.0473,0,SL
DOT-USDT-SWAP,1,VAR_D,2025-07-20 17:00:00+00:00,2025-07-20 18:00:00+00:00,-114.177,-1.0235,0,SL
ARB-USDT-SWAP,1,VAR_D,2025-07-20 04:00:00+00:00,2025-07-20 08:00:00+00:00,192.9807,2.0,1,TP
OP-USDT-SWAP,5,VAR_D,2026-05-10 14:00:00+00:00,2026-05-10 20:00:00+00:00,-113.5837,-1.0225,0,SL
OP-USDT-SWAP,5,VAR_D,2026-06-15 13:00:00+00:00,2026-06-15 19:00:00+00:00,-113.445,-1.0223,0,SL
NEAR-USDT-SWAP,1,VAR_D,2025-07-20 09:00:00+00:00,2025-07-20 16:00:00+00:00,191.7022,2.0,1,TP
NEAR-USDT-SWAP,1,VAR_D,2025-07-20 17:00:00+00:00,2025-07-20 18:00:00+00:00,-112.4338,-1.0206,0,SL
NEAR-USDT-SWAP,5,VAR_D,2026-05-10 17:00:00+00:00,2026-05-10 19:00:00+00:00,186.6768,2.0,1,TP
NEAR-USDT-SWAP,5,VAR_D,2026-05-10 20:00:00+00:00,2026-05-10 21:00:00+00:00,-118.2566,-1.0303,0,SL
ATOM-USDT-SWAP,1,VAR_D,2025-05-23 02:00:00+00:00,2025-05-23 06:00:00+00:00,-116.5763,-1.0275,0,SL
ATOM-USDT-SWAP,1,VAR_D,2025-07-21 13:00:00+00:00,2025-07-21 16:00:00+00:00,-115.6588,-1.026,0,SL
ATOM-USDT-SWAP,3,VAR_D,2026-01-11 17:00:00+00:00,2026-01-11 20:00:00+00:00,-115.8839,-1.0264,0,SL
APT-USDT-SWAP,3,VAR_D,2026-01-04 14:00:00+00:00,2026-01-04 16:00:00+00:00,187.0545,2.0,1,TP
APT-USDT-SWAP,5,VAR_D,2026-05-10 09:00:00+00:00,2026-05-10 12:00:00+00:00,-117.3654,-1.0288,0,SL
ENA-USDT-SWAP,3,VAR_D,2026-05-10 17:00:00+00:00,2026-05-10 18:00:00+00:00,191.1095,2.0,1,TP
UNI-USDT-SWAP,1,VAR_D,2025-05-13 13:00:00+00:00,2025-05-13 18:00:00+00:00,193.5418,2.0,1,TP
UNI-USDT-SWAP,1,VAR_D,2025-07-20 02:00:00+00:00,2025-07-20 03:00:00+00:00,192.1505,2.0,1,TP
UNI-USDT-SWAP,1,VAR_D,2025-07-20 04:00:00+00:00,2025-07-20 12:00:00+00:00,192.4732,2.0,1,TP
UNI-USDT-SWAP,5,VAR_D,2026-07-11 11:00:00+00:00,2026-07-11 12:00:00+00:00,189.9758,2.0,1,TP
FIL-USDT-SWAP,5,VAR_D,2026-05-10 15:00:00+00:00,2026-05-10 20:00:00+00:00,-113.4734,-1.0224,0,SL
