sym,fold,entry_time,exit_time,entry_hour,pnl,r_multiple,win,exit_type,holding_bars
BTC-USDT-SWAP,1,2026-05-05 02:45:00+00:00,2026-05-05 03:00:00+00:00,2,-171.0549,-1.1183,0,SL,1
BTC-USDT-SWAP,1,2026-05-05 12:45:00+00:00,2026-05-05 13:00:00+00:00,12,140.7159,2.0,1,TP,1
LINK-USDT-SWAP,1,2026-05-05 20:15:00+00:00,2026-05-05 21:00:00+00:00,20,161.87,2.0,1,TP,3
DOGE-USDT-SWAP,1,2026-05-01 00:15:00+00:00,2026-05-01 00:30:00+00:00,0,-146.3352,-1.0771,0,SL,1
DOGE-USDT-SWAP,1,2026-05-01 00:45:00+00:00,2026-05-01 01:00:00+00:00,0,171.4515,2.0,1,TP,1
BTC-USDT-SWAP,3,2026-06-12 04:30:00+00:00,2026-06-12 05:00:00+00:00,4,-165.8785,-1.1097,0,SL,2
LINK-USDT-SWAP,3,2026-06-08 21:15:00+00:00,2026-06-08 21:45:00+00:00,21,-135.4818,-1.059,0,SL,2
LTC-USDT-SWAP,3,2026-06-08 19:15:00+00:00,2026-06-08 20:15:00+00:00,19,-141.4196,-1.0689,0,SL,4
LTC-USDT-SWAP,3,2026-06-13 07:30:00+00:00,2026-06-13 08:30:00+00:00,7,157.2884,2.0,1,TP,4
LTC-USDT-SWAP,3,2026-06-13 15:30:00+00:00,2026-06-13 16:00:00+00:00,15,-171.6435,-1.1193,0,SL,2
LTC-USDT-SWAP,3,2026-06-16 08:30:00+00:00,2026-06-16 08:45:00+00:00,8,162.809,2.0,1,TP,1
BCH-USDT-SWAP,3,2026-06-12 04:30:00+00:00,2026-06-12 05:00:00+00:00,4,-135.4585,-1.059,0,SL,2
DOGE-USDT-SWAP,3,2026-06-08 21:15:00+00:00,2026-06-08 22:00:00+00:00,21,-138.8982,-1.0647,0,SL,3
BTC-USDT-SWAP,4,2026-07-03 01:15:00+00:00,2026-07-03 02:15:00+00:00,1,-163.9332,-1.1065,0,SL,4
BTC-USDT-SWAP,4,2026-07-03 05:45:00+00:00,2026-07-03 09:00:00+00:00,5,-170.0752,-1.1167,0,SL,13
BTC-USDT-SWAP,4,2026-07-04 03:45:00+00:00,2026-07-04 05:15:00+00:00,3,-181.0839,-1.1351,0,SL,6
BTC-USDT-SWAP,4,2026-07-10 08:30:00+00:00,2026-07-10 08:45:00+00:00,8,-175.1358,-1.1251,0,SL,1
BTC-USDT-SWAP,4,2026-07-10 12:15:00+00:00,2026-07-10 12:30:00+00:00,12,-178.6226,-1.131,0,SL,1
ETH-USDT-SWAP,4,2026-07-03 19:30:00+00:00,2026-07-03 20:30:00+00:00,19,164.1312,2.0,1,TP,4
ETH-USDT-SWAP,4,2026-07-04 05:00:00+00:00,2026-07-04 05:15:00+00:00,5,-160.4833,-1.1007,0,SL,1
ETH-USDT-SWAP,4,2026-07-04 08:45:00+00:00,2026-07-04 09:30:00+00:00,8,-166.7161,-1.1111,0,SL,3
ETH-USDT-SWAP,4,2026-07-04 12:45:00+00:00,2026-07-04 13:15:00+00:00,12,141.8322,2.0,1,TP,2
LINK-USDT-SWAP,4,2026-07-03 08:15:00+00:00,2026-07-03 08:30:00+00:00,8,163.7161,2.0,1,TP,1
LINK-USDT-SWAP,4,2026-07-03 19:30:00+00:00,2026-07-03 20:15:00+00:00,19,163.8569,2.0,1,TP,3
LINK-USDT-SWAP,4,2026-07-04 00:15:00+00:00,2026-07-04 00:30:00+00:00,0,-157.0643,-1.095,0,SL,1
LTC-USDT-SWAP,4,2026-06-27 02:30:00+00:00,2026-06-27 03:00:00+00:00,2,-147.7364,-1.0795,0,SL,2
LTC-USDT-SWAP,4,2026-06-27 07:30:00+00:00,2026-06-27 09:00:00+00:00,7,164.0788,2.0,1,TP,6
LTC-USDT-SWAP,4,2026-07-03 02:15:00+00:00,2026-07-03 02:45:00+00:00,2,-157.5316,-1.0958,0,SL,2
LTC-USDT-SWAP,4,2026-07-04 13:00:00+00:00,2026-07-04 13:30:00+00:00,13,-160.9273,-1.1015,0,SL,2
BCH-USDT-SWAP,4,2026-06-27 00:15:00+00:00,2026-06-27 00:30:00+00:00,0,-132.2144,-1.0536,0,SL,1
BCH-USDT-SWAP,4,2026-07-04 06:45:00+00:00,2026-07-04 08:30:00+00:00,6,-142.254,-1.0703,0,SL,7
DOGE-USDT-SWAP,4,2026-07-03 08:30:00+00:00,2026-07-03 08:45:00+00:00,8,-150.1158,-1.0834,0,SL,1
BTC-USDT-SWAP,5,2026-07-22 00:15:00+00:00,2026-07-22 01:00:00+00:00,0,-179.4504,-1.1672,0,SL,3
ETH-USDT-SWAP,5,2026-07-16 05:30:00+00:00,2026-07-16 06:30:00+00:00,5,-165.6768,-1.1094,0,SL,4
XRP-USDT-SWAP,5,2026-07-21 11:45:00+00:00,2026-07-21 12:45:00+00:00,11,152.989,2.0,1,TP,4
XRP-USDT-SWAP,5,2026-07-21 13:00:00+00:00,2026-07-21 13:30:00+00:00,13,-169.0154,-1.1149,0,SL,2
BCH-USDT-SWAP,5,2026-07-21 03:00:00+00:00,2026-07-21 04:15:00+00:00,3,167.2388,2.0,1,TP,5
BCH-USDT-SWAP,5,2026-07-21 07:45:00+00:00,2026-07-21 10:30:00+00:00,7,166.0942,2.0,1,TP,11
