variant,label,changes,atr_threshold,dist_threshold,bb_threshold,n_trades,delta_n,win_rate,profit_factor,expectancy_r,sharpe,max_drawdown,boot_p5,boot_p50,boot_p95,mc_prob_profit,loo_sym_floor,loo_fold_floor,env_bars,on_pareto_front,criteria_score,verdict
C,Relax BB→p50,BB<p50,0.25,0.75,0.5,27,5,0.5926,2.2198,0.7778,1.4601161083988147e+17,-0.0314,1.1852,2.2152,4.4202,0.9815,1.7906,1.5315,369,1,6,WATCHLIST
BASE,BASELINE,—,0.25,0.75,0.33,22,0,0.5455,1.8168,0.6364,1898628049836.6108,-0.0265,0.8742,1.8383,3.9878,0.939,1.5037,1.5166,265,0,6,WATCHLIST
E,Relax ATR→p33,ATR<p33,0.33,0.75,0.33,35,13,0.5143,1.6127,0.5429,622528037.5902,-0.0403,0.9044,1.6195,2.9088,0.926,1.4275,1.1716,409,1,6,WATCHLIST
G,ATR→p33 + BB→p50,"ATR<p33, BB<p50",0.33,0.75,0.5,52,30,0.5,1.5459,0.5,23694812.7375,-0.0627,0.9769,1.5486,2.4613,0.944,1.3621,1.2152,611,1,6,WATCHLIST
F,Relax ATR→p40,ATR<p40,0.4,0.75,0.33,43,21,0.4419,1.2181,0.3256,18.0721,-0.0531,0.6825,1.2215,1.9686,0.73,1.0859,0.9412,540,0,5,WATCHLIST
H,ATR→p40 + BB→p50,"ATR<p40, BB<p50",0.4,0.75,0.5,70,48,0.4286,1.1736,0.2857,1.4541,-0.0881,0.7758,1.1707,1.7415,0.725,1.0795,1.0171,860,1,4,INVESTIGATE
D,Dist→p60 + BB→p50,"Dist>p60, BB<p50",0.25,0.6,0.5,81,59,0.4198,1.0981,0.2593,0.0256,-0.1325,0.7579,1.0915,1.6211,0.6395,0.9838,0.9428,1068,1,2,REJECT
I,ATR→p33 + Dist→p60,"ATR<p33, Dist>p60",0.33,0.6,0.33,103,81,0.3981,1.0054,0.1942,0.0,-0.1233,0.7114,1.0045,1.3883,0.5095,0.8957,0.9232,1139,1,2,REJECT
A,Relax Dist→p60,Dist>p60,0.25,0.6,0.33,65,43,0.4154,1.0657,0.2462,0.004,-0.124,0.6744,1.0592,1.6267,0.5805,0.9326,0.9957,790,0,1,REJECT
J,Dist→p50 + BB→p50,"Dist>p50, BB<p50",0.25,0.5,0.5,152,130,0.3487,0.8025,0.0461,-0.0001,-0.3351,0.5878,0.7977,1.0584,0.093,0.7279,0.7026,1984,1,1,REJECT
B,Relax Dist→p50,Dist>p50,0.25,0.5,0.33,123,101,0.3496,0.7946,0.0488,-0.0001,-0.2878,0.5661,0.7913,1.0819,0.1,0.7119,0.7217,1515,0,1,REJECT
