rank,depth,n,win_rate,profit_factor,boot_p5,boot_p50,boot_p95,mc_prob_profit,max_drawdown,sharpe,net_pnl,sym_floor,fold_floor,env_bars,overlap_varg,independent,n_families,score,verdict,conditions,cond_ids
1,4,68,0.5441,2.0029,1.3233,1.9977,3.0678,0.9975,-0.0364,5818141284220.884,3530.55,1.8386,1.3115,272,0.0,True,3,7,PROMOTE,Dist>p75 · Wed-Thu · BodyPct>p60 · US(14-21UTC),DST_FR|MIDWK|PBP_HI|US
2,4,137,0.5328,1.9332,1.4486,1.9312,2.5967,1.0,-0.0559,13331624236.1555,6721.23,1.8257,1.3173,758,0.0,True,2,7,PROMOTE,ADX>p67 · Dist>p75 · Wed-Thu · US(14-21UTC),ADX_ST|DST_FR|MIDWK|US
3,4,88,0.5227,1.8671,1.3082,1.8734,2.7019,0.997,-0.0506,47683131847.9872,4092.5,1.7047,1.5869,421,0.0,True,3,7,PROMOTE,Dist>p75 · Wed-Thu · PrevBody>p67 · US(14-21UTC),DST_FR|MIDWK|PBD_HI|US
4,4,234,0.5171,1.781,1.4197,1.7828,2.2009,1.0,-0.0557,15002085.3705,10073.77,1.6902,1.1677,1583,0.0,True,2,7,PROMOTE,ADX>p67 · Dist>p60 · Wed-Thu · US(14-21UTC),ADX_ST|DST_MD|MIDWK|US
5,4,78,0.5128,1.7349,1.2043,1.7324,2.5102,0.989,-0.0361,2735418506.2702,3213.46,1.6478,1.207,395,0.0,True,3,7,PROMOTE,ATR<p40 · PrevRng>p80 · RealVol<p33 · Slope<0,ATR_MD|PRG_VH|RV_LO|SLP_DN
6,4,65,0.5077,1.6663,1.087,1.669,2.581,0.982,-0.0418,638489056.9443,2478.22,1.461,1.3968,845,0.0,True,4,7,PROMOTE,ATR<p25 · Mon-Tue · BodyPct>p60 · Slope<0,ATR_LO|EARLY|PBP_HI|SLP_DN
7,4,167,0.491,1.6333,1.2589,1.637,2.1224,1.0,-0.0646,4485413.25,6068.46,1.5494,1.1597,912,0.0,True,3,7,PROMOTE,ATR>p67 · Dist>p75 · Wed-Thu · US(14-21UTC),ATR_HI|DST_FR|MIDWK|US
8,4,183,0.4973,1.6257,1.2532,1.6242,2.0824,0.9995,-0.0668,2754657.0686,6647.12,1.4977,1.22,899,0.0,True,3,7,PROMOTE,Dist>p60 · Wed-Thu · BodyPct>p60 · US(14-21UTC),DST_MD|MIDWK|PBP_HI|US
9,4,192,0.4844,1.5933,1.2532,1.5915,2.0102,0.9985,-0.0782,804370.9715,6612.93,1.4798,1.5144,1135,0.0571,True,3,7,PROMOTE,ADX>p67 · Dist>p75 · BodyPct>p60 · US(14-21UTC),ADX_ST|DST_FR|PBP_HI|US
10,4,163,0.4969,1.5916,1.2302,1.5938,2.062,0.9975,-0.0487,2057772.8745,5659.35,1.4557,1.1363,1094,0.0,True,3,7,PROMOTE,ATR<p40 · Dist<p33 · PrevRng>p67 · RealVol<p33,ATR_MD|DST_NR|PRG_HI|RV_LO
