symbol,n_trades,win_rate,profit_factor,net_r,net_pnl,mdd
1INCH,6,0.1667,0.3486,-0.5,-363.49,-0.0547
AAVE,10,0.4,1.1469,0.2,98.91,-0.0226
ALGO,3,0.0,0.0,-1.0,-334.92,-0.0335
AXS,2,0.5,1.6383,0.5,74.08,-0.0114
CHZ,8,0.5,1.762,0.5,333.54,-0.0221
COMP,5,0.6,2.4903,0.8,342.85,-0.0119
CRV,3,0.0,0.0,-1.0,-335.48,-0.0335
DYDX,11,0.6364,3.0494,0.9091,906.45,-0.0113
EGLD,0,0.0,0.0,0.0,0.0,0.0
ETC,4,0.5,1.6431,0.5,147.83,-0.0114
FET,7,0.1429,0.2971,-0.5714,-455.49,-0.0455
GALA,4,0.5,1.6992,0.5,158.58,-0.0223
GMX,5,0.6,2.4162,0.8,332.94,-0.0119
GRT,3,0.3333,0.8183,-0.0,-42.48,-0.0234
HBAR,2,0.5,1.6454,0.5,73.71,-0.0114
ICP,10,0.3,0.7552,-0.1,-189.15,-0.0434
IMX,9,0.5556,2.1469,0.6667,514.27,-0.0209
INJ,5,0.6,2.5349,0.8,344.23,-0.0109
LDO,9,0.3333,0.8771,-0.0,-81.45,-0.0447
SAND,3,0.3333,0.8492,-0.0,-33.9,-0.0112
SHIB,4,0.5,1.6645,0.5,151.44,-0.0224
SNX,4,0.5,1.8526,0.5,179.69,-0.0203
STX,3,0.6667,3.2717,1.0,264.77,-0.0114
SUSHI,5,0.2,0.4351,-0.4,-248.26,-0.0431
TRX,3,0.0,0.0,-1.0,-445.43,-0.0445
XLM,5,0.4,1.1503,0.2,50.39,-0.0117
