sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
LDO-USDT-SWAP,1,,2025-10-02T20:00:00.000,2025-10-03T01:00:00.000,-110.1867,-1.0169,0,SL,5
LDO-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-112.2694,-1.0204,0,SL,1
LDO-USDT-SWAP,4,,2026-04-01T17:00:00.000,2026-04-01T18:00:00.000,-113.6885,-1.0227,0,SL,1
LDO-USDT-SWAP,4,,2026-04-15T15:00:00.000,2026-04-15T16:00:00.000,-111.1068,-1.0184,0,SL,1
LDO-USDT-SWAP,4,,2026-04-15T19:00:00.000,2026-04-16T02:00:00.000,193.6053,2.0,1,TP,7
LDO-USDT-SWAP,4,E2,2026-04-16T15:00:00.000,2026-04-16T16:00:00.000,194.4049,2.0,1,TP,1
LDO-USDT-SWAP,4,,2026-04-16T20:00:00.000,2026-04-16T21:00:00.000,-106.3246,-1.0104,0,SL,1
LDO-USDT-SWAP,5,,2026-07-15T20:00:00.000,2026-07-16T00:00:00.000,193.4902,2.0,1,TP,4
LDO-USDT-SWAP,5,,2026-07-16T15:00:00.000,2026-07-16T16:00:00.000,-109.3704,-1.0155,0,SL,1
1INCH-USDT-SWAP,2,E4,2025-11-05T19:00:00.000,2025-11-05T20:00:00.000,194.5244,2.0,1,TP,1
1INCH-USDT-SWAP,2,,2025-11-05T21:00:00.000,2025-11-05T22:00:00.000,-106.9079,-1.0114,0,SL,1
1INCH-USDT-SWAP,2,,2025-11-27T18:00:00.000,2025-11-27T19:00:00.000,-111.9258,-1.0198,0,SL,1
1INCH-USDT-SWAP,2,,2025-11-27T20:00:00.000,2025-11-27T21:00:00.000,-109.5013,-1.0157,0,SL,1
1INCH-USDT-SWAP,4,,2026-03-04T22:00:00.000,2026-03-04T23:00:00.000,-113.2233,-1.0219,0,SL,1
1INCH-USDT-SWAP,5,,2026-07-23T16:00:00.000,2026-07-24T03:00:00.000,-116.4548,-1.0273,0,SL,11
AAVE-USDT-SWAP,1,,2025-08-07T21:00:00.000,2025-08-08T00:00:00.000,-117.4039,-1.0289,0,SL,3
AAVE-USDT-SWAP,1,,2025-08-13T17:00:00.000,2025-08-14T03:00:00.000,191.8149,2.0,1,TP,10
AAVE-USDT-SWAP,3,,2026-01-14T20:00:00.000,2026-01-15T01:00:00.000,-115.1365,-1.0251,0,SL,5
