sym,mcap,sector,exchange,n,wr,pf,nr,mdd,hv30,adx,atr_rank,ema200_slope,bb_width,rel_vol,hurst,daily_range,avg_vol_usdt,profitable,trade_freq,vol_class,trend_class,liq_class,dna_score
STX,Mid,Layer 2,KuCoin,3,0.6667,3.2717,1.0,-0.0114,0.8155318963082014,26.817178220732355,0.012515644087251188,-0.00013261392590185073,0.026176537613728037,0.770007414476719,0.6758328697757154,0.010930691765326093,29842.793550000002,1,0.17341040462427745,Medium,Trending,Medium,0.748
DYDX,Small,Layer 2,OKX,11,0.6364,3.0494,0.9091,-0.0113,0.9049101136156956,26.504707518202473,0.015149304132181943,-0.00012743404914728905,0.029738057846091726,0.82719739507593,0.6758462927804639,0.013704771053474278,532166.7925,1,0.6358381502890174,High,Trending,High,0.567
INJ,Mid,DeFi,KuCoin,5,0.6,2.5349,0.8,-0.0109,0.9139422390354803,26.12252143032733,0.014965641340968745,-0.00010389018032836308,0.029749979433297675,0.8132114869139432,0.6778090231518089,0.01340933686233636,116339.10800000001,1,0.2890173410404624,High,Trending,Medium,0.731
COMP,Mid,DeFi,KuCoin,5,0.6,2.4903,0.8,-0.0119,0.77041338195058,24.789452461490015,0.010295257642805915,-6.889917557183153e-05,0.023895963758681006,0.5430766600395777,0.6613196232683731,0.008273579702151248,314321.7,1,0.2890173410404624,Medium,Trending,High,0.434
GMX,Small,DeFi,OKX,5,0.6,2.4162,0.8,-0.0119,0.7577428673954609,25.877490462351364,0.012389793387402544,-9.446733661751308e-05,0.024493527831876243,0.7525026226941931,0.6729600360133868,0.011200000000000045,389269.60699999996,1,0.2890173410404624,Low,Trending,High,0.921
IMX,Mid,Layer 2,KuCoin,9,0.5556,2.1469,0.6667,-0.0209,0.9260370473262391,26.333876798731595,0.013972240707542384,-0.0001324062318099555,0.03042210486734821,0.7690640680331401,0.6798243915208968,0.012024172306432667,15559.967799999999,1,0.5202312138728323,High,Trending,Low,0.675
SNX,Mid,DeFi,KuCoin,4,0.5,1.8526,0.5,-0.0203,0.891387545928769,25.8601200201218,0.012900765879950912,-0.00010673814033531083,0.028292120426491586,0.7551005584853131,0.6758046463953479,0.011142948105698833,85791.73980000001,1,0.23121387283236994,High,Trending,Medium,0.853
CHZ,Mid,Gaming,KuCoin,8,0.5,1.762,0.5,-0.0221,0.7820942906787466,25.82262907375117,0.01125363343606832,-5.4954054286935484e-05,0.024465083834296728,0.6283604782475206,0.6622068218055633,0.009415674328440876,5981.62788,1,0.4624277456647399,Medium,Trending,Low,0.639
GALA,Mid,Gaming,KuCoin,4,0.5,1.6992,0.5,-0.0223,0.8640404748656287,26.638989720597404,0.013834144242116101,-0.00011281235631966563,0.028108150430437708,0.7859308916080625,0.6723843804765817,0.012437810945273556,61120.03515,1,0.23121387283236994,High,Trending,Medium,0.78
SHIB,Large,Meme,KuCoin,4,0.5,1.6645,0.5,-0.0224,0.6522601605273493,26.144427772668294,0.010677055302257979,-7.81133858133052e-05,0.021160782675333074,0.8398999613452899,0.6778381406271347,0.009471005409311038,1.6850123584999999,1,0.23121387283236994,Low,Trending,Low,0.732
HBAR,Large,Layer 1,KuCoin,2,0.5,1.6454,0.5,-0.0114,0.7147894766851646,25.653775428102648,0.011464767175887899,-2.224644726940799e-05,0.023622506466074056,0.8266042637239958,0.6718777761519151,0.010462536609148983,10138.26348,1,0.11560693641618497,Low,Trending,Low,0.662
ETC,Large,Layer 1,KuCoin,4,0.5,1.6431,0.5,-0.0114,0.5875204235324689,26.477395401908993,0.00920017759475437,-6.0276924365187364e-05,0.019498480658767525,0.7414275164642479,0.6724922413927834,0.008087810514153675,228308.3,1,0.23121387283236994,Low,Trending,High,0.653
AXS,Mid,Gaming,KuCoin,2,0.5,1.6383,0.5,-0.0114,0.7762239743930688,26.380355864778053,0.011475464071692,-0.00011095416644839118,0.025508970636138453,0.7242257954752753,0.6773709207128394,0.010050251256281305,132976.209,1,0.11560693641618497,Medium,Trending,High,0.795
XLM,Large,Layer 1,KuCoin,5,0.4,1.1503,0.2,-0.0117,0.6471871049119646,26.280155738531608,0.010665512931135573,-8.082462915103914e-06,0.02092419914755022,0.8640891894080898,0.6713711130751546,0.009555155470261503,13305.47125,1,0.2890173410404624,Low,Trending,Low,0.608
AAVE,Large,DeFi,KuCoin,10,0.4,1.1469,0.2,-0.0226,0.8086691611443266,26.454222867877263,0.013352013089320009,-3.196425042209859e-05,0.026336966008609203,0.8270568008239296,0.6774216515678908,0.011745205701766754,13521128.41,1,0.5780346820809248,Medium,Trending,High,0.637
LDO,Mid,DeFi,OKX,9,0.3333,0.8771,-0.0,-0.0447,0.9111933837135586,26.55380834898632,0.015255662319343222,-8.038497144150585e-05,0.029662578455146447,0.801599511195666,0.6758849781954365,0.013833992094861672,612922.7215999999,0,0.5202312138728323,High,Trending,High,0.645
