env_a,env_b,trade_overlap_pct,return_corr,session_overlap
E05,E05,100.0,1.0,1
E05,E06,0.0,-0.015,0
E05,E07,0.0,-0.012,0
E05,E08,0.0,-0.01,0
E05,E09,0.0,-0.01,0
E05,E10,31.1,0.793,1
E05,E11,0.0,-0.013,0
E05,E12,17.7,0.363,0
E05,E15,0.0,-0.008,0
E05,E16,0.0,-0.007,0
E06,E05,0.0,-0.015,0
E06,E06,100.0,1.0,1
E06,E07,0.0,-0.023,0
E06,E08,0.0,-0.024,0
E06,E09,0.0,-0.004,0
E06,E10,0.8,0.024,0
E06,E11,0.0,-0.023,0
E06,E12,0.0,0.0,0
E06,E15,0.0,-0.016,0
E06,E16,0.0,-0.018,0
E07,E05,0.0,-0.012,0
E07,E06,0.0,-0.023,0
E07,E07,100.0,1.0,2
E07,E08,25.7,0.536,2
E07,E09,23.4,0.569,1
E07,E10,0.0,-0.012,0
E07,E11,85.6,0.974,2
E07,E12,0.0,-0.004,1
E07,E15,26.1,0.592,1
E07,E16,26.6,0.553,2
E08,E05,0.0,-0.01,0
E08,E06,0.0,-0.024,0
E08,E07,25.7,0.536,2
E08,E08,100.0,1.0,2
E08,E09,25.9,0.622,1
E08,E10,0.0,-0.006,0
E08,E11,25.8,0.546,2
E08,E12,0.0,-0.003,1
E08,E15,28.8,0.648,1
E08,E16,69.3,0.869,2
E09,E05,0.0,-0.01,0
E09,E06,0.0,-0.004,0
E09,E07,23.4,0.569,1
E09,E08,25.9,0.622,1
E09,E09,100.0,1.0,1
E09,E10,0.0,-0.01,0
E09,E11,25.5,0.586,1
E09,E12,0.0,-0.006,1
E09,E15,31.9,0.756,0
E09,E16,19.0,0.533,1
E10,E05,31.1,0.793,1
E10,E06,0.8,0.024,0
E10,E07,0.0,-0.012,0
E10,E08,0.0,-0.006,0
E10,E09,0.0,-0.01,0
E10,E10,100.0,1.0,1
E10,E11,0.0,-0.011,0
E10,E12,13.9,0.216,0
E10,E15,0.0,-0.007,0
E10,E16,0.0,-0.007,0
E11,E05,0.0,-0.013,0
E11,E06,0.0,-0.023,0
E11,E07,85.6,0.974,2
E11,E08,25.8,0.546,2
E11,E09,25.5,0.586,1
E11,E10,0.0,-0.011,0
E11,E11,100.0,1.0,2
E11,E12,0.0,-0.013,1
E11,E15,28.6,0.611,1
E11,E16,24.2,0.54,2
E12,E05,17.7,0.363,0
E12,E06,0.0,0.0,0
E12,E07,0.0,-0.004,1
E12,E08,0.0,-0.003,1
E12,E09,0.0,-0.006,1
E12,E10,13.9,0.216,0
E12,E11,0.0,-0.013,1
E12,E12,100.0,1.0,1
E12,E15,0.0,-0.004,0
E12,E16,0.0,-0.002,1
E15,E05,0.0,-0.008,0
E15,E06,0.0,-0.016,0
E15,E07,26.1,0.592,1
E15,E08,28.8,0.648,1
E15,E09,31.9,0.756,0
E15,E10,0.0,-0.007,0
E15,E11,28.6,0.611,1
E15,E12,0.0,-0.004,0
E15,E15,100.0,1.0,1
E15,E16,20.6,0.554,1
E16,E05,0.0,-0.007,0
E16,E06,0.0,-0.018,0
E16,E07,26.6,0.553,2
E16,E08,69.3,0.869,2
E16,E09,19.0,0.533,1
E16,E10,0.0,-0.007,0
E16,E11,24.2,0.54,2
E16,E12,0.0,-0.002,1
E16,E15,20.6,0.554,1
E16,E16,100.0,1.0,2
