sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
BTC-USDT-SWAP,1,E08,2025-05-01T15:00:00.000,2025-05-01T23:00:00.000,-130.4519,-1.0507,0,SL,8
BTC-USDT-SWAP,1,E08,2025-05-08T22:00:00.000,2025-05-10T23:00:00.000,184.7563,2.0,1,TP,49
BTC-USDT-SWAP,1,E08,2025-05-21T15:00:00.000,2025-05-21T17:00:00.000,-123.191,-1.0386,0,SL,2
BTC-USDT-SWAP,1,E08,2025-07-10T18:00:00.000,2025-07-10T19:00:00.000,-136.4256,-1.0606,0,SL,1
BTC-USDT-SWAP,1,E08,2025-07-10T22:00:00.000,2025-07-11T00:00:00.000,-125.0094,-1.0416,0,SL,2
BTC-USDT-SWAP,2,E08,2025-10-01T15:00:00.000,2025-10-01T23:00:00.000,175.1399,2.0,1,TP,8
BTC-USDT-SWAP,2,E08,2025-10-02T16:00:00.000,2025-10-03T08:00:00.000,-134.1828,-1.0569,0,SL,16
BTC-USDT-SWAP,3,E08,2025-12-04T16:00:00.000,2025-12-04T17:00:00.000,-122.6287,-1.0376,0,SL,1
BTC-USDT-SWAP,3,E08,2026-01-14T16:00:00.000,2026-01-15T02:00:00.000,-126.5679,-1.0442,0,SL,10
BTC-USDT-SWAP,4,E08,2026-02-25T18:00:00.000,2026-02-25T21:00:00.000,187.4223,2.0,1,TP,3
BTC-USDT-SWAP,4,E08,2026-03-05T15:00:00.000,2026-03-05T16:00:00.000,-117.2659,-1.0287,0,SL,1
BTC-USDT-SWAP,4,E08,2026-04-09T15:00:00.000,2026-04-09T16:00:00.000,181.301,2.0,1,TP,1
BTC-USDT-SWAP,4,E08,2026-04-15T20:00:00.000,2026-04-16T00:00:00.000,-126.2253,-1.0436,0,SL,4
BTC-USDT-SWAP,4,E08,2026-04-22T15:00:00.000,2026-04-22T20:00:00.000,-128.2609,-1.047,0,SL,5
BTC-USDT-SWAP,4,E08,2026-04-23T15:00:00.000,2026-04-23T17:00:00.000,-128.8743,-1.048,0,SL,2
ETH-USDT-SWAP,1,E08,2025-05-01T15:00:00.000,2025-05-02T05:00:00.000,-119.4691,-1.0324,0,SL,14
ETH-USDT-SWAP,1,E08,2025-05-08T15:00:00.000,2025-05-08T16:00:00.000,189.5969,2.0,1,TP,1
ETH-USDT-SWAP,1,E08,2025-05-08T20:00:00.000,2025-05-08T21:00:00.000,191.8577,2.0,1,TP,1
ETH-USDT-SWAP,1,E08,2025-05-15T17:00:00.000,2025-05-15T18:00:00.000,-111.0281,-1.0183,0,SL,1
ETH-USDT-SWAP,1,E08,2025-06-11T16:00:00.000,2025-06-11T17:00:00.000,-115.1693,-1.0252,0,SL,1
ETH-USDT-SWAP,1,E08,2025-07-02T17:00:00.000,2025-07-02T19:00:00.000,186.4457,2.0,1,TP,2
ETH-USDT-SWAP,1,E08,2025-07-09T20:00:00.000,2025-07-09T21:00:00.000,-117.804,-1.0296,0,SL,1
ETH-USDT-SWAP,1,E08,2025-07-10T18:00:00.000,2025-07-10T21:00:00.000,186.0804,2.0,1,TP,3
ETH-USDT-SWAP,1,E08,2025-07-16T15:00:00.000,2025-07-16T17:00:00.000,188.9869,2.0,1,TP,2
ETH-USDT-SWAP,1,E08,2025-07-16T18:00:00.000,2025-07-16T20:00:00.000,189.8781,2.0,1,TP,2
ETH-USDT-SWAP,2,E08,2025-10-02T16:00:00.000,2025-10-03T03:00:00.000,186.8027,2.0,1,TP,11
ETH-USDT-SWAP,3,E08,2025-12-04T16:00:00.000,2025-12-04T17:00:00.000,-115.9058,-1.0264,0,SL,1
ETH-USDT-SWAP,4,E08,2026-02-25T16:00:00.000,2026-02-25T17:00:00.000,189.9879,2.0,1,TP,1
ETH-USDT-SWAP,4,E08,2026-02-25T18:00:00.000,2026-02-25T21:00:00.000,190.5438,2.0,1,TP,3
ETH-USDT-SWAP,4,E08,2026-03-04T15:00:00.000,2026-03-04T16:00:00.000,191.5113,2.0,1,TP,1
ETH-USDT-SWAP,4,E08,2026-03-04T20:00:00.000,2026-03-04T21:00:00.000,-111.4607,-1.019,0,SL,1
ETH-USDT-SWAP,4,E08,2026-03-05T15:00:00.000,2026-03-05T16:00:00.000,-112.8548,-1.0213,0,SL,1
ETH-USDT-SWAP,4,E08,2026-04-15T20:00:00.000,2026-04-15T21:00:00.000,-121.4235,-1.0356,0,SL,1
ETH-USDT-SWAP,5,E08,2026-07-22T17:00:00.000,2026-07-22T18:00:00.000,-123.0511,-1.0383,0,SL,1
SOL-USDT-SWAP,1,E08,2025-07-10T18:00:00.000,2025-07-10T19:00:00.000,-119.0617,-1.0317,0,SL,1
SOL-USDT-SWAP,1,E08,2025-07-10T22:00:00.000,2025-07-11T00:00:00.000,-117.03,-1.0283,0,SL,2
SOL-USDT-SWAP,1,E08,2025-07-16T18:00:00.000,2025-07-17T01:00:00.000,-115.5939,-1.0259,0,SL,7
SOL-USDT-SWAP,2,E08,2025-08-13T16:00:00.000,2025-08-14T00:00:00.000,192.0376,2.0,1,TP,8
SOL-USDT-SWAP,2,E08,2025-08-27T21:00:00.000,2025-08-27T22:00:00.000,-111.6638,-1.0193,0,SL,1
SOL-USDT-SWAP,2,E08,2025-09-18T18:00:00.000,2025-09-18T19:00:00.000,-118.3389,-1.0305,0,SL,1
SOL-USDT-SWAP,2,E08,2025-10-02T16:00:00.000,2025-10-02T18:00:00.000,189.0308,2.0,1,TP,2
SOL-USDT-SWAP,3,E08,2025-11-26T19:00:00.000,2025-11-26T20:00:00.000,-112.9769,-1.0215,0,SL,1
SOL-USDT-SWAP,3,E08,2026-01-14T16:00:00.000,2026-01-14T18:00:00.000,-117.7488,-1.0295,0,SL,2
SOL-USDT-SWAP,4,E08,2026-03-04T15:00:00.000,2026-03-04T19:00:00.000,192.6085,2.0,1,TP,4
SOL-USDT-SWAP,4,E08,2026-03-05T15:00:00.000,2026-03-05T16:00:00.000,-111.9549,-1.0198,0,SL,1
SOL-USDT-SWAP,4,E08,2026-04-16T19:00:00.000,2026-04-17T01:00:00.000,-115.3423,-1.0255,0,SL,6
SOL-USDT-SWAP,5,E08,2026-07-01T15:00:00.000,2026-07-01T22:00:00.000,190.2076,2.0,1,TP,7
LINK-USDT-SWAP,1,E08,2025-05-08T21:00:00.000,2025-05-08T22:00:00.000,-113.6678,-1.0227,0,SL,1
LINK-USDT-SWAP,1,E08,2025-07-10T18:00:00.000,2025-07-10T21:00:00.000,187.5653,2.0,1,TP,3
LINK-USDT-SWAP,1,E08,2025-07-10T22:00:00.000,2025-07-11T05:00:00.000,189.0051,2.0,1,TP,7
LINK-USDT-SWAP,2,E08,2025-08-07T17:00:00.000,2025-08-07T20:00:00.000,190.4594,2.0,1,TP,3
LINK-USDT-SWAP,2,E08,2025-08-20T15:00:00.000,2025-08-20T21:00:00.000,194.7239,2.0,1,TP,6
LINK-USDT-SWAP,3,E08,2026-01-14T16:00:00.000,2026-01-14T18:00:00.000,-118.7109,-1.0311,0,SL,2
LINK-USDT-SWAP,4,E08,2026-02-25T16:00:00.000,2026-02-25T21:00:00.000,190.8818,2.0,1,TP,5
