env,r042_rank,label,n,win_rate,profit_factor,boot_p50,boot_p5,boot_p95,mc_prob,mdd,sym_floor,fold_floor,score,verdict
E05,5,ATR<p40 · PrevRng>p80 · RealVol<p33 · Slope<0,150,0.4733,1.4356,1.4348,1.0968,1.8925,0.9935,-0.0456,1.3703,1.0556,6,WATCHLIST
E06,6,ATR<p25 · Mon-Tue · BodyPct>p60 · Slope<0,70,0.5286,1.8115,1.8047,1.2164,2.7003,0.996,-0.0531,1.5626,1.5174,6,WATCHLIST
E07,7,ATR>p67 · Dist>p75 · Wed-Thu · US(14-21UTC),190,0.4737,1.5161,1.5159,1.2043,1.95,0.9975,-0.0653,1.41,1.0856,6,WATCHLIST
E08,8,Dist>p60 · Wed-Thu · BodyPct>p60 · US(14-21UTC),226,0.4823,1.5345,1.5354,1.2197,1.9091,0.9995,-0.0878,1.4173,1.2125,7,PROMOTE
E09,9,ADX>p67 · Dist>p75 · BodyPct>p60 · US(14-21UTC),221,0.457,1.4171,1.42,1.1332,1.7961,0.995,-0.1008,1.306,1.3422,7,PROMOTE
E10,10,ATR<p40 · Dist<p33 · PrevRng>p67 · RealVol<p33,187,0.4652,1.395,1.3936,1.0781,1.767,0.9815,-0.1161,1.284,1.0256,6,WATCHLIST
E11,11,ADX>p50 · Dist>p75 · Wed-Thu · US(14-21UTC),183,0.4754,1.5272,1.5241,1.1983,1.9062,0.997,-0.0648,1.4166,1.1409,6,WATCHLIST
E12,12,Dist<p33 · PrevRng>p80 · RealVol<p33 · US(14-21UTC),116,0.4138,1.1438,1.1483,0.843,1.5707,0.7505,-0.0888,1.0959,0.7378,3,INVESTIGATE
E15,15,ADX>p67 · Dist>p75 · Wed-Thu · BodyPct>p60,172,0.4535,1.3895,1.3914,1.0732,1.7817,0.9855,-0.0942,1.2945,1.0575,6,WATCHLIST
E16,16,Dist>p60 · Wed-Thu · PrevBody>p67 · US(14-21UTC),243,0.4527,1.3738,1.3748,1.113,1.7007,0.9955,-0.0946,1.2999,1.1144,7,PROMOTE
