sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
ETH-USDT-SWAP,2,E06,2025-08-04T14:00:00.000,2025-08-04T16:00:00.000,184.7326,2.0,1,TP,2
ETH-USDT-SWAP,4,E06,2026-02-09T16:00:00.000,2026-02-09T17:00:00.000,191.3803,2.0,1,TP,1
SOL-USDT-SWAP,2,E06,2025-08-04T09:00:00.000,2025-08-04T10:00:00.000,-119.9572,-1.0332,0,SL,1
SOL-USDT-SWAP,2,E06,2025-08-12T11:00:00.000,2025-08-12T12:00:00.000,187.4552,2.0,1,TP,1
LINK-USDT-SWAP,1,E06,2025-06-02T11:00:00.000,2025-06-02T19:00:00.000,-119.5321,-1.0325,0,SL,8
LINK-USDT-SWAP,5,E06,2026-06-09T17:00:00.000,2026-06-09T20:00:00.000,190.0417,2.0,1,TP,3
AVAX-USDT-SWAP,2,E06,2025-08-04T05:00:00.000,2025-08-04T14:00:00.000,186.946,2.0,1,TP,9
AVAX-USDT-SWAP,5,E06,2026-06-08T13:00:00.000,2026-06-08T14:00:00.000,-111.381,-1.0189,0,SL,1
XRP-USDT-SWAP,4,E06,2026-02-03T16:00:00.000,2026-02-03T17:00:00.000,-113.6422,-1.0226,0,SL,1
XRP-USDT-SWAP,5,E06,2026-06-09T17:00:00.000,2026-06-10T04:00:00.000,-114.6234,-1.0243,0,SL,11
LTC-USDT-SWAP,1,E06,2025-05-26T15:00:00.000,2025-05-26T16:00:00.000,-124.1175,-1.0401,0,SL,1
LTC-USDT-SWAP,3,E06,2025-11-24T01:00:00.000,2025-11-24T02:00:00.000,188.9792,2.0,1,TP,1
LTC-USDT-SWAP,4,E06,2026-02-03T16:00:00.000,2026-02-03T17:00:00.000,-115.0076,-1.0249,0,SL,1
LTC-USDT-SWAP,5,E06,2026-06-09T17:00:00.000,2026-06-09T18:00:00.000,188.1534,2.0,1,TP,1
LTC-USDT-SWAP,5,E06,2026-06-30T12:00:00.000,2026-06-30T13:00:00.000,-124.4765,-1.0407,0,SL,1
LTC-USDT-SWAP,5,E06,2026-06-30T14:00:00.000,2026-06-30T15:00:00.000,-123.3295,-1.0388,0,SL,1
BCH-USDT-SWAP,1,E06,2025-05-20T18:00:00.000,2025-05-20T19:00:00.000,-119.1671,-1.0318,0,SL,1
BCH-USDT-SWAP,2,E06,2025-08-04T02:00:00.000,2025-08-04T14:00:00.000,186.2435,2.0,1,TP,12
