sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
1INCH-USDT-SWAP,2,,2025-10-06T07:00:00.000,2025-10-06T13:00:00.000,185.7162,2.0,1,TP,6
1INCH-USDT-SWAP,2,,2025-11-05T21:00:00.000,2025-11-05T22:00:00.000,-106.9079,-1.0114,0,SL,1
1INCH-USDT-SWAP,2,,2025-11-27T18:00:00.000,2025-11-27T19:00:00.000,-111.9258,-1.0198,0,SL,1
1INCH-USDT-SWAP,2,,2025-11-27T20:00:00.000,2025-11-27T21:00:00.000,-109.5013,-1.0157,0,SL,1
1INCH-USDT-SWAP,2,,2025-12-09T00:00:00.000,2025-12-09T01:00:00.000,-118.8345,-1.0313,0,SL,1
1INCH-USDT-SWAP,3,,2026-02-11T00:00:00.000,2026-02-11T04:00:00.000,-122.0502,-1.0367,0,SL,4
1INCH-USDT-SWAP,3,,2026-02-17T10:00:00.000,2026-02-17T11:00:00.000,-123.3655,-1.0388,0,SL,1
1INCH-USDT-SWAP,4,,2026-03-04T22:00:00.000,2026-03-04T23:00:00.000,-113.2233,-1.0219,0,SL,1
1INCH-USDT-SWAP,5,,2026-06-08T15:00:00.000,2026-06-09T00:00:00.000,-119.6456,-1.0326,0,SL,6
1INCH-USDT-SWAP,5,,2026-07-23T16:00:00.000,2026-07-24T03:00:00.000,-116.4548,-1.0273,0,SL,11
AAVE-USDT-SWAP,1,,2025-08-13T17:00:00.000,2025-08-14T03:00:00.000,191.8149,2.0,1,TP,10
AAVE-USDT-SWAP,3,,2026-02-10T17:00:00.000,2026-02-10T18:00:00.000,-113.8845,-1.023,0,SL,1
AAVE-USDT-SWAP,4,,2026-04-15T15:00:00.000,2026-04-16T13:00:00.000,-113.332,-1.0221,0,SL,22
AAVE-USDT-SWAP,4,E11,2026-04-16T15:00:00.000,2026-04-16T16:00:00.000,191.4551,2.0,1,TP,1
AAVE-USDT-SWAP,4,E11,2026-04-16T18:00:00.000,2026-04-16T19:00:00.000,192.8608,2.0,1,TP,1
AAVE-USDT-SWAP,4,,2026-04-16T20:00:00.000,2026-04-16T21:00:00.000,-109.8443,-1.0163,0,SL,1
AAVE-USDT-SWAP,5,,2026-06-09T17:00:00.000,2026-06-09T19:00:00.000,191.6432,2.0,1,TP,2
AAVE-USDT-SWAP,5,,2026-06-25T15:00:00.000,2026-06-25T17:00:00.000,195.9759,2.0,1,TP,2
AAVE-USDT-SWAP,5,,2026-06-25T18:00:00.000,2026-06-25T19:00:00.000,-105.1628,-1.0085,0,SL,1
ALGO-USDT-SWAP,1,,2025-08-04T14:00:00.000,2025-08-04T19:00:00.000,-115.5134,-1.0258,0,SL,5
ALGO-USDT-SWAP,3,,2026-02-03T04:00:00.000,2026-02-03T17:00:00.000,-112.8329,-1.0213,0,SL,13
ALGO-USDT-SWAP,4,,2026-04-02T15:00:00.000,2026-04-02T21:00:00.000,-107.1259,-1.0118,0,SL,6
ALGO-USDT-SWAP,5,,2026-07-07T20:00:00.000,2026-07-07T22:00:00.000,-121.2003,-1.0352,0,SL,2
AXS-USDT-SWAP,1,,2025-08-04T01:00:00.000,2025-08-04T02:00:00.000,-120.4396,-1.034,0,SL,1
AXS-USDT-SWAP,1,,2025-08-04T03:00:00.000,2025-08-04T06:00:00.000,-119.4448,-1.0323,0,SL,3
AXS-USDT-SWAP,3,,2026-01-22T22:00:00.000,2026-01-23T00:00:00.000,196.2651,2.0,1,TP,2
AXS-USDT-SWAP,3,,2026-01-26T02:00:00.000,2026-01-26T04:00:00.000,-104.0968,-1.0067,0,SL,2
AXS-USDT-SWAP,3,,2026-02-17T00:00:00.000,2026-02-17T14:00:00.000,-115.964,-1.0265,0,SL,14
AXS-USDT-SWAP,3,,2026-03-02T16:00:00.000,2026-03-02T17:00:00.000,-112.104,-1.0201,0,SL,1
AXS-USDT-SWAP,3,,2026-03-03T15:00:00.000,2026-03-03T16:00:00.000,190.9004,2.0,1,TP,1
AXS-USDT-SWAP,4,,2026-04-20T22:00:00.000,2026-04-20T23:00:00.000,-121.9126,-1.0364,0,SL,1
CHZ-USDT-SWAP,1,,2025-10-02T18:00:00.000,2025-10-02T22:00:00.000,-113.239,-1.022,0,SL,4
CHZ-USDT-SWAP,2,,2025-11-24T01:00:00.000,2025-11-24T02:00:00.000,183.9133,2.0,1,TP,1
CHZ-USDT-SWAP,3,,2025-12-31T16:00:00.000,2025-12-31T17:00:00.000,-107.7769,-1.0129,0,SL,1
CHZ-USDT-SWAP,3,,2026-01-14T17:00:00.000,2026-01-14T18:00:00.000,193.4001,2.0,1,TP,1
CHZ-USDT-SWAP,3,,2026-01-15T18:00:00.000,2026-01-15T20:00:00.000,-107.8404,-1.013,0,SL,2
CHZ-USDT-SWAP,3,,2026-02-17T14:00:00.000,2026-02-17T15:00:00.000,-122.4336,-1.0373,0,SL,1
CHZ-USDT-SWAP,4,E11,2026-04-15T16:00:00.000,2026-04-15T17:00:00.000,190.9998,2.0,1,TP,1
CHZ-USDT-SWAP,4,,2026-04-15T19:00:00.000,2026-04-16T00:00:00.000,193.6415,2.0,1,TP,5
CHZ-USDT-SWAP,4,,2026-04-16T18:00:00.000,2026-04-17T03:00:00.000,-108.8379,-1.0146,0,SL,9
CHZ-USDT-SWAP,4,,2026-04-22T21:00:00.000,2026-04-23T00:00:00.000,-110.1628,-1.0168,0,SL,3
