eid,removed,removed_label,n,wr,pf,b50,mc_p,mdd,dpf,dn
E05,BASELINE,—,274,0.4562,1.3433,1.337,0.9885,-0.1475,0.0,0
E05,ATR_MD,ATR<p40,810,0.4259,1.1935,1.191,0.9905,-0.3263,-0.1498,536
E05,PRG_VH,PrevRng>p80,4434,0.3124,0.6795,0.6799,0.0,-11.4089,-0.6638,4160
E05,RV_LO,RealVol<p33,826,0.3487,0.8898,0.8897,0.0465,-0.8456,-0.4535,552
E05,SLP_DN,Slope<0,364,0.3984,1.0555,1.0565,0.692,-0.2979,-0.2878,90
E06,BASELINE,—,176,0.375,0.9433,0.9413,0.349,-0.2851,0.0,0
E06,ATR_LO,ATR<p25,2749,0.3168,0.7495,0.7484,0.0,-4.0897,-0.1938,2573
E06,EARLY,Mon-Tue,1625,0.3145,0.6934,0.6936,0.0,-4.0789,-0.2499,1449
E06,PBP_HI,BodyPct>p60,395,0.3139,0.7166,0.7166,0.0015,-0.9179,-0.2267,219
E06,SLP_DN,Slope<0,231,0.342,0.8133,0.8125,0.0605,-0.4765,-0.13,55
E07,BASELINE,—,277,0.4477,1.3829,1.3832,0.9945,-0.0816,0.0,0
E07,ATR_HI,ATR>p67,320,0.425,1.2586,1.2569,0.973,-0.1264,-0.1242,43
E07,DST_FR,Dist>p75,2065,0.3584,0.9221,0.9202,0.0375,-1.0658,-0.4608,1788
E07,MIDWK,Wed-Thu,827,0.3966,1.1204,1.1217,0.9485,-0.2266,-0.2625,550
E07,US,US(14-21UTC),564,0.3652,0.9823,0.9777,0.405,-0.4197,-0.4006,287
E08,BASELINE,—,302,0.4603,1.4175,1.4156,0.999,-0.1253,0.0,0
E08,DST_MD,Dist>p60,2066,0.3466,0.8637,0.8621,0.0,-1.6564,-0.5539,1764
E08,MIDWK,Wed-Thu,1060,0.3708,0.9746,0.9733,0.3525,-0.4824,-0.4429,758
E08,PBP_HI,BodyPct>p60,578,0.4239,1.2291,1.2273,0.9915,-0.2063,-0.1884,276
E08,US,US(14-21UTC),688,0.359,0.9343,0.9363,0.1935,-0.6043,-0.4832,386
E09,BASELINE,—,350,0.4314,1.2879,1.2869,0.989,-0.1148,0.0,0
E09,ADX_ST,ADX>p67,592,0.3834,1.053,1.054,0.7235,-0.2621,-0.2349,242
E09,DST_FR,Dist>p75,1965,0.3598,0.9252,0.9252,0.056,-1.038,-0.3628,1615
E09,PBP_HI,BodyPct>p60,652,0.3972,1.1221,1.1246,0.921,-0.2153,-0.1658,302
E09,US,US(14-21UTC),903,0.3599,0.9548,0.9541,0.25,-0.5509,-0.3331,553
E10,BASELINE,—,340,0.4618,1.3777,1.3768,0.998,-0.1587,0.0,0
E10,ATR_MD,ATR<p40,820,0.4232,1.1759,1.1758,0.99,-0.2755,-0.2018,480
E10,DST_NR,Dist<p33,902,0.3747,0.9448,0.942,0.195,-0.6305,-0.4328,562
E10,PRG_HI,PrevRng>p67,1542,0.308,0.6762,0.6771,0.0,-4.068,-0.7015,1202
E10,RV_LO,RealVol<p33,913,0.3735,0.9913,0.9914,0.444,-0.6504,-0.3864,573
E11,BASELINE,—,277,0.4477,1.3789,1.3805,0.996,-0.0713,0.0,0
E11,ADX_TR,ADX>p50,320,0.425,1.2586,1.2569,0.973,-0.1264,-0.1202,43
E11,DST_FR,Dist>p75,1947,0.3636,0.9356,0.9367,0.076,-0.9721,-0.4433,1670
E11,MIDWK,Wed-Thu,819,0.3785,1.0326,1.0304,0.652,-0.3406,-0.3463,542
E11,US,US(14-21UTC),565,0.3628,0.9704,0.9679,0.362,-0.4168,-0.4085,288
E15,BASELINE,—,263,0.3878,1.0772,1.0798,0.7145,-0.2438,0.0,0
E15,ADX_ST,ADX>p67,363,0.3609,0.9605,0.9615,0.3605,-0.3243,-0.1167,100
E15,DST_FR,Dist>p75,1301,0.3113,0.7448,0.745,0.0,-2.0893,-0.3324,1038
E15,MIDWK,Wed-Thu,903,0.3599,0.9548,0.9541,0.25,-0.5509,-0.1224,640
E15,PBP_HI,BodyPct>p60,469,0.3817,1.0534,1.0539,0.7105,-0.2736,-0.0238,206
E16,BASELINE,—,351,0.4444,1.3454,1.3499,0.9975,-0.1367,0.0,0
E16,DST_MD,Dist>p60,2103,0.3367,0.8407,0.8408,0.0,-1.8762,-0.5047,1752
E16,MIDWK,Wed-Thu,1158,0.3782,1.0224,1.0223,0.632,-0.2788,-0.3229,807
E16,PBD_HI,PrevBody>p67,578,0.4239,1.2291,1.2273,0.9915,-0.2063,-0.1163,227
E16,US,US(14-21UTC),724,0.3619,0.9589,0.9623,0.3025,-0.5287,-0.3864,373
