pid,k,n,wr,pf,b50,mc_p,loo_s,loo_f,mdd,score,verdict
E08,1,302,0.4603,1.4175,1.42,0.998,1.3318,1.1815,-0.0878,7,PROMOTE
E08+E16,2,396,0.4545,1.3979,1.3956,1.0,1.3298,1.2259,-0.0878,7,PROMOTE
E08+E10,2,642,0.4611,1.3963,1.3962,1.0,1.3562,1.1956,-0.0878,7,PROMOTE
E08+E10+E16,3,736,0.4579,1.3885,1.3869,1.0,1.352,1.2192,-0.0878,7,PROMOTE
E07,1,277,0.4477,1.3829,1.3849,0.998,1.3123,1.0584,-0.0653,7,PROMOTE
E05+E08,2,576,0.4583,1.3816,1.3792,1.0,1.3287,1.1866,-0.0721,7,PROMOTE
E07+E10,2,617,0.4554,1.38,1.3777,0.999,1.3514,1.1638,-0.0779,7,PROMOTE
E11,1,277,0.4477,1.3789,1.382,0.9965,1.3084,1.0836,-0.0648,7,PROMOTE
E10+E11,2,617,0.4554,1.3782,1.377,1.0,1.3547,1.174,-0.1161,7,PROMOTE
E10,1,340,0.4618,1.3777,1.3762,0.999,1.317,1.0055,-0.1161,7,PROMOTE
E05+E08+E16,3,670,0.4552,1.3751,1.3765,1.0,1.3279,1.2134,-0.0721,7,PROMOTE
E05+E07,2,551,0.4519,1.3628,1.3678,1.0,1.3293,1.1515,-0.0678,7,PROMOTE
E10+E16,2,691,0.453,1.3612,1.3578,1.0,1.3353,1.1742,-0.1161,7,PROMOTE
E05+E11,2,551,0.4519,1.3609,1.3648,0.9995,1.3274,1.1626,-0.0678,7,PROMOTE
E08+E10+E11+E16,4,855,0.4503,1.3518,1.3497,1.0,1.3156,1.1917,-0.0878,7,PROMOTE
E05+E08+E10,3,758,0.4538,1.3491,1.3538,1.0,1.3136,1.1622,-0.0721,7,PROMOTE
E10+E11+E16,3,832,0.4495,1.348,1.3467,1.0,1.3181,1.1798,-0.1161,7,PROMOTE
E05+E08+E10+E16,4,852,0.4519,1.3476,1.346,1.0,1.3146,1.1862,-0.0721,7,PROMOTE
E07+E10+E11,3,643,0.4495,1.3468,1.3439,0.9995,1.3192,1.1415,-0.0779,7,PROMOTE
E08+E10+E11,3,803,0.4496,1.3459,1.346,1.0,1.3048,1.1756,-0.0878,7,PROMOTE
E16,1,351,0.4444,1.3454,1.3517,0.9985,1.2944,1.133,-0.0946,7,PROMOTE
E05+E16,2,625,0.4496,1.3444,1.3439,0.9995,1.3082,1.1643,-0.0786,7,PROMOTE
E07+E08+E10+E11+E16,5,868,0.4482,1.3402,1.3429,1.0,1.3044,1.1777,-0.1248,7,PROMOTE
E07+E08+E10+E16,4,855,0.448,1.3388,1.3396,1.0,1.3024,1.1733,-0.1248,7,PROMOTE
E05+E08+E11+E16,4,789,0.4474,1.3378,1.3377,1.0,1.2928,1.1851,-0.0721,7,PROMOTE
E07+E10+E16,3,829,0.4475,1.3368,1.3385,1.0,1.3066,1.1599,-0.0779,7,PROMOTE
E07+E10+E11+E16,4,845,0.4473,1.3361,1.3293,1.0,1.3065,1.1658,-0.0779,7,PROMOTE
E08+E11+E16,3,515,0.4427,1.3349,1.3306,1.0,1.2754,1.1605,-0.0878,7,PROMOTE
E05+E07+E10,3,733,0.4488,1.3341,1.3326,1.0,1.3086,1.1348,-0.0678,7,PROMOTE
E05+E11+E16,3,766,0.4465,1.3332,1.3287,1.0,1.2948,1.1722,-0.0678,7,PROMOTE
