rank,conditions,ues,pf_comb,pf_orig,pf_new,n,win_rate,boot_med,mc_prob,sym_floor,fold_floor,mdd,score,verdict,n_conds,categories
1,BBW_LO+RV_LO+DST_NR+PRG_HI,75.1,1.4236,1.5053,1.3164,504,0.4722,1.4198,1.0,1.3853,1.2423,-0.1885,6,WATCHLIST,4,prev+trend+vol
2,DST_NR+PRG_HI+PBP_LO+LON,74.0,1.3444,1.3193,1.3744,303,0.4389,1.3622,0.994,1.2917,1.1909,-0.0823,7,PROMOTE,4,prev+session+trend
3,BBW_LO+RV_LO+DST_NR+PRG_VH,73.2,1.389,1.522,1.2285,270,0.463,1.386,0.994,1.3406,1.1504,-0.1209,7,PROMOTE,4,prev+trend+vol
4,ATR_MD+PRG_HI+PBP_LO+US,72.9,1.3659,1.3511,1.3825,228,0.4518,1.3698,0.998,1.2734,1.1787,-0.1191,6,WATCHLIST,4,prev+session+vol
5,ATR_MD+DST_NR+PRG_HI+PBP_LO,71.0,1.463,1.854,1.1948,200,0.465,1.4644,0.992,1.398,0.8975,-0.1349,5,WATCHLIST,4,prev+trend+vol
6,ATR_MD+RV_LO+DST_NR+PRG_HI,69.2,1.3777,1.395,1.3568,340,0.4618,1.3724,0.996,1.317,1.0055,-0.1587,6,WATCHLIST,4,prev+trend+vol
7,ATR_VH+BBW_LO+SLP_DN+LON,68.8,1.3325,1.1228,1.6215,208,0.4519,1.3464,0.976,1.2718,1.2729,-0.1962,5,WATCHLIST,4,session+trend+vol
8,SLP_DN+PRG_HI+PBP_LO+LON,68.2,1.2806,1.2368,1.3268,442,0.4299,1.2711,0.99,1.2175,1.2255,-0.0745,7,PROMOTE,4,prev+session+trend
9,BBW_LO+RV_LO+PRG_VH+PBP_LO,62.4,1.297,1.5471,1.0444,202,0.4455,1.2745,0.96,1.2246,1.1314,-0.1553,5,WATCHLIST,4,prev+vol
10,RV_HI+ADX_WK+PBP_LO+US,62.1,1.2664,1.5192,1.0414,159,0.4214,1.2607,0.906,1.1922,1.1727,-0.0954,6,WATCHLIST,4,prev+session+trend+vol
11,RV_LO+SLP_DN+DST_NR+PRG_VH,60.0,1.2342,1.3118,1.1466,430,0.4326,1.2396,0.988,1.1944,1.118,-0.1595,6,WATCHLIST,4,prev+trend+vol
12,ATR_HI+DST_MD+ADX_WK+LON,59.7,1.2649,1.4032,1.0494,113,0.4336,1.271,0.884,1.0984,1.1979,-0.1022,6,WATCHLIST,4,session+trend+vol
13,SLP_DN+ADX_WK+PRG_VH+PBP_LO,58.9,1.2794,1.6809,0.9865,273,0.4286,1.28,0.978,1.2326,0.9641,-0.1582,5,WATCHLIST,4,prev+trend
14,RV_LO+SLP_DN+PRG_HI+PBP_LO,58.8,1.2096,1.2718,1.1566,440,0.4273,1.2225,0.976,1.1845,1.1532,-0.1723,6,WATCHLIST,4,prev+trend+vol
15,ATR_MD+SLP_DN+PRG_HI+PBP_LO,57.9,1.2734,1.4996,1.1194,304,0.4342,1.2727,0.992,1.2132,0.9452,-0.1805,5,WATCHLIST,4,prev+trend+vol
16,ATR_HI+BBW_LO+SLP_DN+LON,57.8,1.2448,1.0806,1.4633,513,0.4366,1.2523,0.994,1.2179,1.1853,-0.2911,6,WATCHLIST,4,session+trend+vol
17,BBW_LO+RV_LO+SLP_DN+PRG_HI,57.4,1.2413,1.2995,1.173,1158,0.4396,1.2471,1.0,1.22,1.1054,-0.2775,6,WATCHLIST,4,prev+trend+vol
18,ATR_VH+RV_HI+SLP_DN+ADX_WK,56.9,1.2297,1.3375,1.0642,204,0.4167,1.254,0.944,1.1819,1.0829,-0.1944,5,WATCHLIST,4,trend+vol
19,BBW_LO+RV_LO+SLP_DN+PRG_VH,55.8,1.228,1.3954,1.0339,521,0.4338,1.2193,0.99,1.1943,1.0371,-0.1962,6,WATCHLIST,4,prev+trend+vol
