pid,n_envs,pf,n,b50,mc_p,score,verdict,ues,sym_floor
BBW_LO+RV_LO+DST_NR+PRG_HI,1,1.4236184799007146,504,1.4198231107460355,1.0,6,WATCHLIST,75.1,1.3853250715158372
DST_NR+PRG_HI+PBP_LO+LON,1,1.3444078675675117,303,1.3622027070507556,0.994,7,PROMOTE,74.0,1.291726742088841
BBW_LO+RV_LO+DST_NR+PRG_VH,1,1.3890190140535414,270,1.3860289433059876,0.994,7,PROMOTE,73.2,1.3405954870729095
ATR_MD+PRG_HI+PBP_LO+US,1,1.3658890038311027,228,1.3698034352245267,0.998,6,WATCHLIST,72.9,1.2733653899902881
ATR_MD+DST_NR+PRG_HI+PBP_LO,1,1.4630357830681062,200,1.464418986074691,0.992,5,WATCHLIST,71.0,1.3980427620723466
ATR_MD+RV_LO+DST_NR+PRG_HI,1,1.3776751846321407,340,1.3723593335704556,0.996,6,WATCHLIST,69.2,1.316962918819122
ATR_VH+BBW_LO+SLP_DN+LON,1,1.3324558373873454,208,1.3464253071339543,0.976,5,WATCHLIST,68.8,1.2717908101375046
SLP_DN+PRG_HI+PBP_LO+LON,1,1.2806288542009883,442,1.2710645635176396,0.99,7,PROMOTE,68.2,1.2174682389508076
BBW_LO+RV_LO+DST_N+ATR_VH+BBW_LO+SLP_,2,1.4175345320110682,698,1.419782843950356,1.0,6,WATCHLIST,63.9,0.0
BBW_LO+RV_LO+DST_N+ATR_MD+PRG_HI+PBP_,2,1.4084604898681778,712,1.4147303965119025,1.0,6,WATCHLIST,62.9,0.0
BBW_LO+RV_LO+PRG_VH+PBP_LO,1,1.2969879947819296,202,1.2744977395525772,0.96,5,WATCHLIST,62.4,1.2245940394333268
RV_HI+ADX_WK+PBP_LO+US,1,1.2663635878229431,159,1.26071001463623,0.906,6,WATCHLIST,62.1,1.1921874965925194
BBW_LO+RV_LO+DST_N+ATR_HI+DST_MD+ADX_,2,1.3936396658462036,617,1.3967832548806145,1.0,6,WATCHLIST,61.9,0.0
BBW_LO+RV_LO+DST_N+ATR_VH+BBW_LO+SLP_,2,1.3950444841995169,468,1.396780828554659,1.0,6,WATCHLIST,61.5,0.0
BBW_LO+RV_LO+DST_N+BBW_LO+RV_LO+DST_N,2,1.3731315384456284,527,1.379058644067019,1.0,6,WATCHLIST,60.8,0.0
BBW_LO+RV_LO+DST_N+RV_HI+ADX_WK+PBP_L,2,1.3852422983960164,663,1.3835874560651789,1.0,6,WATCHLIST,60.6,0.0
ATR_MD+DST_NR+PRG_+ATR_VH+BBW_LO+SLP_,2,1.3947176980990819,408,1.397280574746092,0.998,6,WATCHLIST,60.4,0.0
ATR_MD+PRG_HI+PBP_+ATR_MD+RV_LO+DST_N,2,1.4171568953065077,526,1.4121716089130347,1.0,6,WATCHLIST,60.1,0.0
RV_LO+SLP_DN+DST_NR+PRG_VH,1,1.2342356058748136,430,1.2396498449157063,0.988,6,WATCHLIST,60.0,1.1943922925678965
ATR_HI+DST_MD+ADX_WK+LON,1,1.264864213012148,113,1.2710252730199127,0.884,6,WATCHLIST,59.7,1.098390594512958
