sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
BTC-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-20T16:00:00.000,-136.9426,-1.0615,0,SL
BTC-USDT-SWAP,F4,2026-06-01T03:00:00.000,2026-06-01T04:00:00.000,-140.0578,-1.0667,0,SL
BTC-USDT-SWAP,F4,2026-06-19T14:00:00.000,2026-06-20T14:00:00.000,181.2731,2.0,1,TP
ETH-USDT-SWAP,F1,2026-02-20T15:00:00.000,2026-02-20T18:00:00.000,186.7645,2.0,1,TP
ETH-USDT-SWAP,F2,2026-03-20T15:00:00.000,2026-03-21T23:00:00.000,-116.2069,-1.0269,0,SL
ETH-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,185.376,2.0,1,TP
ETH-USDT-SWAP,F4,2026-05-20T16:00:00.000,2026-05-20T22:00:00.000,-127.4352,-1.0456,0,SL
ETH-USDT-SWAP,F4,2026-05-29T16:00:00.000,2026-05-29T18:00:00.000,-122.2195,-1.0369,0,SL
ETH-USDT-SWAP,F4,2026-06-01T03:00:00.000,2026-06-01T04:00:00.000,-129.6346,-1.0493,0,SL
ETH-USDT-SWAP,F5,2026-06-29T00:00:00.000,2026-06-29T02:00:00.000,-120.4113,-1.0339,0,SL
ETH-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,188.1996,2.0,1,TP
SOL-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T22:00:00.000,188.6348,2.0,1,TP
SOL-USDT-SWAP,F2,2026-03-22T23:00:00.000,2026-03-23T00:00:00.000,-120.9298,-1.0348,0,SL
SOL-USDT-SWAP,F2,2026-03-23T08:00:00.000,2026-03-23T11:00:00.000,187.9884,2.0,1,TP
SOL-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,187.0507,2.0,1,TP
SOL-USDT-SWAP,F2,2026-04-05T14:00:00.000,2026-04-05T15:00:00.000,179.3753,2.0,1,TP
LINK-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T16:00:00.000,-117.4982,-1.0291,0,SL
LINK-USDT-SWAP,F2,2026-03-19T14:00:00.000,2026-03-19T15:00:00.000,-117.4729,-1.029,0,SL
LINK-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,185.6239,2.0,1,TP
LINK-USDT-SWAP,F4,2026-05-29T16:00:00.000,2026-05-29T18:00:00.000,-118.0757,-1.03,0,SL
LINK-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-118.7076,-1.0311,0,SL
LINK-USDT-SWAP,F5,2026-06-29T01:00:00.000,2026-06-29T02:00:00.000,-119.1633,-1.0318,0,SL
AVAX-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T17:00:00.000,185.8424,2.0,1,TP
AVAX-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,186.2362,2.0,1,TP
AVAX-USDT-SWAP,F4,2026-06-10T16:00:00.000,2026-06-10T17:00:00.000,-112.9404,-1.0215,0,SL
AVAX-USDT-SWAP,F4,2026-06-12T15:00:00.000,2026-06-12T16:00:00.000,-117.3729,-1.0289,0,SL
XRP-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.4726,2.0,1,TP
XRP-USDT-SWAP,F4,2026-05-20T16:00:00.000,2026-05-20T22:00:00.000,-123.5639,-1.0392,0,SL
XRP-USDT-SWAP,F5,2026-06-24T12:00:00.000,2026-06-24T13:00:00.000,-123.5442,-1.0391,0,SL
XRP-USDT-SWAP,F5,2026-06-29T13:00:00.000,2026-06-29T14:00:00.000,-118.6961,-1.0311,0,SL
LTC-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.6154,2.0,1,TP
LTC-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-20T22:00:00.000,-125.2512,-1.042,0,SL
LTC-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-121.9358,-1.0365,0,SL
BCH-USDT-SWAP,F2,2026-04-05T06:00:00.000,2026-04-05T11:00:00.000,-140.5069,-1.0674,0,SL
BCH-USDT-SWAP,F3,2026-05-13T15:00:00.000,2026-05-13T16:00:00.000,-130.2016,-1.0502,0,SL
BCH-USDT-SWAP,F4,2026-05-27T15:00:00.000,2026-05-27T18:00:00.000,-122.0891,-1.0367,0,SL
BCH-USDT-SWAP,F4,2026-05-31T13:00:00.000,2026-05-31T14:00:00.000,-123.287,-1.0387,0,SL
BCH-USDT-SWAP,F4,2026-06-20T16:00:00.000,2026-06-20T17:00:00.000,-118.6816,-1.031,0,SL
BCH-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-117.9689,-1.0299,0,SL
BCH-USDT-SWAP,F5,2026-06-29T01:00:00.000,2026-06-29T02:00:00.000,-115.937,-1.0265,0,SL
DOGE-USDT-SWAP,F1,2026-02-24T16:00:00.000,2026-02-25T01:00:00.000,189.603,2.0,1,TP
DOGE-USDT-SWAP,F2,2026-03-19T14:00:00.000,2026-03-19T15:00:00.000,-116.0972,-1.0267,0,SL
DOGE-USDT-SWAP,F4,2026-05-24T23:00:00.000,2026-05-25T15:00:00.000,185.1321,2.0,1,TP
DOGE-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T16:00:00.000,-116.9077,-1.0281,0,SL
DOGE-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-02T00:00:00.000,-118.0005,-1.0299,0,SL
ADA-USDT-SWAP,F2,2026-03-09T04:00:00.000,2026-03-09T13:00:00.000,190.1819,2.0,1,TP
ADA-USDT-SWAP,F4,2026-05-24T23:00:00.000,2026-05-25T07:00:00.000,183.9418,2.0,1,TP
ADA-USDT-SWAP,F4,2026-06-20T16:00:00.000,2026-06-20T17:00:00.000,-118.7292,-1.0311,0,SL
ADA-USDT-SWAP,F5,2026-06-29T01:00:00.000,2026-06-29T02:00:00.000,-115.5486,-1.0258,0,SL
ADA-USDT-SWAP,F5,2026-06-30T16:00:00.000,2026-07-01T01:00:00.000,-117.6213,-1.0293,0,SL
BNB-USDT-SWAP,F2,2026-03-20T16:00:00.000,2026-03-20T18:00:00.000,-128.17,-1.0469,0,SL
BNB-USDT-SWAP,F2,2026-03-23T02:00:00.000,2026-03-23T06:00:00.000,-129.2463,-1.0486,0,SL
BNB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,176.8333,2.0,1,TP
BNB-USDT-SWAP,F2,2026-03-30T02:00:00.000,2026-03-30T08:00:00.000,180.1667,2.0,1,TP
BNB-USDT-SWAP,F4,2026-05-29T16:00:00.000,2026-05-30T00:00:00.000,178.9722,2.0,1,TP
BNB-USDT-SWAP,F5,2026-06-28T21:00:00.000,2026-06-28T22:00:00.000,-129.9794,-1.0499,0,SL
BNB-USDT-SWAP,F5,2026-06-29T17:00:00.000,2026-06-30T08:00:00.000,-120.9863,-1.0349,0,SL
BNB-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T19:00:00.000,175.0976,2.0,1,TP
DOT-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,188.821,2.0,1,TP
DOT-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T16:00:00.000,-117.2681,-1.0287,0,SL
DOT-USDT-SWAP,F2,2026-03-25T15:00:00.000,2026-03-25T20:00:00.000,-115.9323,-1.0265,0,SL
DOT-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,187.1437,2.0,1,TP
DOT-USDT-SWAP,F2,2026-03-31T13:00:00.000,2026-03-31T14:00:00.000,188.6554,2.0,1,TP
DOT-USDT-SWAP,F3,2026-04-15T17:00:00.000,2026-04-16T04:00:00.000,189.3654,2.0,1,TP
DOT-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-117.9475,-1.0298,0,SL
DOT-USDT-SWAP,F5,2026-06-30T15:00:00.000,2026-07-01T01:00:00.000,-118.9331,-1.0315,0,SL
ARB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,187.9313,2.0,1,TP
ARB-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-20T16:00:00.000,-116.8923,-1.0281,0,SL
ARB-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-115.5864,-1.0259,0,SL
ARB-USDT-SWAP,F5,2026-06-27T13:00:00.000,2026-06-27T18:00:00.000,-114.8561,-1.0247,0,SL
ARB-USDT-SWAP,F5,2026-06-29T00:00:00.000,2026-06-29T03:00:00.000,189.3283,2.0,1,TP
ARB-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T16:00:00.000,-117.8195,-1.0296,0,SL
OP-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,190.167,2.0,1,TP
