symbol,fwd_trades,pf,win_rate,net_pnl,max_dd,expectancy_r,fwd_start,fwd_end,is_bars,fwd_bars,pass
ENA-USDT-SWAP,1,10.0,1.0,192.08,0.0,2.0,2026-05-28,2026-07-30,6068,1517,0
FIL-USDT-SWAP,4,10.0,1.0,757.43,0.0,2.0,2026-01-28,2026-07-30,17545,4387,1
GMX-USDT-SWAP,3,10.0,1.0,563.53,0.0,2.0,2026-03-06,2026-07-30,14035,3509,1
OP-USDT-SWAP,4,10.0,1.0,760.02,0.0,2.0,2026-01-28,2026-07-30,17545,4387,1
STX-USDT-SWAP,2,10.0,1.0,374.57,0.0,2.0,2026-03-06,2026-07-30,13883,3471,0
SOL-USDT-SWAP,5,6.1445,0.8,622.12,-0.0119,1.4,2026-01-28,2026-07-30,17546,4387,1
ETC-USDT-SWAP,3,3.1295,0.6667,250.5,-0.0113,1.0,2026-03-07,2026-07-30,13901,3476,1
IMX-USDT-SWAP,3,3.095,0.6667,255.53,-0.012,1.0,2026-03-06,2026-07-30,13867,3467,1
SUSHI-USDT-SWAP,5,2.4049,0.6,329.96,-0.0119,0.8,2026-03-07,2026-07-30,13901,3476,1
ATOM-USDT-SWAP,5,2.3314,0.6,316.11,-0.0118,0.8,2026-01-28,2026-07-30,17545,4387,1
AAVE-USDT-SWAP,7,2.1128,0.5714,397.87,-0.0223,0.7143,2026-03-07,2026-07-30,13905,3477,1
INJ-USDT-SWAP,2,1.6581,0.5,73.6,-0.011,0.5,2026-03-07,2026-07-30,13905,3477,0
AVAX-USDT-SWAP,4,1.6155,0.5,141.77,-0.0222,0.5,2026-01-28,2026-07-30,17546,4387,1
DOT-USDT-SWAP,8,1.6039,0.5,283.9,-0.0229,0.5,2026-01-28,2026-07-30,17545,4387,1
XLM-USDT-SWAP,2,1.5588,0.5,67.78,-0.0121,0.5,2026-03-07,2026-07-30,13905,3477,0
SAND-USDT-SWAP,2,1.5256,0.5,63.87,-0.0119,0.5,2026-03-07,2026-07-30,13876,3470,0
BNB-USDT-SWAP,8,1.3987,0.5,202.69,-0.0257,0.5,2026-01-28,2026-07-30,17545,4387,1
PEPE-USDT-SWAP,5,1.1215,0.4,41.44,-0.0341,0.2,2026-01-28,2026-07-30,17545,4387,1
APT-USDT-SWAP,5,1.1107,0.4,37.94,-0.0224,0.2,2026-01-28,2026-07-30,17546,4387,1
DOGE-USDT-SWAP,5,1.0676,0.4,23.73,-0.0229,0.2,2026-01-28,2026-07-30,17546,4387,1
ADA-USDT-SWAP,5,1.0632,0.4,22.22,-0.0339,0.2,2026-01-28,2026-07-30,17545,4387,1
