env,sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
E2,BTC-USDT-SWAP,F1,2026-02-08T12:00:00.000,2026-02-08T16:00:00.000,-117.3636,-1.0288,0,SL
E2,BTC-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,186.3638,2.0,1,TP
E2,BTC-USDT-SWAP,F1,2026-02-24T15:00:00.000,2026-02-24T19:00:00.000,186.8896,2.0,1,TP
E2,BTC-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T11:00:00.000,-111.9914,-1.0199,0,SL
E2,BTC-USDT-SWAP,F4,2026-06-11T14:00:00.000,2026-06-11T15:00:00.000,-123.8018,-1.0396,0,SL
E2,BTC-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T17:00:00.000,-114.3092,-1.0238,0,SL
E2,ETH-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-116.9101,-1.0281,0,SL
E2,ETH-USDT-SWAP,F1,2026-02-24T15:00:00.000,2026-02-25T01:00:00.000,189.4565,2.0,1,TP
E2,ETH-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-29T17:00:00.000,192.0499,2.0,1,TP
E2,SOL-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,190.1346,2.0,1,TP
E2,SOL-USDT-SWAP,F2,2026-04-02T15:00:00.000,2026-04-04T15:00:00.000,190.6631,2.0,1,TP
E2,SOL-USDT-SWAP,F4,2026-06-10T13:00:00.000,2026-06-10T15:00:00.000,189.9994,2.0,1,TP
E2,LINK-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T22:00:00.000,-112.3718,-1.0205,0,SL
E2,AVAX-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T11:00:00.000,-107.6182,-1.0126,0,SL
E2,XRP-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T14:00:00.000,191.0207,2.0,1,TP
E2,XRP-USDT-SWAP,F5,2026-06-29T13:00:00.000,2026-06-29T14:00:00.000,-118.6961,-1.0311,0,SL
E2,LTC-USDT-SWAP,F1,2026-02-24T15:00:00.000,2026-02-25T01:00:00.000,189.1398,2.0,1,TP
E2,BCH-USDT-SWAP,F1,2026-01-30T15:00:00.000,2026-01-30T18:00:00.000,-116.1,-1.0267,0,SL
E2,BCH-USDT-SWAP,F1,2026-02-02T11:00:00.000,2026-02-03T18:00:00.000,-108.9205,-1.0148,0,SL
E2,BCH-USDT-SWAP,F1,2026-02-05T08:00:00.000,2026-02-05T10:00:00.000,-112.0104,-1.0199,0,SL
E2,BCH-USDT-SWAP,F1,2026-03-02T15:00:00.000,2026-03-03T08:00:00.000,-113.2068,-1.0219,0,SL
E2,BCH-USDT-SWAP,F4,2026-05-18T13:00:00.000,2026-05-18T14:00:00.000,-108.8175,-1.0146,0,SL
E2,DOGE-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T05:00:00.000,-112.1457,-1.0201,0,SL
E2,ADA-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T06:00:00.000,-110.4804,-1.0174,0,SL
E2,BNB-USDT-SWAP,F1,2026-02-05T15:00:00.000,2026-02-05T16:00:00.000,-110.9026,-1.0181,0,SL
E2,BNB-USDT-SWAP,F1,2026-02-09T15:00:00.000,2026-02-09T17:00:00.000,189.2849,2.0,1,TP
E2,BNB-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,187.6451,2.0,1,TP
E2,BNB-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-121.6139,-1.0359,0,SL
E2,BNB-USDT-SWAP,F1,2026-02-28T11:00:00.000,2026-02-28T17:00:00.000,187.4897,2.0,1,TP
E2,BNB-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T13:00:00.000,-110.8291,-1.018,0,SL
E2,DOT-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T17:00:00.000,-110.6102,-1.0176,0,SL
E2,ARB-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,190.5662,2.0,1,TP
E2,ARB-USDT-SWAP,F4,2026-06-05T15:00:00.000,2026-06-05T16:00:00.000,-106.1831,-1.0102,0,SL
E2,ARB-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T04:00:00.000,193.1784,2.0,1,TP
E2,ARB-USDT-SWAP,F5,2026-06-27T13:00:00.000,2026-06-27T18:00:00.000,-114.8561,-1.0247,0,SL
E2,NEAR-USDT-SWAP,F1,2026-02-05T13:00:00.000,2026-02-05T15:00:00.000,-108.7562,-1.0145,0,SL
E2,NEAR-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T15:00:00.000,194.2068,2.0,1,TP
E2,ATOM-USDT-SWAP,F1,2026-02-03T11:00:00.000,2026-02-03T14:00:00.000,-114.5044,-1.0241,0,SL
E2,ATOM-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-117.7351,-1.0295,0,SL
E2,ATOM-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-01T16:00:00.000,187.5563,2.0,1,TP
E2,SUI-USDT-SWAP,F1,2026-02-24T15:00:00.000,2026-02-25T01:00:00.000,190.9911,2.0,1,TP
E2,APT-USDT-SWAP,F1,2026-02-17T14:00:00.000,2026-02-17T15:00:00.000,-113.1561,-1.0218,0,SL
E2,APT-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T19:00:00.000,-109.0314,-1.015,0,SL
E2,APT-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-30T00:00:00.000,-111.914,-1.0198,0,SL
E2,PEPE-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T22:00:00.000,-110.0229,-1.0166,0,SL
E2,ENA-USDT-SWAP,F1,2026-06-01T15:00:00.000,2026-06-01T17:00:00.000,192.5806,2.0,1,TP
E2,UNI-USDT-SWAP,F1,2026-02-01T15:00:00.000,2026-02-01T16:00:00.000,-110.1096,-1.0168,0,SL
E2,UNI-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T12:00:00.000,-107.3697,-1.0122,0,SL
E2,FIL-USDT-SWAP,F1,2026-02-05T15:00:00.000,2026-02-05T16:00:00.000,-108.3177,-1.0138,0,SL
E2,FIL-USDT-SWAP,F4,2026-05-29T15:00:00.000,2026-05-30T01:00:00.000,193.617,2.0,1,TP
E2,FIL-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-28T13:00:00.000,-108.6927,-1.0144,0,SL
E2,FIL-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,191.5171,2.0,1,TP
E2,1INCH-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-27T16:00:00.000,189.9037,2.0,1,TP
E2,AAVE-USDT-SWAP,F4,2026-06-07T08:00:00.000,2026-06-07T12:00:00.000,-110.6469,-1.0176,0,SL
E2,AXS-USDT-SWAP,F4,2026-06-11T14:00:00.000,2026-06-11T17:00:00.000,188.8257,2.0,1,TP
E2,CHZ-USDT-SWAP,F3,2026-05-27T12:00:00.000,2026-05-27T13:00:00.000,-113.2189,-1.0219,0,SL
E2,CHZ-USDT-SWAP,F4,2026-06-08T13:00:00.000,2026-06-08T16:00:00.000,192.1533,2.0,1,TP
E2,CHZ-USDT-SWAP,F4,2026-06-11T11:00:00.000,2026-06-11T12:00:00.000,-108.1878,-1.0135,0,SL
E2,CHZ-USDT-SWAP,F4,2026-06-24T13:00:00.000,2026-06-24T14:00:00.000,-113.2934,-1.0221,0,SL
E2,CHZ-USDT-SWAP,F5,2026-07-08T12:00:00.000,2026-07-08T14:00:00.000,-112.7036,-1.0211,0,SL
E2,COMP-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T14:00:00.000,-109.7767,-1.0162,0,SL
E2,COMP-USDT-SWAP,F4,2026-06-23T10:00:00.000,2026-06-23T18:00:00.000,-120.0224,-1.0333,0,SL
E2,CRV-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-28T17:00:00.000,-110.0013,-1.0166,0,SL
E2,EGLD-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-27T01:00:00.000,191.811,2.0,1,TP
E2,ETC-USDT-SWAP,F4,2026-06-05T08:00:00.000,2026-06-05T12:00:00.000,-108.6559,-1.0143,0,SL
E2,GMX-USDT-SWAP,F1,2026-03-08T15:00:00.000,2026-03-08T18:00:00.000,-111.4288,-1.0189,0,SL
E2,GMX-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-26T22:00:00.000,192.4224,2.0,1,TP
E2,LDO-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-26T17:00:00.000,193.2395,2.0,1,TP
E2,SAND-USDT-SWAP,F3,2026-05-16T09:00:00.000,2026-05-16T10:00:00.000,-120.0357,-1.0333,0,SL
E2,SHIB-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-27T16:00:00.000,191.8336,2.0,1,TP
E2,SUSHI-USDT-SWAP,F4,2026-06-30T14:00:00.000,2026-06-30T15:00:00.000,189.1265,2.0,1,TP
E3,ETH-USDT-SWAP,F1,2026-02-20T15:00:00.000,2026-02-20T18:00:00.000,186.7645,2.0,1,TP
