rank,conditions,ues,pf,n,win_rate,boot_med,mc_prob,sym_floor,fold_floor,mdd,trade_overlap,pnl_corr,score,verdict,tc_class,n_conds
1,ADX_WK+DST_MD+RV_HI,64.7,1.3588,75,0.44,1.3564,0.896,1.2214,1.1417,-0.1,0.0,0.0,6,WATCHLIST,MOMENTUM_BREAKOUT,3
2,ADX_WK+DST_MD+RV_HI+SLP_UP,64.7,1.3485,73,0.4384,1.3555,0.911,1.2075,1.1692,-0.1017,0.0,0.0,6,WATCHLIST,MOMENTUM_BREAKOUT,4
3,ATR_LO+DST_MD+PRG_LO+RV_LO,57.5,1.2801,49,0.4694,1.3086,0.802,1.1537,1.1347,-0.083,0.0,0.0,6,WATCHLIST,MIXED,4
4,ADX_WK+DST_MD+LON+SLP_UP,55.4,1.2467,93,0.4409,1.2591,0.868,1.147,1.1402,-0.1284,0.0,0.0,6,WATCHLIST,MOMENTUM_BREAKOUT,4
5,ATR_LO+DST_MD+PRG_LO,52.6,1.2485,54,0.463,1.2765,0.787,1.1343,1.061,-0.1068,0.0,0.0,6,WATCHLIST,MIXED,3
6,ATR_LO+DST_MD+PRG_LO+SLP_UP,52.6,1.2485,54,0.463,1.2765,0.787,1.1343,1.061,-0.1068,0.0,0.0,6,WATCHLIST,MIXED,4
7,ADX_WK+DST_MD+LON,52.2,1.2254,94,0.4362,1.2498,0.829,1.1271,1.106,-0.1375,0.0,0.0,6,WATCHLIST,MOMENTUM_BREAKOUT,3
8,ATR_LO+DST_MD+LON,46.5,1.2292,38,0.4474,1.2309,0.74,1.1318,0.8869,-0.0952,0.0,0.0,5,WATCHLIST,MIXED,3
9,ATR_LO+DST_MD+LON+SLP_UP,46.5,1.2292,38,0.4474,1.2309,0.74,1.1318,0.8869,-0.0952,0.0,0.0,5,WATCHLIST,MIXED,4
10,ATR_MD+DST_MD+LON+RV_LO,40.3,1.1866,49,0.449,1.1423,0.698,1.0756,0.8963,-0.1015,0.0,0.0,3,REJECT,MIXED,4
11,ATR_LO+BBW_LO+DST_MD+RV_LO,39.7,1.1483,59,0.4407,1.143,0.719,1.0112,0.9602,-0.0878,0.0,0.0,3,REJECT,MIXED,4
12,BBW_LO+DST_MD+LON+RV_LO,36.4,1.1061,78,0.4359,1.1108,0.672,1.027,1.0075,-0.1484,0.0,0.0,4,REJECT,MIXED,4
13,ATR_MD+BBW_LO+DST_MD+PRG_LO,36.2,1.1023,62,0.4355,1.1008,0.652,1.0174,0.9866,-0.1034,0.0,0.0,3,REJECT,MIXED,4
14,ATR_MD+DST_MD+PRG_LO+RV_LO,34.5,1.0974,74,0.4324,1.0757,0.627,1.0269,0.9882,-0.1281,0.0,0.0,2,REJECT,MIXED,4
15,ATR_LO+BBW_LO+DST_MD,33.4,1.0887,61,0.4262,1.0913,0.623,0.9841,0.932,-0.0895,0.0,0.0,1,REJECT,MIXED,3
16,ATR_LO+BBW_LO+DST_MD+SLP_UP,33.4,1.0887,61,0.4262,1.0913,0.623,0.9841,0.932,-0.0895,0.0,0.0,1,REJECT,MIXED,4
17,ATR_LO+DST_MD+RV_LO,30.8,1.0809,71,0.4225,1.0805,0.636,0.9702,0.886,-0.1216,0.0,0.0,1,REJECT,MIXED,3
18,ATR_LO+DST_MD+RV_LO+SLP_UP,30.8,1.0809,71,0.4225,1.0805,0.636,0.9702,0.886,-0.1216,0.0,0.0,1,REJECT,MIXED,4
19,DST_MD+PRG_VH+RV_HI+US,28.1,1.0372,213,0.3709,1.0357,0.596,0.9329,0.9959,-0.1904,0.0,-0.5461,2,REJECT,MOMENTUM_BREAKOUT,4
20,DST_MD+LON+PBD_HI+RV_HI,27.9,1.0469,171,0.3743,1.0455,0.598,0.9909,0.911,-0.2009,0.0,0.0,0,REJECT,MOMENTUM_BREAKOUT,4
21,ADX_WK+ATR_HI+DST_MD+PRG_HI,25.9,1.0406,67,0.3881,1.0398,0.535,0.9171,0.95,-0.1309,0.0,0.0,1,REJECT,MOMENTUM_BREAKOUT,4
22,ADX_WK+ATR_HI+DST_MD,22.9,1.0103,102,0.3824,1.0023,0.527,0.93,0.8213,-0.1059,0.0,0.0,1,REJECT,MOMENTUM_BREAKOUT,3
