param,value,pf,n
BBW_STRICT,0.15,1.924,55
BBW_STRICT,0.2,1.8022,68
BBW_STRICT,0.25,1.6398,79
BBW_STRICT,0.3,1.3597,89
BBW_STRICT,0.35,1.4098,98
RV_LO,0.2,2.9754,43
RV_LO,0.27,1.8909,61
RV_LO,0.33,1.6398,79
RV_LO,0.4,1.4895,89
RV_LO,0.47,1.4279,91
DST_NR,0.2,2.0055,25
DST_NR,0.27,1.8474,54
DST_NR,0.33,1.6398,79
DST_NR,0.4,1.6502,110
DST_NR,0.47,1.5381,126
PRG_VH,0.7,1.1179,130
PRG_VH,0.75,1.1787,103
PRG_VH,0.8,1.6398,79
PRG_VH,0.85,1.6509,59
PRG_VH,0.9,2.4614,43
RR,1.5,1.6332,79
RR,1.75,1.4938,79
RR,2.0,1.6398,79
RR,2.25,1.7639,79
RR,2.5,1.824,78
