instId,tier,age_months,vol_24h_usd,oi_usd,last_price,state,vol_24h_usd_M
SATS-USDT-SWAP,1,31.4,58840180000000.0,0.0,9.055e-09,live,58840180.0
PEPE-USDT-SWAP,1,38.9,24221020000000.0,0.0,2.755e-06,live,24221020.0
SHIB-USDT-SWAP,1,62.7,9698908200000.0,0.0,4.624e-06,live,9698908.2
BONK-USDT-SWAP,1,30.7,2543587600000.0,0.0,2.923e-06,live,2543587.6
FLOKI-USDT-SWAP,1,41.3,49236500000.0,0.0,2.023e-05,live,49236.5
BOME-USDT-SWAP,1,23.5,18729040000.0,0.0,0.0006116,live,18729.04
NEIRO-USDT-SWAP,1,21.9,12293108000.0,0.0,5.819e-05,live,12293.11
HMSTR-USDT-SWAP,1,22.1,6729599600.0,0.0,0.0001659,live,6729.6
DOGE-USDT-SWAP,1,75.3,2699098630.0,0.0,0.07014,live,2699.1
ACH-USDT-SWAP,1,29.2,2375913900.0,0.0,0.004697,live,2375.91
ZIL-USDT-SWAP,1,70.6,2073985400.0,0.0,0.002668,live,2073.99
NOT-USDT-SWAP,1,26.4,1976214000.0,0.0,0.0003327,live,1976.21
PENGU-USDT-SWAP,1,19.4,1688252200.0,0.0,0.005834,live,1688.25
PEOPLE-USDT-SWAP,1,55.9,1303264800.0,0.0,0.006877,live,1303.26
TURBO-USDT-SWAP,1,31.5,1275200000.0,0.0,0.0007568,live,1275.2
GALA-USDT-SWAP,1,58.2,1180114460.0,0.0,0.001778,live,1180.11
MEME-USDT-SWAP,1,32.9,994741100.0,0.0,0.0005075,live,994.74
MEW-USDT-SWAP,1,27.5,866247000.0,0.0,0.000329,live,866.25
IOST-USDT-SWAP,1,75.3,401095000.0,0.0,0.0005996,live,401.1
RSR-USDT-SWAP,1,70.6,348125600.0,0.0,0.001249,live,348.13
CHZ-USDT-SWAP,1,64.6,283878330.0,0.0,0.01301,live,283.88
ADA-USDT-SWAP,1,77.0,278991040.0,0.0,0.1655,live,278.99
WLD-USDT-SWAP,1,36.2,170460389.0,0.0,0.3052,live,170.46
XRP-USDT-SWAP,1,80.6,154913486.0,0.0,1.0823,live,154.91
ONDO-USDT-SWAP,1,23.8,143656940.0,0.0,0.4243,live,143.66
ONE-USDT-SWAP,1,29.3,141676000.0,0.0,0.00117,live,141.68
ATH-USDT-SWAP,1,25.5,139263000.0,0.0,0.003843,live,139.26
MOVE-USDT-SWAP,1,19.6,137584640.0,0.0,0.007821,live,137.58
ACT-USDT-SWAP,1,20.5,133390916.0,0.0,0.008346,live,133.39
FLOW-USDT-SWAP,2,32.7,132978230.0,0.0,0.02709,live,132.98
CORE-USDT-SWAP,2,41.7,125897441.0,0.0,0.01781,live,125.9
BLUR-USDT-SWAP,2,41.4,116089130.0,0.0,0.01441,live,116.09
ZK-USDT-SWAP,2,25.4,114509070.0,0.0,0.007875,live,114.51
STRK-USDT-SWAP,2,29.3,112544133.0,0.0,0.02525,live,112.54
OP-USDT-SWAP,2,49.9,110949011.0,0.0,0.08768,live,110.95
W-USDT-SWAP,2,27.9,101308036.0,0.0,0.008327,live,101.31
YGG-USDT-SWAP,2,59.8,96305710.0,0.0,0.01766,live,96.31
ANIME-USDT-SWAP,2,18.2,91117270.0,0.0,0.002438,live,91.12
BIO-USDT-SWAP,2,18.8,86199359.0,0.0,0.02312,live,86.2
ARB-USDT-SWAP,2,40.2,81257933.0,0.0,0.07794,live,81.26
RVN-USDT-SWAP,2,63.2,71349550.0,0.0,0.003576,live,71.35
SUI-USDT-SWAP,2,38.8,59650552.0,0.0,0.6937,live,59.65
FIL-USDT-SWAP,2,83.6,55127792.3,0.0,0.6936,live,55.13
XLM-USDT-SWAP,2,75.3,53722270.0,0.0,0.17281,live,53.72
HBAR-USDT-SWAP,2,35.5,53215120.0,0.0,0.0682,live,53.22
LUNA-USDT-SWAP,2,50.1,53018420.0,0.0,0.04186,live,53.02
BICO-USDT-SWAP,2,55.7,52613437.0,0.0,0.01157,live,52.61
