sym,fold,entry_ts,pnl,win,session,dow,rel_vol
ALGO-USDT-SWAP,F2,2026-04-05T14:00:00.000,193.79,1,US,6,1.2470374616217523
ARB-USDT-SWAP,F1,2026-03-02T15:00:00.000,-109.6504,0,US,0,3.3390924681213714
ARB-USDT-SWAP,F5,2026-07-11T14:00:00.000,192.7411,1,US,5,4.605236981628126
AXS-USDT-SWAP,F2,2026-04-27T14:00:00.000,195.0899,1,US,0,2.153899566868686
BCH-USDT-SWAP,F5,2026-07-01T14:00:00.000,191.6411,1,US,2,3.923837942768882
BNB-USDT-SWAP,F1,2026-03-02T15:00:00.000,187.4339,1,US,0,4.240485683687726
BNB-USDT-SWAP,F1,2026-03-04T09:00:00.000,187.0698,1,London,2,2.9612775463035246
BTC-USDT-SWAP,F1,2026-03-04T08:00:00.000,189.1255,1,London,2,2.6809300540291314
BTC-USDT-SWAP,F3,2026-04-17T09:00:00.000,-129.0649,0,London,4,3.2821502833859117
CHZ-USDT-SWAP,F3,2026-05-08T08:00:00.000,-111.3515,0,London,4,3.08717258600002
CHZ-USDT-SWAP,F3,2026-05-18T14:00:00.000,-108.719,0,US,0,1.6753170940091007
CHZ-USDT-SWAP,F4,2026-06-11T15:00:00.000,-106.3537,0,US,3,2.574158827674626
DYDX-USDT-SWAP,F2,2026-04-20T15:00:00.000,-106.3541,0,US,0,0.8659431412284688
DYDX-USDT-SWAP,F4,2026-06-22T11:00:00.000,193.8993,1,London,0,2.38428201308767
DYDX-USDT-SWAP,F4,2026-06-26T09:00:00.000,-106.6087,0,London,4,1.098595667944863
DYDX-USDT-SWAP,F4,2026-06-26T11:00:00.000,195.8309,1,London,4,1.1577262427687127
DYDX-USDT-SWAP,F4,2026-06-30T14:00:00.000,194.2514,1,US,1,1.9884270394489332
ETH-USDT-SWAP,F1,2026-03-04T09:00:00.000,191.513,1,London,2,2.228418313610877
ETH-USDT-SWAP,F3,2026-04-17T14:00:00.000,-117.8512,0,US,4,2.6017385342123562
ETH-USDT-SWAP,F5,2026-07-14T13:00:00.000,186.4655,1,London,1,3.5373004842509315
GRT-USDT-SWAP,F3,2026-05-11T10:00:00.000,190.9652,1,London,0,1.456772943453814
INJ-USDT-SWAP,F3,2026-05-25T11:00:00.000,193.272,1,London,0,2.278972883604061
NEAR-USDT-SWAP,F1,2026-03-05T09:00:00.000,-108.7575,0,London,3,0.8237970905488123
OP-USDT-SWAP,F4,2026-06-03T11:00:00.000,-106.7959,0,London,2,2.106540626262023
SUSHI-USDT-SWAP,F3,2026-05-08T10:00:00.000,-114.5253,0,London,4,4.593052497001938
