rank,conditions,n_conds,composite,pf,ues,n,wr,mdd,net,boot_p50,boot_p5,mc_prob,p_value,sym_floor,fold_floor,indep_e31,trade_ovlp,pnl_corr,diversity,family,verdict,score,e31_proximity
1,RV_HI+DST_MD+ADX_WK+LON,4,89.4,2.188432408218968,94.8,25,0.56,-0.05,1457.06,2.2,1.149,0.9695,0.996,1.883,1.7228,93.6,0.0,0.0,74.7,Trend Expansion,WATCHLIST,6,0
2,RV_HI+DST_FR+ADX_WK+LON,4,88.3,2.2402520613901857,94.8,16,0.5625,-0.0201,961.12,2.2391,1.0309,0.959,0.758,1.9885,1.7536,93.9,0.0,0.0,69.9,Trend Expansion,WATCHLIST,6,0
3,ATR_VH+RV_HI+PRG_LO+LON,4,88.3,1.9735519231925713,94.1,24,0.5417,-0.0358,1215.79,1.9778,0.9991,0.947,0.284,1.8204,1.6675,92.9,0.0,0.0,72.7,Pullback Continuation,WATCHLIST,6,0
4,ATR_MD+RV_LO+DST_FR+LON,4,87.8,1.9772051691247936,92.2,16,0.5625,-0.0419,824.39,1.9931,0.8963,0.892,0.268,1.752,1.5056,93.3,0.0,0.0,73.1,Quiet Trend Continuation,WATCHLIST,6,1
5,EMA50_NR+PRG_HI+PBP_LO+LON,4,86.4,1.6165760141127679,85.9,45,0.4889,-0.0683,1583.16,1.6215,0.947,0.9495,0.98,1.3229,1.3188,91.6,0.0,0.0,79.8,Session-Anchored Structure,PROMOTE,7,0
6,ATR_MD+DST_FR+ADX_TR+LON,4,85.2,1.718352299145649,86.1,17,0.5294,-0.0242,696.62,1.7188,0.669,0.879,0.51,1.5171,1.4705,93.3,0.0,0.0,72.5,Quiet Trend Continuation,WATCHLIST,6,0
7,ATR_MD+BBP_HI+DST_FR+LON,4,81.7,1.471944695571115,75.9,27,0.4815,-0.0399,782.11,1.4743,0.7955,0.851,0.94,1.3418,1.1442,92.7,0.0,0.0,75.7,Quiet Trend Continuation,WATCHLIST,6,0
8,RV_HI+DST_NR+PBD_HI+ASI,4,78.4,1.3429267574406134,64.9,122,0.4344,-0.0548,2609.33,1.3448,1.0129,0.9515,0.184,1.2596,0.6634,89.5,0.0,0.0,84.6,Volatility Expansion Momentum,WATCHLIST,6,1
9,BBW_HI+ADX_WK+PRG_VH+LON,4,78.3,1.4311690031138522,66.0,31,0.4516,-0.0397,808.29,1.4305,0.7231,0.8075,0.906,1.1272,1.0526,92.9,0.0,0.0,77.7,Volatility Expansion Momentum,PROMOTE,7,1
10,ATR_MD+RVOL_HI+DST_FR+LON,4,76.8,1.3203282444914035,61.9,33,0.4545,-0.0442,679.63,1.3286,0.705,0.813,0.094,1.229,0.9798,92.8,0.0,0.0,78.1,Quiet Trend Continuation,WATCHLIST,6,0
11,ATR_MD+SLP_UP+DST_FR+LON,4,76.7,1.3203282444914035,61.9,33,0.4545,-0.0442,679.63,1.3286,0.705,0.813,0.094,1.229,0.9798,92.8,0.0,0.0,77.9,Quiet Trend Continuation,WATCHLIST,6,0
12,ATR_MD+DST_FR+LON,3,76.6,1.3203282444914035,61.9,33,0.4545,-0.0442,679.63,1.3286,0.705,0.813,0.094,1.229,0.9798,92.8,0.0,0.0,77.4,Quiet Trend Continuation,WATCHLIST,6,0
13,RV_HI+DST_MD+PRG_LO+LON,4,76.4,1.4451101237526194,65.6,17,0.4706,-0.029,468.4,1.444,0.6672,0.76,0.912,1.1775,1.01,93.5,0.0,0.0,69.9,Trend Expansion,WATCHLIST,5,0
14,RV_HI+DST_NR+ADX_ST+ASI,4,75.9,1.307813306484593,59.4,110,0.4273,-0.0866,2131.64,1.3096,0.9512,0.9195,0.172,1.196,0.5467,89.5,0.0,0.0,83.3,Trend Expansion,WATCHLIST,6,1
15,DST_NR+ADX_ST+PBD_HI+ASI,4,73.9,1.234468052036488,53.7,161,0.4224,-0.0937,2458.6,1.2338,0.949,0.9065,0.696,1.1607,0.781,89.0,0.0124,0.0,85.0,Momentum Burst,REJECT,5,1
16,ATR_LO+DST_MD+CLH_HI+LON,4,73.8,1.3178646756153398,55.9,23,0.4783,-0.0423,486.37,1.3245,0.6297,0.73,0.388,1.1696,0.9018,93.0,0.0,0.0,75.4,Compression Breakout,REJECT,4,0
17,RV_HI+DST_NR+PBP_HI+ASI,4,73.0,1.2208687469395616,51.0,114,0.4123,-0.0815,1636.88,1.2206,0.8723,0.852,0.364,1.1164,0.6277,89.4,0.0,0.0,85.1,Volatility Expansion Momentum,REJECT,5,1
18,BBW_HI+SLP_UP+ADX_WK+LON,4,72.3,1.2404096428098503,51.6,31,0.4194,-0.0502,483.11,1.2392,0.6938,0.703,0.694,1.0488,1.1,93.0,0.0,0.0,76.5,Trend Expansion,REJECT,5,0
19,RV_HI+DST_NR+ADX_TR+ASI,4,71.7,1.1856778951343376,48.0,131,0.4046,-0.0956,1597.75,1.1869,0.882,0.833,0.638,1.11,0.5517,89.3,0.0,0.0,84.9,Trend Expansion,REJECT,4,1
20,RV_HI+DST_NR+PRG_HI+ASI,4,71.2,1.1778243345915422,47.0,127,0.4016,-0.0839,1484.53,1.1728,0.8643,0.81,0.384,1.0997,0.5691,89.4,0.0,0.0,84.3,Volatility Expansion Momentum,REJECT,4,1
21,ATR_MD+DST_NR+ADX_ST+ASI,4,71.1,1.1837061447805433,50.2,72,0.4306,-0.0939,897.01,1.1896,0.7784,0.7395,0.468,1.0686,1.0603,89.3,0.0139,0.0,79.1,Quiet Trend Continuation,REJECT,4,1
22,ATR_LO+SLP_DN+ADX_ST+ASI,4,70.9,1.2020765478866744,48.7,71,0.4366,-0.1758,974.18,1.199,0.796,0.779,0.836,1.0728,1.0399,89.3,0.0141,0.0,80.8,Quiet Trend Continuation,REJECT,4,0
23,DST_NR+ADX_ST+PRG_HI+ASI,4,70.7,1.1649432300169242,46.1,146,0.4041,-0.0973,1603.08,1.1698,0.8857,0.828,0.664,1.0853,0.6636,88.7,0.0137,0.0,84.9,Session-Anchored Structure,REJECT,4,1
24,RV_HI+DST_FR+CLH_HI+LON,4,70.4,1.1052689863357754,41.6,132,0.3864,-0.1265,936.14,1.1076,0.8201,0.7155,0.114,1.0538,0.9494,89.8,0.0,0.0,89.4,Volatility Expansion Momentum,REJECT,3,0
