conditions,oracle_pf,oracle_n,e31_prox
ATR_LO+SLP_DN+ADX_ST+ASI,32.0,8,0
ATR_LO+DST_NR+ADX_ST+ASI,32.0,8,1
ATR_LO+ADX_ST+CLH_HI+ASI,20.0,5,0
ATR_MD+ADX_ST+PRG_HI+ASI,20.0,5,0
BBW_LO+DST_NR+ADX_ST+PRG_LO,20.0,5,2
BBW_LO+DST_NR+PRG_LO+ASI,20.0,5,2
BBP_HI+SLP_DN+PBD_HI+CLH_LO,20.0,5,0
RV_HI+PRG_LO+CLH_HI+LON,20.0,5,0
ATR_LO+DST_NR+ADX_TR+ASI,18.0,10,1
ATR_MD+DST_NR+ADX_ST+ASI,18.0,10,1
DST_FR+PBP_LO+CLH_HI+LON,16.0,9,0
BBW_LO+DST_NR+ADX_TR+PRG_LO,14.0,8,2
BBP_HI+RV_HI+DST_NR+ASI,14.0,8,1
RV_HI+ADX_TR+PRG_VH+PBP_LO,14.0,8,1
DST_NR+ADX_ST+PRG_HI+ASI,14.0,8,1
ATR_MD+BBP_HI+ADX_ST+PRG_HI,12.0,7,0
BBW_HI+SLP_UP+PBP_LO+LON,12.0,7,0
BBP_HI+DST_NR+PBD_HI+ASI,12.0,7,1
EMA50_NR+PRG_HI+PBP_LO+LON,12.0,7,0
ATR_LO+BBP_HI+DST_NR+ASI,10.0,12,1
ATR_MD+DST_NR+ADX_ST+PRG_LO,10.0,6,1
ATR_MD+DST_NR+PBD_HI+ASI,10.0,6,1
ATR_HI+RV_LO+SLP_DN+US,10.0,6,1
ATR_HI+RV_HI+PRG_LO+LON,10.0,6,0
ATR_VH+BBP_HI+DST_NR+ADX_TR,10.0,6,1
ATR_VH+RV_HI+PRG_LO+LON,10.0,6,0
BBP_HI+DST_NR+ADX_ST+ASI,10.0,12,1
BBP_HI+DST_NR+PRG_LO+ASI,10.0,6,1
RV_HI+SLP_UP+PBP_LO+LON,10.0,6,0
SLP_DN+ADX_ST+PRG_LO+CLH_HI,10.0,6,0
EMA50_NR+PRG_LO+CLH_HI+LON,10.0,6,0
ATR_LO+ADX_ST+ASI,9.0,11,0
ATR_LO+BBP_HI+ADX_ST+ASI,9.0,11,0
ATR_LO+RVOL_HI+ADX_ST+ASI,9.0,11,0
ATR_LO+SLP_DN+ADX_TR+ASI,9.0,11,0
ATR_MD+SLP_DN+ADX_ST+ASI,9.0,11,0
DST_NR+ADX_ST+ASI,8.667,16,1
BBP_HI+DST_NR+ADX_TR+ASI,8.667,16,1
RVOL_HI+DST_NR+ADX_ST+ASI,8.667,16,1
SLP_DN+DST_NR+ADX_ST+ASI,8.667,16,1
ATR_LO+ADX_ST+PRG_HI,8.0,5,0
BBW_LO+EMA50_NR+PRG_LO,8.0,5,1
RV_LO+EMA50_NR+PRG_LO,8.0,5,1
RV_HI+ADX_WK+PRG_LO,8.0,5,0
DST_NR+ADX_WK+ASI,8.0,5,1
ADX_TR+PRG_LO+CLH_LO,8.0,5,0
ADX_ST+PRG_VH+ASI,8.0,5,1
PRG_VH+CLH_LO+LON,8.0,5,1
ATR_LO+RVOL_HI+ADX_ST+PRG_HI,8.0,5,0
ATR_LO+SLP_DN+ADX_ST+PRG_HI,8.0,5,0
ATR_LO+DST_NR+ADX_ST+PRG_LO,8.0,5,1
ATR_LO+DST_NR+ADX_ST+PRG_HI,8.0,5,1
ATR_LO+ADX_TR+PBP_LO+ASI,8.0,5,0
ATR_MD+RV_HI+ADX_ST+ASI,8.0,5,0
ATR_MD+EMA50_NR+PRG_LO+CLH_HI,8.0,5,0
ATR_HI+BBP_LO+PBP_LO+US,8.0,5,0
ATR_HI+BBP_HI+DST_NR+ADX_ST,8.0,5,1
ATR_HI+RV_HI+ADX_WK+PRG_LO,8.0,5,0
ATR_HI+SLP_UP+EMA50_NR+ADX_WK,8.0,5,0
ATR_HI+EMA50_AB+CLH_LO+US,8.0,5,0
ATR_VH+RV_LO+SLP_DN+US,8.0,5,1
BBW_LO+RV_LO+DST_NR+ADX_ST,8.0,5,3
BBW_LO+RV_LO+EMA50_NR+CLH_HI,8.0,10,2
BBW_LO+RVOL_HI+EMA50_NR+PRG_LO,8.0,5,1
BBW_LO+SLP_DN+EMA50_NR+PRG_LO,8.0,5,1
BBW_HI+SLP_DN+ADX_ST+ASI,8.0,5,0
BBW_HI+DST_NR+ADX_ST+ASI,8.0,5,1
BBW_HI+ADX_ST+PRG_HI+ASI,8.0,5,0
BBW_HI+PRG_VH+PBP_LO+LON,8.0,5,1
BBP_LO+RV_LO+PRG_VH+LON,8.0,5,2
BBP_HI+RV_HI+ADX_WK+PRG_LO,8.0,5,0
BBP_HI+RV_HI+ADX_ST+ASI,8.0,5,0
BBP_HI+DST_NR+ADX_ST+PRG_LO,8.0,5,1
RV_LO+RVOL_HI+EMA50_NR+PRG_LO,8.0,5,1
RV_LO+SLP_DN+PRG_VH+LON,8.0,5,2
RV_LO+DST_FR+PBP_LO+LON,8.0,5,1
RV_LO+EMA50_NR+PRG_LO+CLH_HI,8.0,5,1
RV_LO+EMA50_NR+PRG_LO+LON,8.0,5,1
RV_LO+EMA50_NR+PRG_VH+LON,8.0,5,2
RV_LO+ADX_TR+PRG_LO+CLH_LO,8.0,5,1
RV_HI+RVOL_HI+ADX_WK+PRG_LO,8.0,5,0
RV_HI+SLP_UP+PRG_LO+LON,8.0,5,0
RV_HI+DST_MD+PRG_LO+LON,8.0,5,0
RV_HI+DST_FR+ADX_WK+LON,8.0,5,0
RV_HI+ADX_ST+PRG_HI+ASI,8.0,5,0
RV_HI+ADX_ST+PRG_VH+PBP_LO,8.0,5,1
RVOL_HI+DST_NR+ADX_WK+ASI,8.0,5,1
RVOL_HI+ADX_TR+PRG_LO+CLH_LO,8.0,5,0
RVOL_HI+ADX_ST+PRG_VH+ASI,8.0,5,1
RVOL_HI+PRG_VH+CLH_LO+LON,8.0,5,1
SLP_DN+DST_NR+ADX_WK+ASI,8.0,5,1
SLP_DN+ADX_ST+PBP_LO+ASI,8.0,5,0
SLP_UP+EMA50_NR+ADX_WK+PRG_HI,8.0,5,0
SLP_UP+EMA50_NR+ADX_WK+PRG_VH,8.0,5,1
SLP_UP+EMA50_NR+ADX_WK+PBD_HI,8.0,5,0
SLP_UP+EMA50_NR+ADX_WK+PBP_HI,8.0,5,0
DST_NR+ADX_TR+PRG_VH+PBP_LO,8.0,5,2
DST_NR+ADX_ST+PBP_LO+ASI,8.0,5,1
ADX_ST+PRG_VH+PBD_HI+ASI,8.0,5,1
ADX_ST+PRG_VH+CLH_HI+ASI,8.0,5,1
RV_HI+ADX_ST+ASI,7.0,9,0
ATR_LO+SLP_DN+ADX_ST+PRG_LO,7.0,9,0
ATR_MD+RV_LO+DST_FR+LON,7.0,9,1
BBP_HI+DST_NR+ADX_ST+PRG_HI,7.0,9,1
RV_HI+RVOL_HI+ADX_ST+ASI,7.0,9,0
RV_HI+SLP_DN+ADX_ST+ASI,7.0,9,0
RV_HI+DST_NR+ADX_ST+ASI,7.0,9,1
RV_HI+ADX_ST+CLH_HI+ASI,7.0,9,0
BBP_HI+RV_HI+SLP_DN+ADX_ST,6.667,13,0
SLP_DN+PBD_HI+CLH_LO,6.0,8,0
DST_NR+ADX_ST+PRG_LO,6.0,8,1
ATR_LO+BBW_LO+SLP_DN+ADX_ST,6.0,8,1
ATR_LO+RV_LO+SLP_DN+ADX_ST,6.0,8,1
ATR_LO+DST_NR+ADX_ST+PBP_LO,6.0,8,1
ATR_LO+ADX_TR+CLH_HI+ASI,6.0,8,0
ATR_MD+BBP_HI+DST_NR+ASI,6.0,16,1
ATR_MD+BBP_HI+DST_FR+LON,6.0,8,0
ATR_MD+DST_FR+ADX_TR+LON,6.0,8,0
ATR_HI+BBP_HI+DST_NR+ADX_TR,6.0,8,1
BBW_HI+SLP_UP+ADX_WK+US,6.0,8,0
BBP_HI+RV_HI+DST_NR+ADX_ST,6.0,8,1
BBP_HI+DST_NR+PRG_HI+ASI,6.0,8,1
RV_HI+DST_NR+ADX_TR+ASI,6.0,12,1
RV_HI+DST_NR+PBD_HI+ASI,6.0,8,1
RVOL_HI+SLP_DN+PBD_HI+CLH_LO,6.0,8,0
RVOL_HI+DST_NR+ADX_ST+PRG_LO,6.0,8,1
SLP_DN+DST_NR+ADX_ST+PRG_LO,6.0,8,1
DST_NR+ADX_ST+CLH_HI+ASI,6.0,12,1
ATR_LO+DST_NR+ASI,5.5,15,1
