sym,n,wr,pf,net,loo_pf
BNB-USDT-SWAP,2,1.0,10.0,374.5037,1.8829724863669972
DYDX-USDT-SWAP,5,0.6,2.742176567926417,371.0188,2.072026852257111
ETH-USDT-SWAP,3,0.6666666666666666,3.207252026283992,260.1273,2.0800844807842767
AXS-USDT-SWAP,1,1.0,10.0,195.0899,2.0293094259677678
ALGO-USDT-SWAP,1,1.0,10.0,193.79,2.030369675445718
INJ-USDT-SWAP,1,1.0,10.0,193.272,2.0307921765839425
BCH-USDT-SWAP,1,1.0,10.0,191.6411,2.0321224026579396
GRT-USDT-SWAP,1,1.0,10.0,190.9652,2.0326736932357887
ARB-USDT-SWAP,2,0.5,1.7577783573976928,83.09069999999998,2.230731009767447
BTC-USDT-SWAP,2,0.5,1.4653519275961164,60.060599999999994,2.2735072412823967
OP-USDT-SWAP,1,0.0,0.0,-106.7959,2.39724944589449
NEAR-USDT-SWAP,1,0.0,0.0,-108.7575,2.4014582984829063
SUSHI-USDT-SWAP,1,0.0,0.0,-114.5253,2.4139198776003994
CHZ-USDT-SWAP,3,0.0,0.0,-326.4242,2.9825086037474096
