family,fold,pf,n,wr
A,1,9.0,22,0.8182
A,2,8.0,20,0.8
A,3,3.3333,8,0.625
A,4,1.3333,25,0.4
A,5,2.0,16,0.5
C,1,1.2258,200,0.38
C,2,1.4194,53,0.4151
C,3,2.0,64,0.5
C,4,1.6136,318,0.4465
C,5,1.44,86,0.4186
A+B,1,9.0,22,0.8182
A+B,2,8.0,20,0.8
A+B,3,3.3333,8,0.625
A+B,4,1.3333,25,0.4
A+B,5,2.0,16,0.5
A+C,1,1.3858,215,0.4093
A+C,2,2.0606,67,0.5075
A+C,3,2.0588,69,0.5072
A+C,4,1.6432,337,0.451
A+C,5,1.5357,99,0.4343
B+C,1,1.2258,200,0.38
B+C,2,1.4194,53,0.4151
B+C,3,2.0,64,0.5
B+C,4,1.6136,318,0.4465
B+C,5,1.44,86,0.4186
A+B+C,1,1.3858,215,0.4093
A+B+C,2,2.0606,67,0.5075
A+B+C,3,2.0588,69,0.5072
A+B+C,4,1.6432,337,0.451
A+B+C,5,1.5357,99,0.4343
