symbol,tier,pf,wr,n
ENA_USDT_SWAP,T3-Small,6.0,0.75,4
HBAR_USDT_SWAP,T3-Small,6.0,0.75,4
ALGO_USDT_SWAP,T3-Small,5.0,0.7143,7
GRT_USDT_SWAP,T3-Small,4.6667,0.7,10
LTC_USDT_SWAP,T2-Mid,4.0,0.6667,18
SUSHI_USDT_SWAP,T3-Small,4.0,0.6667,6
BCH_USDT_SWAP,T2-Mid,2.9091,0.5926,27
STX_USDT_SWAP,T3-Small,2.8,0.5833,12
FIL_USDT_SWAP,T3-Small,2.75,0.5789,19
AAVE_USDT_SWAP,T3-Small,2.6667,0.5714,7
CRV_USDT_SWAP,T3-Small,2.6667,0.5714,14
WIF_USDT_SWAP,T3-Small,2.6667,0.5714,7
CHZ_USDT_SWAP,T3-Small,2.25,0.5294,17
BTC_USDT_SWAP,T1-Large,2.1053,0.5128,39
AVAX_USDT_SWAP,T2-Mid,2.0,0.5,20
GALA_USDT_SWAP,T3-Small,2.0,0.5,12
INJ_USDT_SWAP,T3-Small,2.0,0.5,8
SAND_USDT_SWAP,T3-Small,2.0,0.5,10
SNX_USDT_SWAP,T3-Small,2.0,0.5,12
LINK_USDT_SWAP,T2-Mid,1.75,0.4667,15
BNB_USDT_SWAP,T1-Large,1.6,0.4444,27
COMP_USDT_SWAP,T3-Small,1.6,0.4444,9
ETC_USDT_SWAP,T3-Small,1.6,0.4444,9
ETH_USDT_SWAP,T1-Large,1.6,0.4444,27
FLOKI_USDT_SWAP,T3-Small,1.6,0.4444,9
LDO_USDT_SWAP,T3-Small,1.6,0.4444,9
SHIB_USDT_SWAP,T3-Small,1.6,0.4444,9
EGLD_USDT_SWAP,T3-Small,1.4545,0.4211,19
BONK_USDT_SWAP,T3-Small,1.4286,0.4167,12
SOL_USDT_SWAP,T1-Large,1.3846,0.4091,22
DOGE_USDT_SWAP,T2-Mid,1.3333,0.4,15
DOT_USDT_SWAP,T2-Mid,1.3333,0.4,20
IMX_USDT_SWAP,T3-Small,1.3333,0.4,5
SATS_USDT_SWAP,T3-Small,1.3333,0.4,15
UNI_USDT_SWAP,T2-Mid,1.2857,0.3913,23
AXS_USDT_SWAP,T3-Small,1.25,0.3846,13
GMX_USDT_SWAP,T3-Small,1.25,0.3846,13
APT_USDT_SWAP,T2-Mid,1.1667,0.3684,19
ARB_USDT_SWAP,T2-Mid,1.0667,0.3478,23
XRP_USDT_SWAP,T1-Large,0.875,0.3043,23
TRX_USDT_SWAP,T3-Small,0.8571,0.3,10
DYDX_USDT_SWAP,T3-Small,0.8,0.2857,7
ADA_USDT_SWAP,T2-Mid,0.6667,0.25,16
ICP_USDT_SWAP,T3-Small,0.6667,0.25,8
PEPE_USDT_SWAP,T3-Small,0.6667,0.25,12
SUI_USDT_SWAP,T3-Small,0.625,0.2381,21
ATOM_USDT_SWAP,T2-Mid,0.6154,0.2353,17
FET_USDT_SWAP,T3-Small,0.5714,0.2222,9
OP_USDT_SWAP,T2-Mid,0.3077,0.1333,15
NEAR_USDT_SWAP,T2-Mid,0.1667,0.0769,13
1INCH_USDT_SWAP,T3-Small,0.0,0.0,1
XLM_USDT_SWAP,T3-Small,0.0,0.0,3
