strategy,sym,n,pf,wr,exp,dd,pnl_total
Family A,ICP_USDT_SWAP,1,999.0,1.0,200.0,0.0,200.0
Family A,XRP_USDT_SWAP,1,999.0,1.0,200.0,0.0,200.0
Family A,SAND_USDT_SWAP,1,999.0,1.0,200.0,0.0,200.0
Family A,SOL_USDT_SWAP,3,4.0,0.6666666666666666,100.0,-0.009615384615384616,300.0
Family A,EGLD_USDT_SWAP,3,4.0,0.6666666666666666,100.0,-0.00980392156862745,300.0
Family A,UNI_USDT_SWAP,4,2.0,0.5,50.0,-0.009708737864077669,200.0
Family A,CHZ_USDT_SWAP,2,2.0,0.5,50.0,-0.00980392156862745,100.0
Family A,CRV_USDT_SWAP,2,2.0,0.5,50.0,0.0,100.0
Family A,DOT_USDT_SWAP,2,2.0,0.5,50.0,0.0,100.0
Family A,LTC_USDT_SWAP,2,2.0,0.5,50.0,0.0,100.0
Family A,STX_USDT_SWAP,2,2.0,0.5,50.0,-0.00980392156862745,100.0
Family A,FIL_USDT_SWAP,3,1.0,0.3333333333333333,0.0,-0.0196078431372549,0.0
Family A,GALA_USDT_SWAP,3,1.0,0.3333333333333333,0.0,-0.009900990099009901,0.0
Family A,SNX_USDT_SWAP,3,1.0,0.3333333333333333,0.0,-0.0196078431372549,0.0
Family A,AAVE_USDT_SWAP,4,0.6666666666666666,0.25,-25.0,-0.020202020202020204,-100.0
Family A,ARB_USDT_SWAP,5,0.5,0.2,-40.0,-0.02,-200.0
Family A,PEPE_USDT_SWAP,2,0.0,0.0,-100.0,-0.010101010101010102,-200.0
Family A,ETH_USDT_SWAP,7,0.0,0.0,-100.0,-0.06060606060606061,-700.0
Family A,NEAR_USDT_SWAP,2,0.0,0.0,-100.0,-0.010101010101010102,-200.0
Family A,WIF_USDT_SWAP,2,0.0,0.0,-100.0,-0.010101010101010102,-200.0
Family A,GMX_USDT_SWAP,1,0.0,0.0,-100.0,0.0,-100.0
Family A,GRT_USDT_SWAP,1,0.0,0.0,-100.0,0.0,-100.0
Family A,ATOM_USDT_SWAP,2,0.0,0.0,-100.0,-0.010101010101010102,-200.0
