family,variant,rr,n,wr,pf,exp,mdd,net
FamilyA,E0_base,1.0,392,0.5510204081632653,1.2272727272727273,10.204081632653063,-0.298028068854935,4628.876927708394
FamilyA,E0_base,1.5,391,0.43478260869565216,1.1538461538461537,8.695652173913043,-0.41580881238963885,3633.43175172928
FamilyA,E0_base,2.0,390,0.36153846153846153,1.1325301204819278,8.461538461538462,-0.42194307874804093,3359.422140727771
FamilyA,E0_base,2.5,390,0.30512820512820515,1.0977859778597785,6.794871794871795,-0.469416504124929,2395.890110242879
FamilyA,E0_base,3.0,389,0.2750642673521851,1.1382978723404256,10.025706940874036,-0.5522193636679815,3890.1814793920457
FamilyA,E6_sigentry,1.0,408,0.5931372549019608,1.4578313253012047,18.627450980392158,-0.2278363436719757,10951.482504018939
FamilyA,E6_sigentry,1.5,403,0.4987593052109181,1.4925742574257426,24.68982630272953,-0.31057972810023327,16180.853517226558
FamilyA,E6_sigentry,2.0,395,0.4278481012658228,1.4955752212389382,28.354430379746837,-0.3840476091140854,19307.78566725825
FamilyA,E6_sigentry,2.5,390,0.3641025641025641,1.4314516129032258,27.435897435897438,-0.4438584378959068,17562.407278565755
FamilyA,E6_sigentry,3.0,390,0.3153846153846154,1.3820224719101124,26.153846153846157,-0.5141628893985092,15916.455017203694
FamilyC,E0_base,1.0,11564,0.4910065721203736,0.9648258283772303,-1.7900380491179522,-0.9793281508870259,-9292.24891401584
FamilyC,E0_base,1.5,11238,0.3814735718099306,0.9245461117160395,-4.667022401333067,-0.9993183887075547,-9976.929127000561
FamilyC,E0_base,2.0,10915,0.31717819514429685,0.9280237674442029,-4.914694102046317,-0.9993216852690184,-9983.743007022107
FamilyC,E0_base,2.5,10640,0.2692669172932331,0.9198149374613047,-5.859387793593567,-0.9997707598056313,-9994.494627225733
FamilyC,E0_base,3.0,10375,0.23633734939759035,0.9264076811853006,-5.61997052500109,-0.9997215724058856,-9993.299801307177
FamilyC,E6_sigentry,1.0,12876,0.5040385212799006,1.0162016177219473,0.8035378283034774,-0.9477543994143264,4782.791022611917
FamilyC,E6_sigentry,1.5,12215,0.39459680720425705,0.9774579710686596,-1.3647016287127527,-0.9759741203571237,-9239.160176099696
FamilyC,E6_sigentry,2.0,11693,0.327631916531258,0.9739036732278447,-1.754633721736812,-0.9885494442049065,-9593.531086240326
FamilyC,E6_sigentry,2.5,11231,0.27655596117887987,0.9546998977918638,-3.27720889004636,-0.9972352856281103,-9935.45534367514
FamilyC,E6_sigentry,3.0,10895,0.2385497934832492,0.9384449129447412,-4.687113375038343,-0.9995292665676472,-9987.297414666273
