month,n,wins,losses,wr,pf,net_r,profitable,cum_r,year
2024-03,7,1,6,0.14285714285714285,0.3333333333333333,-4.0,False,-4.0,2024
2024-04,2,0,2,0.0,0.0,-2.0,False,-6.0,2024
2024-05,8,2,6,0.25,0.6666666666666666,-2.0,False,-8.0,2024
2024-06,6,2,4,0.3333333333333333,1.0,0.0,False,-8.0,2024
2024-07,1,0,1,0.0,0.0,-1.0,False,-9.0,2024
2024-08,4,0,4,0.0,0.0,-4.0,False,-13.0,2024
2024-09,6,1,5,0.16666666666666666,0.4,-3.0,False,-16.0,2024
2024-10,14,7,7,0.5,2.0,7.0,True,-9.0,2024
2024-11,6,0,6,0.0,0.0,-6.0,False,-15.0,2024
2024-12,26,10,16,0.38461538461538464,1.25,4.0,True,-11.0,2024
2025-01,2,0,2,0.0,0.0,-2.0,False,-13.0,2025
2025-02,6,0,6,0.0,0.0,-6.0,False,-19.0,2025
2025-03,5,0,5,0.0,0.0,-5.0,False,-24.0,2025
2025-04,1,0,1,0.0,0.0,-1.0,False,-25.0,2025
2025-05,11,4,7,0.36363636363636365,1.1428571428571428,1.0,True,-24.0,2025
2025-06,21,8,13,0.38095238095238093,1.2307692307692308,3.0,True,-21.0,2025
2025-07,2,2,0,1.0,inf,4.0,True,-17.0,2025
2025-08,20,17,3,0.85,11.333333333333334,31.0,True,14.0,2025
2025-09,12,8,4,0.6666666666666666,4.0,12.0,True,26.0,2025
2025-10,28,22,6,0.7857142857142857,7.333333333333333,38.0,True,64.0,2025
2025-11,8,2,6,0.25,0.6666666666666666,-2.0,False,62.0,2025
2025-12,14,11,3,0.7857142857142857,7.333333333333333,19.0,True,81.0,2025
2026-01,15,5,10,0.3333333333333333,1.0,0.0,False,81.0,2026
2026-02,1,0,1,0.0,0.0,-1.0,False,80.0,2026
2026-03,26,16,10,0.6153846153846154,3.2,22.0,True,102.0,2026
2026-04,11,5,6,0.45454545454545453,1.6666666666666667,4.0,True,106.0,2026
2026-05,22,6,16,0.2727272727272727,0.75,-4.0,False,102.0,2026
2026-06,6,1,5,0.16666666666666666,0.4,-3.0,False,99.0,2026
2026-07,5,3,2,0.6,3.0,4.0,True,103.0,2026
