h,rebal,K,direction,sharpe,pf,sel_n,sel_tot
72,24,10,reversal,-0.027029936540901894,0.9960063296989987,502,-0.016285875966002117
24,12,5,reversal,-0.042135319600938956,0.9955185816128836,1008,-0.03778360793160504
24,12,10,reversal,-0.22364428788815338,0.976305426373805,1008,-0.1392028068930362
72,24,5,reversal,-0.3782375775100932,0.9425058674933378,502,-0.3535485685036861
24,24,5,momentum,-0.40796772060064185,0.9408974949309612,504,-0.3625469209453065
48,24,5,momentum,-0.43314790975565853,0.9387984346433939,503,-0.366331363212879
72,12,10,reversal,-0.5527488905838649,0.9426377028606255,1004,-0.3523645976656428
24,24,10,reversal,-0.5975692884507254,0.9162644210249912,504,-0.35202337220008517
48,24,10,reversal,-0.6131637968002501,0.9130570141072709,503,-0.37437079887943664
72,24,5,momentum,-0.6958737657413915,0.89795429151469,502,-0.6504514314963146
24,24,5,reversal,-0.7263170811932902,0.8966162204007729,504,-0.6454530790546944
48,24,5,reversal,-0.7563401902871864,0.8945966995008638,503,-0.6396686367871216
48,12,5,momentum,-0.8280045265840318,0.9165183860111422,1006,-0.7332338740555151
72,12,5,reversal,-0.8530898689074149,0.9120781889536232,1004,-0.7910142556753459
48,24,10,momentum,-1.0345148721220594,0.8590024329615001,503,-0.6316292011205635
24,24,10,momentum,-1.113538241125362,0.8506319225359711,504,-0.6559766277999151
72,12,5,momentum,-1.3124898845239241,0.8690614821428396,1004,-1.216985744324655
48,12,5,reversal,-1.4440469517154277,0.857688666098297,1006,-1.278766125944486
48,12,10,reversal,-1.455351363265966,0.8565292140205454,1006,-0.9171813174266359
72,24,10,momentum,-1.6393253975975914,0.7872649771363857,502,-0.9877141240339985
48,12,10,momentum,-1.7372201460477792,0.8333043196957498,1006,-1.0948186825733646
24,12,5,momentum,-2.2060566600866007,0.7917874246975174,1008,-1.9782163920683962
72,12,10,momentum,-2.597169630304544,0.7599979677629446,1004,-1.6556354023343578
24,12,10,momentum,-3.0152766393957666,0.7239441177670662,1008,-1.876797193106964
