entry_time,r,exit_type,bars_in,atr,entry,sym
2024-10-18 13:00:00+00:00,-1.0,SL,1,0.002171721270164114,0.1942,BICO_USDT_SWAP
2025-06-02 14:00:00+00:00,1.5,TP,4,0.6211996726665392,33.18,HYPE_USDT_SWAP
2025-06-30 02:00:00+00:00,-1.0,SL,2,5.42024727767135,3281.3,XAU_USDT_SWAP
2025-08-03 11:00:00+00:00,-1.0,SL,6,0.0006743188309290078,0.03332,HOME_USDT_SWAP
2025-09-01 08:00:00+00:00,-1.0,SL,2,0.5175096962199055,45.393,HYPE_USDT_SWAP
2025-09-20 15:00:00+00:00,-1.0,SL,2,0.5155362054454401,55.636,HYPE_USDT_SWAP
2025-12-27 09:00:00+00:00,1.5,TP,49,0.12886706007384563,2.138,BEAT_USDT_SWAP
2026-01-04 13:00:00+00:00,-1.0,SL,17,7.167773529837535,500.78,ZEC_USDT_SWAP
2026-01-17 13:00:00+00:00,1.5,TP,2,0.0004124323438317642,0.04398,BICO_USDT_SWAP
2026-01-23 15:00:00+00:00,1.5,TP,2,4.5473310388851546e-05,0.002431,PUMP_USDT_SWAP
2026-01-23 17:00:00+00:00,-1.0,SL,2,5.3749946202632186e-05,0.002492,PUMP_USDT_SWAP
2026-01-23 18:00:00+00:00,-1.0,SL,4,0.00038181689215816304,0.03133,HOME_USDT_SWAP
2026-03-11 13:00:00+00:00,-1.0,SL,4,19.72129219483184,5154.3,XAU_USDT_SWAP
2026-03-28 07:00:00+00:00,-1.0,SL,2,2.9879813695133004,220.83,ZEC_USDT_SWAP
2026-04-27 01:00:00+00:00,1.5,TP,1,7.523566547576996,4697.0,XAU_USDT_SWAP
2026-06-07 23:00:00+00:00,-1.0,SL,2,9.682849534076603,4348.2,XAU_USDT_SWAP
2026-06-20 15:00:00+00:00,-1.0,SL,2,2.0330783433578177e-05,0.001381,PUMP_USDT_SWAP
