sym,n,wr,pf,net,selpf,holpf,ever_neg
1INCH_USDT_SWAP,1,1.0,inf,1.5,,inf,
AAVE_USDT_SWAP,2,1.0,inf,3.0,inf,,
ADA_USDT_SWAP,3,0.6666666666666666,3.0,2.0,inf,0.0,
APT_USDT_SWAP,3,0.3333333333333333,0.75,-0.5,1.5,0.0,
ARB_USDT_SWAP,3,0.0,0.0,-3.0,0.0,0.0,YES
ATOM_USDT_SWAP,5,0.6,2.25,2.5,3.0,1.5,
AVAX_USDT_SWAP,3,1.0,inf,4.5,inf,,
AXS_USDT_SWAP,2,0.5,1.5,0.5,1.5,,
BCH_USDT_SWAP,2,0.0,0.0,-2.0,0.0,,YES
BNB_USDT_SWAP,4,0.75,4.5,3.5,1.5,inf,
BONK_USDT_SWAP,1,1.0,inf,1.5,inf,,
BTC_USDT_SWAP,2,1.0,inf,3.0,inf,,
CHZ_USDT_SWAP,1,1.0,inf,1.5,inf,,
COMP_USDT_SWAP,1,0.0,0.0,-1.0,0.0,,YES
CRV_USDT_SWAP,2,0.5,1.5,0.5,0.0,inf,
DOGE_USDT_SWAP,1,1.0,inf,1.5,inf,,
DOT_USDT_SWAP,2,0.5,1.5,0.5,inf,0.0,
DYDX_USDT_SWAP,1,1.0,inf,1.5,inf,,
EGLD_USDT_SWAP,1,0.0,0.0,-1.0,0.0,,YES
ENA_USDT_SWAP,1,0.0,0.0,-1.0,,0.0,YES
ETC_USDT_SWAP,2,1.0,inf,3.0,inf,,
ETH_USDT_SWAP,3,0.6666666666666666,3.0,2.0,inf,0.0,
FET_USDT_SWAP,4,0.25,0.5,-1.5,0.0,0.75,YES
FIL_USDT_SWAP,1,0.0,0.0,-1.0,0.0,,YES
FLOKI_USDT_SWAP,4,0.5,1.5,1.0,1.5,,
GMX_USDT_SWAP,3,0.6666666666666666,3.0,2.0,3.0,,
GRT_USDT_SWAP,1,0.0,0.0,-1.0,0.0,,YES
HBAR_USDT_SWAP,3,1.0,inf,4.5,inf,inf,
ICP_USDT_SWAP,1,1.0,inf,1.5,inf,,
IMX_USDT_SWAP,5,0.6,2.25,2.5,1.5,inf,
INJ_USDT_SWAP,6,0.8333333333333334,7.5,6.5,inf,1.5,
LDO_USDT_SWAP,1,1.0,inf,1.5,inf,,
LINK_USDT_SWAP,3,0.6666666666666666,3.0,2.0,inf,1.5,
LTC_USDT_SWAP,2,0.5,1.5,0.5,1.5,,
NEAR_USDT_SWAP,4,0.5,1.5,1.0,3.0,0.0,
OP_USDT_SWAP,7,0.5714285714285714,2.0,3.0,2.0,,
PEPE_USDT_SWAP,5,0.2,0.375,-2.5,0.5,0.0,YES
SAND_USDT_SWAP,1,1.0,inf,1.5,,inf,
SHIB_USDT_SWAP,3,0.6666666666666666,3.0,2.0,3.0,,
SNX_USDT_SWAP,2,0.5,1.5,0.5,1.5,,
STX_USDT_SWAP,1,1.0,inf,1.5,inf,,
SUI_USDT_SWAP,2,0.5,1.5,0.5,1.5,,
SUSHI_USDT_SWAP,2,0.5,1.5,0.5,1.5,,
TRX_USDT_SWAP,2,0.5,1.5,0.5,,1.5,
UNI_USDT_SWAP,3,0.6666666666666666,3.0,2.0,inf,1.5,
WIF_USDT_SWAP,2,0.0,0.0,-2.0,0.0,,YES
XLM_USDT_SWAP,1,1.0,inf,1.5,inf,,
XRP_USDT_SWAP,1,0.0,0.0,-1.0,0.0,,YES
