variant,n,tpm,wr,pf,pf_cost,mdd,prof,worst,selpf,holpf
S2_breakout_rr0.4_base,28817,960.5666666666667,0.7296040531630634,1.0794236750902375,0.7605406145181559,-0.8254247804664837,0.6666666666666666,3,1.075933253053501,1.08968041243543
S2_breakout_rr0.4_time6,28817,960.5666666666667,0.7296040531630634,1.0794236750902375,0.7605406145181559,-0.8254247804664837,0.6666666666666666,3,1.075933253053501,1.08968041243543
S2_breakout_rr0.5_base,28685,956.1666666666666,0.6814014293184592,1.0694672566197512,0.7986458874322392,-0.9115780609563243,0.6666666666666666,3,1.0636630036630037,1.0865925019310378
S2_breakout_rr0.5_time6,28685,956.1666666666666,0.6814014293184592,1.0694672566197512,0.7986458874322392,-0.9115780609563243,0.6666666666666666,3,1.0636630036630037,1.0865925019310378
S2_breakout_rr0.6_base,28471,949.0333333333333,0.6403006568086825,1.068143754751657,0.8277714635889594,-0.927483141642499,0.6666666666666666,3,1.0588511749347256,1.0957312704601763
S2_breakout_rr0.6_time6,28471,949.0333333333333,0.6403006568086825,1.068143754751657,0.8277714635889594,-0.927483141642499,0.6666666666666666,3,1.0588511749347256,1.0957312704601763
S2_breakout_rr0.75_base,27964,932.1333333333333,0.585753111142898,1.0605766783982207,0.8516986206614654,-0.9395074978582216,0.6666666666666666,3,1.052532670290274,1.0842660265431912
S2_breakout_rr0.75_time6,27964,932.1333333333333,0.585753111142898,1.0605766783982207,0.8516986206614654,-0.9395074978582216,0.6666666666666666,3,1.052532670290274,1.0842660265431912
S1_famA_raw_rr0.4_base,416,14.344827586206897,0.8004807692307693,1.6048192771084335,1.1032689929303343,-0.08157729822816888,0.6206896551724138,2,1.6413793103448275,1.5199999999999994
S1_famA_raw_rr0.4_time6,416,14.344827586206897,0.8004807692307693,1.6048192771084335,1.1032689929303343,-0.08157729822816888,0.6206896551724138,2,1.6413793103448275,1.5199999999999994
H6_microscalp_rr0.4_base,55160,1838.6666666666667,0.7199601160261059,1.0284152950969285,0.7230264000441264,-0.9482212154076087,0.5666666666666667,4,1.0550175818231,0.9606695378038381
H6_microscalp_rr0.4_time6,55160,1838.6666666666667,0.7199601160261059,1.0284152950969285,0.7230264000441264,-0.9482212154076087,0.5666666666666667,4,1.0550175818231,0.9606695378038381
H6_microscalp_rr0.5_base,54840,1828.0,0.6720094821298322,1.0244515851421754,0.763697812894055,-0.9578602680565911,0.5666666666666667,3,1.0469063416139484,0.9665202007815664
H6_microscalp_rr0.5_time6,54840,1828.0,0.6720094821298322,1.0244515851421754,0.763697812894055,-0.9578602680565911,0.5666666666666667,3,1.0469063416139484,0.9665202007815664
H6_microscalp_rr0.6_base,54388,1812.9333333333334,0.6296977274398764,1.0202933124742843,0.7895596611009388,-0.9707722194507358,0.5666666666666667,3,1.038296703296703,0.9733099420805211
H6_microscalp_rr0.6_time6,54388,1812.9333333333334,0.6296977274398764,1.0202933124742843,0.7895596611009388,-0.9707722194507358,0.5666666666666667,3,1.038296703296703,0.9733099420805211
H6_microscalp_rr0.75_base,53297,1776.5666666666666,0.5755483423081975,1.0169490214861034,0.8157765471238524,-0.9861946879640191,0.5666666666666667,4,1.0348844319432555,0.9701472676921611
H6_microscalp_rr0.75_time6,53297,1776.5666666666666,0.5755483423081975,1.0169490214861034,0.8157765471238524,-0.9861946879640191,0.5666666666666667,4,1.0348844319432555,0.9701472676921611
S1_famA_raw_rr0.5_base,414,14.275862068965518,0.7657004830917874,1.634020618556701,1.1958845144912884,-0.11895370958765152,0.5517241379310345,3,1.6142857142857143,1.6851851851851851
S1_famA_raw_rr0.5_time6,414,14.275862068965518,0.7657004830917874,1.634020618556701,1.1958845144912884,-0.11895370958765152,0.5517241379310345,3,1.6142857142857143,1.6851851851851851
S1_famA_raw_rr0.6_base,414,14.275862068965518,0.7318840579710145,1.637837837837838,1.2471903304190164,-0.14732163380393437,0.5517241379310345,5,1.592592592592592,1.7599999999999996
S1_famA_raw_rr0.6_time6,414,14.275862068965518,0.7318840579710145,1.637837837837838,1.2471903304190164,-0.14732163380393437,0.5517241379310345,5,1.592592592592592,1.7599999999999996
S1_famA_raw_rr0.75_base,414,14.275862068965518,0.6835748792270532,1.6202290076335877,1.282452079574102,-0.16183327961715668,0.5172413793103449,7,1.538659793814433,1.8529411764705883
S1_famA_raw_rr0.75_time6,414,14.275862068965518,0.6835748792270532,1.6202290076335877,1.282452079574102,-0.16183327961715668,0.5172413793103449,7,1.538659793814433,1.8529411764705883
H8_rsi2_rr0.4_base,129355,4311.833333333333,0.7143751691082679,1.0006461369885953,0.7165957209484326,-0.9997643749693658,0.5,5,1.00038330013904,1.0013234205116806
H8_rsi2_rr0.4_time6,129355,4311.833333333333,0.7143751691082679,1.0006461369885953,0.7165957209484326,-0.9997643749693658,0.5,5,1.00038330013904,1.0013234205116806
H8_rsi2_rr0.5_base,122424,4080.8,0.665637456707835,0.9955260801654028,0.7532772636725148,-0.9999804054023385,0.5,5,0.993918346603422,0.999684886745159
H8_rsi2_rr0.5_time6,122424,4080.8,0.665637456707835,0.9955260801654028,0.7532772636725148,-0.9999804054023385,0.5,5,0.993918346603422,0.999684886745159
H8_rsi2_rr0.6_base,117118,3903.9333333333334,0.6218685428371387,0.9868233434508429,0.773526679087627,-0.9999998062799826,0.4666666666666667,5,0.9840788238974036,0.9939527675273031
H8_rsi2_rr0.6_time6,117118,3903.9333333333334,0.6218685428371387,0.9868233434508429,0.773526679087627,-0.9999998062799826,0.4666666666666667,5,0.9840788238974036,0.9939527675273031
H8_rsi2_rr0.75_base,110442,3681.4,0.5641332101917749,0.9706960917198576,0.7874669975194124,-0.9999999999862914,0.43333333333333335,5,0.96863229924384,0.9760737073246085
H8_rsi2_rr0.75_time6,110442,3681.4,0.5641332101917749,0.9706960917198576,0.7874669975194124,-0.9999999999862914,0.43333333333333335,5,0.96863229924384,0.9760737073246085
H7_ema20touch_rr0.4_base,40683,1356.1,0.7042499324041983,0.9528011940132088,0.6739294665547733,-0.9990032780092805,0.4,3,0.9569856618872956,0.9403805647099834
H7_ema20touch_rr0.4_time6,40683,1356.1,0.7042499324041983,0.9528011940132088,0.6739294665547733,-0.9990032780092805,0.4,3,0.9569856618872956,0.9403805647099834
H7_ema20touch_rr0.5_base,38363,1278.7666666666667,0.6564919323306311,0.955740554372996,0.7162314993343926,-0.9991003574571861,0.3333333333333333,5,0.960448822095857,0.941804214907703
H7_ema20touch_rr0.5_time6,38363,1278.7666666666667,0.6564919323306311,0.955740554372996,0.7162314993343926,-0.9991003574571861,0.3333333333333333,5,0.960448822095857,0.941804214907703
H7_ema20touch_rr0.6_base,36244,1208.1333333333334,0.6151087076481625,0.9589560791901551,0.7454497442556351,-0.9991443533666576,0.3333333333333333,5,0.9585176673369719,0.9602622869527949
H7_ema20touch_rr0.6_time6,36244,1208.1333333333334,0.6151087076481625,0.9589560791901551,0.7454497442556351,-0.9991443533666576,0.3333333333333333,5,0.9585176673369719,0.9602622869527949
H7_ema20touch_rr0.75_base,33270,1109.0,0.5620378719567177,0.962517618450706,0.7752185016592396,-0.9990737117647586,0.3333333333333333,5,0.9679911699779249,0.9464214577466774
H7_ema20touch_rr0.75_time6,33270,1109.0,0.5620378719567177,0.962517618450706,0.7752185016592396,-0.9990737117647586,0.3333333333333333,5,0.9679911699779249,0.9464214577466774
