research_id,run_date,strategy_name,symbol,n_trades,profit_factor,expectancy_r,win_rate,net_profit,max_drawdown,sharpe,mc_prob_profit,avg_hold_minutes,verdict,date,strategy,timeframe,symbols,method,n_oos,wr,pf,mdd,net,boot_p50,mc_prob,loo_floor
R004,2026-07-28,FVG+Slope,BTC-USDT-SWAP,34.0,0.4373,0.0588,0.3529,-1949.27,-0.2013,-37.7496,0.0,391.8,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Liq.Sweep,BTC-USDT-SWAP,27.0,0.2973,-0.3333,0.2222,-2127.14,-0.2242,-58.0841,0.0,226.7,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Brk.Structure,BTC-USDT-SWAP,17.0,0.1831,-0.6471,0.1176,-1572.61,-0.1422,-84.15,0.0,1365.9,REJECT,,,,,,,,,,,,,
R004,2026-07-28,VWAP.Pullback,BTC-USDT-SWAP,30.0,0.4177,-0.1,0.3,-1805.12,-0.2081,-40.6488,0.0,334.0,REJECT,,,,,,,,,,,,,
R004,2026-07-28,ORB,BTC-USDT-SWAP,24.0,0.2326,-0.5,0.1667,-2048.47,-0.2133,-70.7148,0.0,962.5,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Volatility.Comp,BTC-USDT-SWAP,15.0,0.5476,-0.0,0.3333,-687.65,-0.0755,-27.423,0.0,500.0,REJECT,,,,,,,,,,,,,
R004,2026-07-28,FVG+Slope,ETH-USDT-SWAP,41.0,0.8604,0.3902,0.4634,-448.31,-0.0744,-6.7781,0.0,327.8,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Liq.Sweep,ETH-USDT-SWAP,28.0,0.7588,0.0714,0.3571,-554.42,-0.1019,-12.5273,0.0,287.1,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Brk.Structure,ETH-USDT-SWAP,13.0,1.3947,0.3846,0.4615,319.02,-0.0341,14.5882,1.0,604.6,PROMOTE,,,,,,,,,,,,,
R004,2026-07-28,VWAP.Pullback,ETH-USDT-SWAP,28.0,0.3427,-0.3571,0.2143,-1970.28,-0.2122,-50.6759,0.0,364.3,REJECT,,,,,,,,,,,,,
R004,2026-07-28,ORB,ETH-USDT-SWAP,30.0,0.4171,-0.3,0.2333,-1730.56,-0.1611,-40.5559,0.0,294.0,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Volatility.Comp,ETH-USDT-SWAP,10.0,0.8726,0.2,0.4,-101.39,-0.0536,-5.9699,0.0,600.0,REJECT,,,,,,,,,,,,,
R004,2026-07-28,FVG+Slope,SOL-USDT-SWAP,39.0,0.7591,0.1538,0.3846,-787.34,-0.0968,-12.5495,0.0,226.2,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Liq.Sweep,SOL-USDT-SWAP,31.0,1.2796,0.4516,0.4839,596.12,-0.054,11.2041,1.0,402.6,PROMOTE,,,,,,,,,,,,,
R004,2026-07-28,Brk.Structure,SOL-USDT-SWAP,22.0,0.6167,-0.1818,0.2727,-716.84,-0.1058,-21.6125,0.0,736.4,REJECT,,,,,,,,,,,,,
R004,2026-07-28,VWAP.Pullback,SOL-USDT-SWAP,44.0,0.7561,0.1591,0.3864,-907.95,-0.1608,-12.7172,0.0,246.8,REJECT,,,,,,,,,,,,,
R004,2026-07-28,ORB,SOL-USDT-SWAP,28.0,0.8322,0.0714,0.3571,-378.45,-0.0981,-8.2269,0.0,683.6,REJECT,,,,,,,,,,,,,
R004,2026-07-28,Volatility.Comp,SOL-USDT-SWAP,18.0,0.3078,-0.5,0.1667,-1265.55,-0.1426,-55.2895,0.0,303.3,REJECT,,,,,,,,,,,,,
R005,2026-07-28,Liq.Sweep,BTC-USDT-SWAP,27.0,0.2973,-0.3333,0.2222,-2127.14,-0.2242,-58.0841,0.0,226.7,REJECT,,,,,,,,,,,,,
R005,2026-07-28,Liq.Sweep,ETH-USDT-SWAP,28.0,0.7588,0.0714,0.3571,-554.42,-0.1019,-12.5273,0.0,287.1,REJECT,,,,,,,,,,,,,
R005,2026-07-28,Liq.Sweep,SOL-USDT-SWAP,31.0,1.2796,0.4516,0.4839,596.12,-0.054,11.2041,1.0,402.6,PROMOTE,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,BTC-USDT-SWAP,27.0,0.2973,-0.3333,0.2222,-2127.14,-0.2242,-58.0841,0.0,226.7,REJECT,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,ETH-USDT-SWAP,28.0,0.7588,0.0714,0.3571,-554.42,-0.1019,-12.5273,0.0,287.1,REJECT,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,SOL-USDT-SWAP,31.0,1.2796,0.4516,0.4839,596.12,-0.054,11.2041,1.0,402.6,PROMOTE,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,BTC-USDT-SWAP,27.0,0.2973,-0.3333,0.2222,-2127.14,-0.2242,-58.0841,0.0,226.7,REJECT,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,ETH-USDT-SWAP,28.0,0.7588,0.0714,0.3571,-554.42,-0.1019,-12.5273,0.0,287.1,REJECT,,,,,,,,,,,,,
R006,2026-07-28,Liq.Sweep,SOL-USDT-SWAP,31.0,1.2796,0.4516,0.4839,596.12,-0.054,11.2041,1.0,402.6,PROMOTE,,,,,,,,,,,,,
R007,2026-07-28,Liq.Sweep,BTC-USDT-SWAP,27.0,0.2973,-0.3333,0.2222,-2127.14,-0.2242,-58.0841,0.0,226.7,REJECT,,,,,,,,,,,,,
R007,2026-07-28,Liq.Sweep,ETH-USDT-SWAP,28.0,0.7588,0.0714,0.3571,-554.42,-0.1019,-12.5273,0.0,287.1,REJECT,,,,,,,,,,,,,
R007,2026-07-28,Liq.Sweep,SOL-USDT-SWAP,31.0,1.2796,0.4516,0.4839,596.12,-0.054,11.2041,1.0,402.6,PROMOTE,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep (A),BTC-USDT-SWAP,26.0,0.3099,-0.3077,0.2308,-2004.58,-0.2215,-55.8717,0.0,216.9,REJECT,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep+SessVol (B),BTC-USDT-SWAP,3.0,0.0,-1.0,0.0,-400.62,-0.0288,-374.72,0.0,320.0,INSUFFICIENT,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep (A),ETH-USDT-SWAP,29.0,0.7169,0.0345,0.3448,-688.61,-0.1099,-15.1376,0.0,279.3,REJECT,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep+SessVol (B),ETH-USDT-SWAP,8.0,0.5109,-0.25,0.25,-356.71,-0.0502,-29.2152,0.0,435.0,INSUFFICIENT,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep (A),SOL-USDT-SWAP,30.0,1.363,0.5,0.5,726.55,-0.0534,14.0857,1.0,406.0,PROMOTE,,,,,,,,,,,,,
R009,2026-07-29,Liq.Sweep+SessVol (B),SOL-USDT-SWAP,10.0,3.6516,1.1,0.7,962.26,-0.0126,60.0341,1.0,918.0,PROMOTE,,,,,,,,,,,,,
R012,2026-07-29,BB.Bounce,BTC-USDT-SWAP,21.0,0.347,-0.2857,0.2381,-1525.58,-0.1418,-50.0291,0.0,242.9,REJECT,,,,,,,,,,,,,
R012,2026-07-29,RSI.Rev,BTC-USDT-SWAP,3.0,2.8796,1.0,0.6667,235.22,0.0,41.6252,1.0,440.0,INSUFFICIENT,,,,,,,,,,,,,
R012,2026-07-29,3Bar.Rev,BTC-USDT-SWAP,7.0,0.8818,0.2857,0.4286,-69.76,-0.0278,-5.3977,0.0,325.7,INSUFFICIENT,,,,,,,,,,,,,
R012,2026-07-29,BB.Bounce,ETH-USDT-SWAP,22.0,0.596,-0.0455,0.3182,-792.71,-0.1109,-23.4698,0.0,180.0,REJECT,,,,,,,,,,,,,
R012,2026-07-29,RSI.Rev,ETH-USDT-SWAP,3.0,0.0,-1.0,0.0,-419.81,-0.0262,-673.9476,0.0,160.0,INSUFFICIENT,,,,,,,,,,,,,
R012,2026-07-29,3Bar.Rev,ETH-USDT-SWAP,7.0,1.0598,0.2857,0.4286,32.27,-0.0132,2.4663,1.0,942.9,INSUFFICIENT,,,,,,,,,,,,,
R012,2026-07-29,BB.Bounce,SOL-USDT-SWAP,16.0,0.4587,-0.25,0.25,-864.95,-0.0786,-35.4396,0.0,277.5,REJECT,,,,,,,,,,,,,
R012,2026-07-29,RSI.Rev,SOL-USDT-SWAP,1.0,186097142857.1429,2.0,1.0,186.1,0.0,0.0,1.0,600.0,INSUFFICIENT,,,,,,,,,,,,,
R012,2026-07-29,3Bar.Rev,SOL-USDT-SWAP,6.0,0.7612,-0.0,0.3333,-119.1,-0.0251,-11.4066,0.0,880.0,INSUFFICIENT,,,,,,,,,,,,,
R004,2026-07-29,BTC.Self,CROSS/BTC,26.0,0.5802,-0.1923,0.2692,-931.37,-0.1092,-24.628,0.0,1506.9,REJECT,,,,,,,,,,,,,
