cfg,n,risk,final,ret,cagr,mdd,prof_mo,worst_month,worst_streak,kelly,mc_end_p5,mc_end_p50,mc_end_p95,mc_p_profit,mc_p_double,mc_p_triple,mc_p_halve,mc_p_dd15,mc_p_dd30,mc_p_dd50,mc_dd_p5
TREND|T25-ASIS,7050,0.005,130.767057574841,0.30767057574840995,0.10979043130967336,-0.8667873228705839,11/30,-0.5742853265158194,6,0.008,64.1464801045877,362.5449098187439,2312.076408743939,0.88675,0.717,0.5705,0.03075,1.0,0.99725,0.67475,-0.7852692057160539
TREND|T25-ASIS,7050,0.01,12.50919699296587,-0.8749080300703413,-0.553914578467269,-0.991712813516443,9/30,-0.8330257174997776,6,0.008,15.748284597366268,431.9336902646471,14525.135273405049,0.76675,0.6495,0.57025,0.14475,1.0,1.0,0.999,-0.9704574226281137
TREND|T25-ASIS,7050,0.02,0.0002544967334299884,-0.9999974550326657,-0.9932779407226064,-0.9999987017605511,8/30,-0.9811491061759868,6,0.008,0.0763092781875338,38.730856692071185,24130.486912734406,0.409,0.34475,0.3115,0.52375,1.0,1.0,1.0,-0.9999017096367784
TREND|T25-ASIS,7050,0.03,2.143418726767466e-12,-0.9999999999999786,-0.9999950816278586,-0.9999999999999786,8/30,-0.9988615235157016,6,0.008,2.1043229256255905e-05,0.1580020664113979,1462.4387443767832,0.12575,0.1005,0.08825,0.844,1.0,1.0,1.0,-0.9999999727787628
TREND|T25-ASIS,7050,0.05,-0.0,-1.0,-1.0,-1.0,2/9,-1.0,5,0.008,1.0767218974877022e-15,1.0586001806804446e-09,0.0013714503960165943,0.0035,0.003,0.0025,0.99625,1.0,1.0,1.0,-1.0
TREND|T25-ASIS,7050,0.08,0.0,-1.0,-1.0,-1.0,0/3,-1.0,3,0.008,1.217915221502585e-37,7.244242025258906e-29,6.397095439680258e-20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-ASIS,7050,0.12,-0.0,-1.0,-1.0,-1.0,0/0,0.0,0,0.008,3.803469038367265e-77,6.6921870245469754e-65,9.625932304411085e-53,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP1.5,10888,0.005,14.095885462556113,-0.8590411453744389,-0.5305123229618505,-0.8791285149065823,11/31,-0.4678115044737512,6,0.0,8.25348816340524,23.386379656801488,66.03429651482438,0.0125,0.0,0.0,0.891,1.0,1.0,0.9765,-0.9311973766258234
TREND|T25-TP1.5,10888,0.01,0.49347589613662046,-0.9950652410386338,-0.8712335444780489,-0.9963535488718994,10/31,-0.7411994807222629,7,0.0,0.4618308310885476,3.6994000815140806,29.401938019914084,0.00575,0.00075,0.0,0.97975,1.0,1.0,1.0,-0.9967114775087258
TREND|T25-TP1.5,10888,0.02,8.192026486814665e-06,-0.9999999180797351,-0.9981584229292904,-0.9999999544474957,8/31,-0.955759355369564,7,0.0,0.00045300131373076144,0.028785697964906484,1.797583051941572,0.00025,0.0,0.0,0.999,1.0,1.0,1.0,-0.9999974104231185
TREND|T25-TP1.5,10888,0.03,1.6909427499885052e-13,-0.9999999999999983,-0.9999980077130932,-0.9999999999999993,5/31,-0.9959683930990957,9,0.0,9.528976867485019e-08,4.747469725855253e-05,0.023306497126197753,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.9999999995479993
TREND|T25-TP1.5,10888,0.05,-0.0,-1.0,-1.0,-1.0,2/19,-1.0,9,0.0,4.245691155692938e-17,1.2929164185119883e-12,3.870462490909368e-08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP1.5,10888,0.08,0.0,-1.0,-1.0,-1.0,0/6,-1.0,6,0.0,4.2594483405478834e-36,6.210218283893069e-29,8.322223482521809e-22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP1.5,10888,0.12,0.0,-1.0,-1.0,-1.0,0/0,0.0,0,0.0,1.183237225441623e-70,6.22552889030628e-60,2.8097840251250287e-49,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP2.0,9925,0.005,16.08051431988114,-0.8391948568011887,-0.5056000616559106,-0.860716229586103,13/31,-0.43549723062609313,4,0.0,9.238850294462209,27.711552455594855,88.99902037251113,0.03325,0.00175,0.0,0.797,1.0,0.99975,0.96575,-0.9237996680408641
TREND|T25-TP2.0,9925,0.01,0.5539307672181533,-0.9944606923278184,-0.8650280174961906,-0.9958312179675005,12/31,-0.7086729987915318,4,0.0,0.5427743093105734,4.858666669452676,49.792837755236114,0.01525,0.00325,0.00075,0.9505,1.0,1.0,1.0,-0.9961743083426278
TREND|T25-TP2.0,9925,0.02,6.481910655699668e-06,-0.9999999351808935,-0.9983042477936899,-0.999999962848625,10/31,-0.9438003803583197,5,0.0,0.0004898412501250056,0.03828138633588863,3.9467798892502097,0.00175,0.0,0.0,0.9955,1.0,1.0,1.0,-0.9999972769433536
TREND|T25-TP2.0,9925,0.03,7.27495154909015e-14,-0.9999999999999992,-0.9999985371998005,-0.9999999999999997,6/31,-0.9941858309821964,8,0.0,7.556593233789809e-08,5.039296518901882e-05,0.051207205588836874,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.9999999996586679
TREND|T25-TP2.0,9925,0.05,-0.0,-1.0,-1.0,-1.0,2/19,-1.0,9,0.0,9.897637386982815e-18,4.612201358860055e-13,4.1788590966275055e-08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP2.0,9925,0.08,-0.0,-1.0,-1.0,-1.0,0/6,-1.0,6,0.0,4.2082127671747713e-38,1.0308134086155324e-30,7.962440527004063e-23,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
TREND|T25-TP2.0,9925,0.12,0.0,-1.0,-1.0,-1.0,0/1,-1.0,1,0.0,2.4352749276678575e-75,2.2772100937703045e-64,1.0582569901516523e-52,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
MR|MR-RR1.5,316,0.005,135.87215402814897,0.3587215402814896,0.12704563088976362,-0.14126162477774074,15/30,-0.035290659444880745,4,0.141,116.33823313427126,139.90584021424712,167.15886835464892,0.998,0.0,0.0,0.0,0.00275,0.0,0.0,-0.0933216170307242
MR|MR-RR1.5,316,0.01,173.12769173050492,0.7312769173050493,0.23879621562437991,-0.271747929648819,15/30,-0.06980778542926391,4,0.141,133.7019167732181,193.28881329206217,275.8599180975096,0.9975,0.44,0.023,0.0,0.13925,0.0015,0.0,-0.1792809569871931
MR|MR-RR1.5,316,0.02,239.73117752082547,1.3973117752082547,0.40653769802108397,-0.49547281690861544,15/30,-0.13833639282899046,4,0.141,170.26441706679802,355.40092608752104,723.1445361733435,0.996,0.897,0.65425,0.0,0.8955,0.10275,0.00225,-0.3323455414008389
MR|MR-RR1.5,316,0.03,278.24516474273867,1.7824516474273868,0.4907183937578641,-0.667557202962574,15/30,-0.2055858221991791,4,0.141,206.56023638881288,621.7209589140509,1802.408855658156,0.99475,0.9535,0.86075,0.0,0.99825,0.49675,0.028,-0.46219605016601595
MR|MR-RR1.5,316,0.05,242.84403337711956,1.4284403337711957,0.41363530439544993,-0.8764928866746213,15/30,-0.3362471468509439,4,0.141,263.0119469440677,1642.0293415050091,9643.869544663698,0.99175,0.969,0.935,0.00075,1.0,0.97525,0.357,-0.6608605968880195
MR|MR-RR1.5,316,0.08,77.1384335801681,-0.22861566419831902,-0.09631274402544632,-0.9819689429816342,14/30,-0.5226452986070591,7,0.141,263.9883314001997,4901.736713591332,82680.82329709032,0.983,0.96325,0.9415,0.00725,1.0,1.0,0.917,-0.847123391764832
MR|MR-RR1.5,316,0.12,2.543211920493532,-0.9745678807950647,-0.7613001152757108,-0.9995736928520458,13/30,-0.7532676752016862,7,0.141,136.0100345411665,10820.843469840062,739987.2566705544,0.9575,0.93075,0.9085,0.022,1.0,1.0,0.99875,-0.960226510297945
MR|MR-RR2,305,0.005,149.68885954265568,0.4968885954265567,0.1704450562630344,-0.2031395161718045,11/30,-0.047496877741089794,5,0.145,126.83150509770003,157.03192340720193,194.205100213321,0.999,0.032,0.0,0.0,0.0015,0.0,0.0,-0.09766237827271762
MR|MR-RR2,305,0.01,203.66012145361915,1.0366012145361916,0.3198396919443687,-0.3754020528222844,11/30,-0.09454013652032678,5,0.145,158.20711102083595,242.32438311516592,370.28676545195555,0.999,0.77,0.206,0.0,0.17275,0.0005,0.0,-0.1877797685576685
MR|MR-RR2,305,0.02,301.2095463226806,2.0120954632268058,0.5375631997529864,-0.6344914445104288,11/30,-0.187265797193242,5,0.145,234.3141514988304,548.0057840125232,1274.8756453180547,0.999,0.97125,0.87825,0.0,0.93175,0.12575,0.0015,-0.3459396779765056
MR|MR-RR2,305,0.03,351.0788687029534,2.510788687029534,0.6322711523303577,-0.7995463944642232,11/30,-0.2781769820187453,5,0.145,325.2483972273942,1158.1050093516337,4088.0244105849274,0.999,0.98625,0.959,0.00025,0.99925,0.56825,0.03625,-0.4786313779564096
MR|MR-RR2,305,0.05,271.2056568080976,1.712056568080976,0.47588875023180766,-0.9508341129495658,11/30,-0.45455592412751644,5,0.145,517.9715530382016,4240.302987168441,34192.41489615022,0.9985,0.9895,0.978,0.001,1.0,0.989,0.41875,-0.680943543352034
MR|MR-RR2,305,0.08,53.288235269681394,-0.46711764730318606,-0.21775304618813363,-0.9967917415706927,11/30,-0.7055157684350846,5,0.145,656.5608723925816,18361.15768729838,503022.1540365526,0.994,0.9855,0.97575,0.0015,1.0,1.0,0.95125,-0.8618433180696947
MR|MR-RR2,305,0.12,0.0,-1.0,-1.0,-1.0,1/12,-1.0,8,0.145,391.5074855975903,54569.098144845026,7440906.200055358,0.979,0.966,0.9565,0.01225,1.0,1.0,0.9995,-0.9646294719810082
